lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area
10398/	779.0	654.0	1895.0	1463.0	283.0	2991.0	3561.0	2670.0	871.0	4501.0	2184.0	3140.0	1482.0	2822.0	784.0	1320.0	1801.0	514.0	1176.0	1357.0	3736.0	967.0	4266.0	3748.0	900.0	4571.0	6238.0	5429.0	3175.0	3427.0	233.0	484.0	349.0	2007.0	75780.5
10423/	1044.0	697.0	2367.0	1938.0	395.0	3269.0	4779.0	2729.0	1103.0	5919.0	2338.0	3682.0	1969.0	3317.0	778.0	1218.0	1774.0	635.0	1476.0	1545.0	4004.0	1274.0	4619.0	3578.0	771.0	5210.0	7206.0	5850.0	4055.0	3787.0	210.0	585.0	502.0	2332.0	86956.4
10524/	999.0	957.0	2246.0	1638.0	421.0	4173.0	5526.0	3113.0	1060.0	5763.0	2634.0	4399.0	1837.0	2929.0	811.0	1330.0	1858.0	740.0	1306.0	1710.0	4764.0	1289.0	5704.0	4217.0	946.0	5829.0	9132.0	6634.0	4377.0	4577.0	189.0	481.0	592.0	2249.0	96432.1
10536/	1195.0	646.0	2467.0	1670.0	371.0	3434.0	5019.0	3604.0	884.0	5380.0	2419.0	3448.0	2034.0	2958.0	791.0	1091.0	1970.0	598.0	1213.0	1503.0	3840.0	1129.0	4231.0	3739.0	692.0	5402.0	6788.0	5516.0	3593.0	3931.0	208.0	510.0	468.0	1979.0	84722.3
10547/	1077.0	773.0	2964.0	1794.0	406.0	3675.0	5856.0	4184.0	1173.0	5391.0	3485.0	3680.0	2510.0	3715.0	983.0	1579.0	1622.0	784.0	1612.0	1607.0	5669.0	1334.0	6256.0	4900.0	1021.0	8323.0	8153.0	6680.0	4613.0	4256.0	214.0	492.0	622.0	2250.0	103650.0
10563/	1068.0	575.0	1642.0	1116.0	321.0	3256.0	3767.0	2936.0	847.0	3687.0	2331.0	2501.0	1509.0	2634.0	824.0	1173.0	1795.0	512.0	1085.0	1022.0	3687.0	983.0	4576.0	3377.0	696.0	5104.0	6794.0	4563.0	3620.0	3912.0	212.0	439.0	498.0	2128.0	75190.5
10566/	1131.0	666.0	2121.0	1203.0	303.0	2669.0	4439.0	3300.0	863.0	3867.0	2272.0	2233.0	1583.0	2915.0	800.0	1256.0	1367.0	632.0	1388.0	1070.0	3451.0	1080.0	4650.0	3649.0	588.0	4787.0	6826.0	4890.0	3234.0	3589.0	198.0	400.0	492.0	2167.0	76077.7
10606/	1207.0	446.0	2809.0	1505.0	460.0	3085.0	4497.0	2989.0	966.0	5182.0	2507.0	3787.0	1995.0	3180.0	801.0	1456.0	1796.0	601.0	1540.0	1242.0	3962.0	997.0	5509.0	3980.0	686.0	5880.0	7071.0	5764.0	4302.0	4904.0	215.0	465.0	608.0	1970.0	88365.6
10620/	1571.0	1051.0	3248.0	1390.0	434.0	4183.0	6108.0	3970.0	1463.0	5028.0	3319.0	3104.0	2632.0	3988.0	1025.0	1358.0	1832.0	805.0	1546.0	1408.0	4321.0	1568.0	6334.0	4699.0	1056.0	7444.0	8860.0	6778.0	4427.0	4482.0	268.0	471.0	498.0	2507.0	103179.0
10621/	1375.0	598.0	3012.0	1665.0	406.0	3708.0	5256.0	3654.0	1086.0	5399.0	3039.0	2796.0	2282.0	3559.0	726.0	1561.0	2167.0	673.0	1393.0	1522.0	4154.0	1291.0	5977.0	3824.0	1149.0	7096.0	8650.0	6794.0	4219.0	3712.0	242.0	526.0	489.0	2360.0	96357.3
