rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area
10398/	808.0	707.0	1834.0	1534.0	238.0	3044.0	4307.0	2671.0	715.0	4938.0	2167.0	2574.0	1547.0	2995.0	631.0	1416.0	1732.0	699.0	1564.0	1534.0	3217.0	962.0	4066.0	3699.0	497.0	4555.0	6411.0	5289.0	3016.0	3257.0	249.0	478.0	276.0	2197.0	75821.7
10423/	955.0	608.0	2913.0	1948.0	414.0	3866.0	6034.0	2781.0	1021.0	5329.0	2421.0	3289.0	1774.0	3150.0	751.0	1489.0	1655.0	693.0	1647.0	1636.0	3935.0	1111.0	4723.0	4183.0	644.0	5899.0	6847.0	5720.0	3479.0	3317.0	316.0	484.0	461.0	2479.0	87973.9
10524/	1031.0	1024.0	2364.0	1848.0	377.0	3650.0	6316.0	3144.0	1148.0	5557.0	2392.0	3636.0	1780.0	3764.0	890.0	1519.0	2025.0	738.0	1636.0	2045.0	4428.0	1352.0	5362.0	4227.0	969.0	6267.0	8444.0	6120.0	4075.0	3954.0	291.0	449.0	366.0	2469.0	95658.9
10536/	851.0	845.0	2316.0	1605.0	288.0	3869.0	5862.0	2694.0	986.0	5294.0	2663.0	3831.0	1923.0	3288.0	878.0	1380.0	1710.0	707.0	1509.0	1627.0	3586.0	1083.0	4656.0	4243.0	564.0	5492.0	6910.0	5815.0	3468.0	3503.0	227.0	410.0	265.0	2027.0	86374.7
10547/	1142.0	977.0	2300.0	1516.0	316.0	3607.0	6994.0	3971.0	1134.0	5729.0	3191.0	3348.0	2465.0	4216.0	816.0	1484.0	1513.0	1103.0	1885.0	1823.0	4237.0	1662.0	5616.0	4735.0	747.0	8279.0	7738.0	7073.0	4088.0	4821.0	322.0	405.0	340.0	2811.0	102406.0
10563/	826.0	566.0	1489.0	1143.0	247.0	2981.0	4585.0	2988.0	731.0	3454.0	2419.0	2643.0	1467.0	3359.0	676.0	1451.0	1141.0	658.0	1337.0	1305.0	3478.0	1052.0	4998.0	3624.0	636.0	4978.0	6697.0	4502.0	3343.0	3494.0	264.0	389.0	386.0	2119.0	75426.2
10566/	889.0	597.0	1517.0	1310.0	243.0	2833.0	5425.0	2558.0	963.0	3506.0	2300.0	2689.0	1756.0	3316.0	601.0	1543.0	1413.0	726.0	1753.0	1229.0	3859.0	1101.0	5033.0	3677.0	510.0	4941.0	7199.0	4490.0	3433.0	3192.0	256.0	325.0	326.0	2028.0	77536.7
10606/	1006.0	756.0	2168.0	1517.0	325.0	3232.0	5734.0	2940.0	886.0	4577.0	2515.0	3015.0	1855.0	3479.0	781.0	1760.0	1363.0	859.0	1883.0	1551.0	4397.0	1118.0	5858.0	4038.0	725.0	6209.0	7545.0	5380.0	3570.0	4051.0	296.0	403.0	491.0	2063.0	88347.4
10620/	1329.0	867.0	3574.0	1714.0	274.0	3265.0	6311.0	2949.0	1193.0	4867.0	3344.0	3232.0	2180.0	3841.0	814.0	2051.0	1690.0	939.0	1884.0	1650.0	4870.0	1586.0	6421.0	4902.0	851.0	7252.0	9088.0	5961.0	4405.0	4510.0	343.0	409.0	327.0	2422.0	101315.0
10621/	1020.0	848.0	2588.0	1747.0	282.0	3183.0	5105.0	2808.0	1327.0	6470.0	2658.0	2850.0	2280.0	3825.0	768.0	1604.0	1668.0	879.0	2105.0	1572.0	4126.0	1380.0	5902.0	4132.0	941.0	7258.0	8270.0	6127.0	3916.0	4044.0	298.0	408.0	434.0	2259.0	95080.9
10667/	860.0	809.0	1731.0	1555.0	304.0	3274.0	5875.0	3106.0	931.0	4173.0	2731.0	3100.0	1753.0	3427.0	674.0	1152.0	1499.0	839.0	1483.0	1371.0	3442.0	1011.0	4218.0	3947.0	682.0	6162.0	5973.0	5058.0	3467.0	3732.0	254.0	339.0	259.0	1892.0	81084.5
10813/	811.0	681.0	2195.0	1442.0	300.0	3355.0	5721.0	3375.0	840.0	5040.0	2195.0	3220.0	1701.0	3012.0	699.0	1331.0	1584.0	809.0	1674.0	1535.0	3956.0	1144.0	5045.0	3728.0	647.0	6477.0	6807.0	5179.0	3071.0	3847.0	348.0	422.0	287.0	2130.0	84606.7
10903/	1101.0	689.0	2651.0	1533.0	377.0	4079.0	6983.0	3890.0	947.0	4764.0	3006.0	3183.0	2182.0	3964.0	921.0	1582.0	1385.0	866.0	1430.0	1500.0	4720.0	1244.0	5188.0	4994.0	749.0	7019.0	7991.0	6331.0	3930.0	5301.0	313.0	604.0	408.0	2292.0	98118.8
10943/	874.0	642.0	1913.0	1541.0	316.0	3350.0	4629.0	2730.0	821.0	4387.0	2159.0	3048.0	1549.0	2824.0	634.0	1358.0	1565.0	710.0	1389.0	1345.0	3562.0	1167.0	4540.0	3731.0	693.0	5293.0	6154.0	5523.0	3223.0	3680.0	291.0	374.0	369.0	1932.0	78314.6
5202/	855.0	687.0	1968.0	1535.0	310.0	2973.0	4381.0	2650.0	825.0	4969.0	2263.0	2664.0	1570.0	3008.0	668.0	1474.0	1847.0	728.0	1451.0	1533.0	3258.0	954.0	4254.0	3871.0	582.0	4548.0	6760.0	5245.0	3109.0	3381.0	244.0	443.0	321.0	2266.0	77592.8
5302/	723.0	924.0	1862.0	1467.0	290.0	3112.0	5373.0	2511.0	902.0	4444.0	2323.0	2994.0	1835.0	2867.0	625.0	1565.0	1216.0	678.0	1418.0	1553.0	3799.0	1123.0	4870.0	4066.0	771.0	6075.0	5729.0	5308.0	3004.0	3522.0	298.0	383.0	325.0	2308.0	80263.5
5305/	1030.0	1049.0	1989.0	1291.0	266.0	3127.0	4779.0	2601.0	819.0	4144.0	2313.0	3173.0	1669.0	3050.0	678.0	1287.0	1440.0	734.0	1538.0	1504.0	3666.0	1165.0	4159.0	3531.0	777.0	4828.0	5734.0	4671.0	3477.0	3330.0	252.0	363.0	350.0	1924.0	76710.3
5306/	876.0	676.0	2490.0	1070.0	121.0	2458.0	4893.0	2052.0	682.0	4063.0	2064.0	2914.0	1407.0	2679.0	610.0	1500.0	1666.0	625.0	1829.0	1131.0	3669.0	905.0	4570.0	3338.0	601.0	5036.0	5724.0	4262.0	2939.0	3033.0	256.0	292.0	282.0	1869.0	72580.9
5464/	786.0	714.0	2173.0	1398.0	295.0	3274.0	4769.0	2846.0	908.0	4903.0	2062.0	2972.0	1419.0	2621.0	571.0	1356.0	1485.0	721.0	1117.0	1458.0	3505.0	1095.0	4761.0	3567.0	636.0	5331.0	6698.0	4942.0	3168.0	3568.0	304.0	344.0	318.0	2223.0	78310.8
5505/	903.0	693.0	2114.0	1474.0	303.0	3536.0	5173.0	2625.0	808.0	4993.0	2555.0	3020.0	1499.0	3380.0	845.0	1308.0	1595.0	806.0	1523.0	1556.0	3989.0	1091.0	4698.0	3771.0	646.0	6097.0	6642.0	5138.0	3551.0	4165.0	277.0	392.0	367.0	2288.0	83817.5
5506/	748.0	613.0	1591.0	1154.0	219.0	2467.0	4164.0	2278.0	768.0	3935.0	1914.0	2738.0	1196.0	2331.0	500.0	1240.0	1470.0	625.0	1277.0	1441.0	3258.0	925.0	4213.0	2840.0	625.0	4882.0	5075.0	4273.0	2734.0	2754.0	278.0	386.0	294.0	1725.0	66930.0
5514/	966.0	756.0	2078.0	1596.0	301.0	3522.0	5961.0	2944.0	983.0	5504.0	2855.0	3054.0	1526.0	3322.0	727.0	1360.0	1417.0	923.0	1948.0	1663.0	3834.0	932.0	4423.0	4116.0	783.0	6748.0	6387.0	5027.0	3667.0	3158.0	285.0	402.0	355.0	2335.0	85859.4
5515/	849.0	890.0	2547.0	1715.0	283.0	3284.0	6709.0	2944.0	868.0	4887.0	2636.0	3691.0	2146.0	3831.0	773.0	1616.0	1729.0	767.0	1854.0	1859.0	3936.0	1024.0	5708.0	4338.0	590.0	6338.0	7583.0	5940.0	3730.0	3678.0	426.0	415.0	418.0	2585.0	92586.0
5516/	964.0	725.0	1733.0	1279.0	267.0	2698.0	4868.0	2419.0	863.0	4252.0	2613.0	2925.0	1765.0	3373.0	627.0	1280.0	1253.0	789.0	1242.0	1169.0	3883.0	965.0	5153.0	4137.0	649.0	4808.0	6420.0	5201.0	3610.0	3074.0	219.0	346.0	417.0	1905.0	77891.2
5518/	809.0	729.0	1865.0	1199.0	203.0	3184.0	5206.0	2500.0	787.0	4146.0	2338.0	2673.0	1831.0	3290.0	717.0	1637.0	1409.0	687.0	1588.0	1423.0	3869.0	914.0	4762.0	3949.0	548.0	5771.0	6614.0	4698.0	3309.0	3054.0	212.0	429.0	340.0	1999.0	78685.8
5640/	792.0	898.0	2502.0	1452.0	331.0	3320.0	5771.0	2705.0	965.0	4921.0	3212.0	2739.0	1928.0	3362.0	772.0	1483.0	1175.0	712.0	1437.0	1402.0	4182.0	1085.0	5445.0	3298.0	684.0	6246.0	8120.0	4861.0	3705.0	3375.0	276.0	407.0	395.0	2430.0	86387.6
5649/	973.0	659.0	2685.0	1247.0	367.0	3617.0	6837.0	3036.0	1189.0	5159.0	3016.0	2731.0	1808.0	3667.0	729.0	1421.0	1535.0	792.0	1465.0	1093.0	5226.0	1065.0	5941.0	4379.0	729.0	6860.0	8574.0	5756.0	3957.0	4407.0	330.0	450.0	384.0	2339.0	94424.4
