rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness
10398/	2.618	2.464	2.772	1.828	3.758	2.693	2.509	3.159	3.055	2.369	2.754	2.031	2.679	3.065	2.448	2.407	2.612	2.648	2.462	1.358	1.881	2.636	2.561	2.406	2.928	2.419	2.758	2.14	2.895	2.534	2.686	4.094	2.873	3.013	2.53093
10423/	2.14	2.356	2.445	1.858	2.618	2.479	2.222	2.612	2.163	2.209	2.358	1.987	2.898	2.58	2.154	2.358	2.689	2.508	2.62	1.65	1.97	2.672	2.346	2.37	2.696	2.406	2.711	2.155	2.591	2.338	3.04	3.598	2.072	2.884	2.37886
10524/	2.202	2.572	2.391	1.836	3.188	2.677	2.258	2.686	2.146	2.128	2.418	2.051	2.492	2.752	2.561	2.263	2.389	2.242	2.376	1.531	1.833	2.373	2.425	2.245	2.786	2.308	2.575	2.077	2.638	2.397	2.546	3.451	2.206	2.792	2.34858
10536/	2.596	2.285	2.589	1.817	3.706	2.794	2.496	2.891	2.477	2.29	2.462	2.109	2.27	3.113	2.644	2.293	2.525	2.684	2.658	1.781	2.061	2.287	2.586	2.288	2.714	2.277	2.633	2.152	2.925	2.446	2.557	3.178	2.546	2.94	2.46828
10547/	2.445	2.302	2.551	2.094	3.992	2.456	2.466	2.654	2.21	2.251	2.496	2.134	2.305	2.817	2.144	2.254	2.669	2.91	2.465	1.989	2.049	2.319	2.62	2.288	2.307	2.451	2.755	2.225	3.027	2.612	2.659	3.93	2.797	2.871	2.48106
10563/	3.108	2.473	2.693	1.899	3.142	2.845	2.593	3.196	2.577	2.276	2.62	2.069	2.68	3.285	2.873	2.584	2.629	2.811	2.642	1.637	2.075	2.666	2.834	2.51	2.91	2.407	3.097	2.269	3.027	2.679	2.872	3.677	2.682	3.286	2.6607
10566/	2.529	2.545	2.569	1.983	3.553	2.645	2.463	2.887	2.251	2.312	2.657	2.168	2.444	2.968	2.731	2.592	2.59	2.9	2.542	1.685	2.189	2.457	2.628	2.542	2.71	2.367	2.689	2.3	2.914	2.656	2.817	4.15	2.466	2.955	2.54149
10606/	2.687	2.499	2.449	1.851	3.882	2.771	2.388	2.819	2.842	2.288	2.659	1.854	2.755	3.061	2.351	2.316	2.686	2.413	2.59	1.324	1.961	2.645	2.394	2.321	2.941	2.488	2.701	2.085	2.963	2.591	3.142	3.751	2.152	3.019	2.4759
10620/	2.861	2.645	2.652	1.901	3.671	3.034	2.854	3.354	2.97	2.396	2.848	2.198	2.957	3.475	2.678	2.583	2.804	3.013	2.909	1.705	2.246	2.643	2.762	2.58	3.339	2.635	2.976	2.331	3.292	2.829	3.281	3.844	2.957	3.275	2.75658
10621/	2.723	2.321	2.557	2.031	3.391	2.621	2.36	2.95	2.373	2.326	2.305	1.928	2.474	2.913	2.849	2.229	2.549	2.66	2.445	1.425	2.146	2.174	2.55	2.315	2.886	2.278	2.615	2.163	2.831	2.485	2.891	3.684	2.475	2.857	2.44176
10667/	2.761	2.906	2.797	2.037	3.853	3.081	2.787	3.328	2.494	2.352	2.639	2.26	2.694	3.129	2.705	2.601	2.853	2.862	2.683	1.75	2.207	2.757	2.693	2.613	3.368	2.542	2.98	2.34	3.047	2.847	3.187	4.05	2.53	3.188	2.70871
10813/	2.877	2.4	2.701	2.169	3.325	2.811	2.604	3.004	3.101	2.387	2.963	2.486	2.856	3.114	3.101	2.514	2.827	3.021	2.646	2.078	2.222	2.821	2.638	2.521	3.389	2.546	3.003	2.264	2.853	2.735	2.931	3.288	2.653	3.105	2.67494
10903/	2.744	2.409	2.432	1.729	3.419	2.825	2.369	2.765	2.6	2.08	2.504	2.281	2.372	2.966	2.771	2.317	2.522	2.861	2.468	1.513	2.17	2.514	2.571	2.301	3.133	2.315	2.655	2.12	2.904	2.556	2.907	3.639	2.497	3.092	2.47784
10943/	2.709	3.171	2.786	1.974	3.391	2.691	2.571	2.808	2.735	2.364	3.151	2.197	2.749	3.223	2.901	2.548	2.868	3.209	2.771	1.586	2.246	2.886	2.592	2.578	3.178	2.732	3.132	2.301	3.105	2.877	3.251	3.815	2.742	3.421	2.70124
5202/	2.345	2.532	2.715	1.886	3.961	2.62	2.503	2.937	2.819	2.32	2.586	2.017	2.647	3.026	2.537	2.394	2.609	2.768	2.467	1.509	2.038	2.662	2.524	2.416	2.803	2.487	2.839	2.3	2.849	2.491	2.631	4.105	2.491	2.899	2.53038
