rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume
10398/	2116.0	1925.0	5737.0	2890.0	1219.0	9229.0	11994.0	10030.0	2176.0	12558.0	6985.0	5627.0	4677.0	11338.0	1823.0	3578.0	5225.0	2445.0	4503.0	1900.0	6845.0	2576.0	11521.0	9627.0	1744.0	12861.0	20522.0	12535.0	10244.0	9368.0	979.0	2750.0	910.0	6504.0
10423/	2082.0	1343.0	8177.0	3770.0	1446.0	10797.0	15618.0	8865.0	2373.0	13677.0	6076.0	7023.0	5948.0	10656.0	1693.0	3795.0	4802.0	2311.0	5130.0	2400.0	8727.0	3103.0	12061.0	10466.0	1917.0	16528.0	21327.0	13853.0	10456.0	8469.0	1323.0	2320.0	1089.0	7216.0
10524/	2199.0	2862.0	6270.0	3726.0	1727.0	11893.0	16207.0	10105.0	2773.0	13497.0	6576.0	8135.0	4986.0	12898.0	2656.0	3731.0	5437.0	2073.0	4375.0	2840.0	8836.0	3439.0	14304.0	10333.0	2896.0	16165.0	24872.0	14249.0	12386.0	10708.0	990.0	2286.0	903.0	6628.0
10536/	2093.0	2287.0	7084.0	3205.0	1480.0	12252.0	16301.0	8626.0	2572.0	13592.0	7255.0	8565.0	5057.0	12438.0	2516.0	3361.0	4812.0	2409.0	4483.0	2756.0	8478.0	2602.0	13170.0	10333.0	1695.0	14166.0	21248.0	14091.0	11739.0	9255.0	823.0	1791.0	724.0	5884.0
10547/	2917.0	2574.0	6422.0	3744.0	1811.0	10064.0	18922.0	13308.0	2841.0	14863.0	9025.0	7609.0	6638.0	15123.0	1950.0	3454.0	4487.0	3882.0	5433.0	3519.0	9495.0	4211.0	15587.0	11709.0	2025.0	23138.0	24126.0	17456.0	14175.0	13846.0	1165.0	2539.0	1140.0	8340.0
10563/	2292.0	1478.0	4393.0	2454.0	1191.0	9396.0	13460.0	11620.0	2047.0	8407.0	6854.0	5926.0	4678.0	13496.0	2247.0	3828.0	3349.0	2504.0	4090.0	2030.0	7923.0	3003.0	15545.0	9520.0	2042.0	14275.0	23577.0	11358.0	11526.0	10218.0	1069.0	2148.0	1113.0	6656.0
10566/	2243.0	1548.0	4423.0	2945.0	1285.0	8407.0	15505.0	8786.0	2342.0	9074.0	6703.0	6485.0	5211.0	12423.0	1884.0	4218.0	4017.0	2726.0	5339.0	1924.0	9662.0	2893.0	14468.0	9586.0	1562.0	13652.0	22274.0	11365.0	11708.0	9386.0	919.0	2270.0	843.0	5926.0
10606/	2593.0	1798.0	5677.0	3167.0	1871.0	10748.0	15244.0	10225.0	2777.0	11384.0	7182.0	6026.0	5716.0	13371.0	1953.0	4291.0	4063.0	2336.0	5461.0	1925.0	9393.0	3080.0	15041.0	10113.0	2390.0	17193.0	22830.0	12665.0	11695.0	11546.0	1253.0	2081.0	1199.0	5919.0
10620/	4040.0	2725.0	11394.0	3825.0	1648.0	11344.0	20874.0	12714.0	3955.0	13812.0	10989.0	8045.0	7964.0	17810.0	2465.0	5651.0	5165.0	3860.0	6693.0	2793.0	12448.0	4715.0	20159.0	13913.0	3437.0	23658.0	32207.0	15902.0	17102.0	14515.0	1738.0	2302.0	1099.0	7872.0
10621/	2728.0	2152.0	7265.0	3535.0	1435.0	9365.0	13393.0	9945.0	3445.0	17402.0	7112.0	5910.0	6686.0	14198.0	2607.0	3817.0	4560.0	2929.0	5857.0	2099.0	9990.0	3170.0	16287.0	9795.0	3121.0	18362.0	24976.0	15411.0	12901.0	11142.0	1229.0	2369.0	1162.0	6399.0
10667/	2366.0	2269.0	5480.0	3328.0	1618.0	11247.0	18824.0	12538.0	2519.0	11360.0	8026.0	7626.0	5479.0	13818.0	2075.0	3166.0	4930.0	3258.0	4805.0	2172.0	8770.0	2943.0	12484.0	11040.0	2365.0	18623.0	20840.0	13500.0	12196.0	11704.0	1101.0	2207.0	683.0	5824.0
10813/	2274.0	1804.0	6707.0	3537.0	1462.0	11119.0	17827.0	13071.0	2765.0	14321.0	7486.0	9288.0	6109.0	12010.0	2352.0	3565.0	5064.0	3395.0	5282.0	3192.0	10057.0	3498.0	15151.0	10526.0	2591.0	20821.0	23907.0	13538.0	10256.0	12323.0	1573.0	2238.0	814.0	6517.0
