lh.BA.area	lh_BA1_area	lh_BA2_area	lh_BA3a_area	lh_BA3b_area	lh_BA4a_area	lh_BA4p_area	lh_BA6_area	lh_BA44_area	lh_BA45_area	lh_V1_area	lh_V2_area	lh_MT_area	lh_perirhinal_area	lh_WhiteSurfArea_area
10398/	574.0	2340.0	656.0	1351.0	936.0	727.0	5561.0	1623.0	2170.0	2375.0	5469.0	1258.0	580.0	81176.1
10423/	648.0	2644.0	639.0	1498.0	1001.0	873.0	6077.0	1677.0	2382.0	2799.0	6466.0	1848.0	610.0	92914.4
10524/	722.0	3069.0	706.0	1781.0	1104.0	976.0	8076.0	1688.0	2142.0	2941.0	6890.0	1375.0	741.0	101700.0
10536/	588.0	2538.0	633.0	1572.0	796.0	833.0	5986.0	1696.0	2202.0	2527.0	6424.0	1366.0	641.0	90390.2
10547/	812.0	4013.0	941.0	1940.0	1293.0	1265.0	6995.0	1771.0	2824.0	2831.0	6561.0	1303.0	752.0	109299.0
10563/	564.0	2333.0	597.0	1431.0	1001.0	845.0	5917.0	1479.0	1955.0	1734.0	4280.0	1036.0	616.0	81060.7
10566/	491.0	2115.0	666.0	1371.0	985.0	906.0	5519.0	1336.0	1838.0	1817.0	4309.0	1141.0	637.0	81812.9
10606/	582.0	2664.0	695.0	1722.0	1113.0	1020.0	6769.0	1888.0	2390.0	2408.0	6013.0	1424.0	764.0	93790.6
10620/	616.0	2370.0	802.0	1662.0	1153.0	1116.0	8032.0	1939.0	2579.0	2422.0	5582.0	1466.0	759.0	108866.0
10621/	639.0	2374.0	786.0	1666.0	1168.0	1098.0	7638.0	2276.0	2485.0	2628.0	5647.0	1456.0	654.0	102318.0
10667/	604.0	2548.0	647.0	1371.0	913.0	818.0	5114.0	1802.0	2294.0	2425.0	5899.0	1183.0	665.0	85604.4
10813/	582.0	2489.0	638.0	1663.0	1147.0	852.0	6394.0	1256.0	2511.0	2403.0	5756.0	1163.0	765.0	89731.3
10903/	916.0	3370.0	866.0	2076.0	1194.0	1062.0	7119.0	1814.0	2025.0	2601.0	6126.0	1901.0	900.0	105171.0
10943/	541.0	2337.0	633.0	1506.0	912.0	829.0	5980.0	1707.0	1644.0	1989.0	5640.0	1204.0	505.0	83101.6
5202/	513.0	2519.0	620.0	1435.0	1025.0	779.0	5780.0	1706.0	2185.0	2472.0	5478.0	1194.0	641.0	83697.5
5302/	791.0	2976.0	603.0	1440.0	1008.0	845.0	5806.0	1727.0	2231.0	2119.0	5292.0	1199.0	482.0	85942.3
5305/	521.0	2042.0	658.0	1373.0	977.0	876.0	5275.0	1549.0	2559.0	2299.0	5147.0	1318.0	553.0	79732.7
5306/	567.0	2262.0	674.0	1540.0	940.0	844.0	5515.0	1933.0	1953.0	2194.0	4940.0	1244.0	571.0	77363.7
5464/	630.0	2574.0	715.0	1554.0	1052.0	907.0	5489.0	1725.0	1994.0	2123.0	5380.0	864.0	640.0	81845.2
5505/	569.0	2220.0	655.0	1443.0	913.0	863.0	5846.0	1645.0	2557.0	2259.0	5420.0	1241.0	607.0	89128.5
5506/	538.0	1992.0	605.0	1290.0	780.0	804.0	4887.0	1672.0	2239.0	2038.0	4602.0	956.0	520.0	72847.8
5514/	577.0	2406.0	638.0	1437.0	914.0	854.0	6022.0	1499.0	2389.0	2553.0	5968.0	1462.0	574.0	90851.6
5515/	670.0	2636.0	753.0	1790.0	1072.0	1070.0	7460.0	1869.0	2510.0	2748.0	6384.0	1407.0	689.0	99288.9
5516/	601.0	2272.0	739.0	1547.0	989.0	900.0	5826.0	1535.0	1981.0	2087.0	5132.0	1210.0	520.0	83205.2
5518/	604.0	2114.0	655.0	1496.0	1052.0	873.0	5807.0	1596.0	2292.0	2032.0	5107.0	1102.0	535.0	82189.0
5640/	674.0	2430.0	919.0	1777.0	1207.0	1200.0	6640.0	1527.0	2537.0	2474.0	5441.0	1456.0	652.0	92207.0
5649/	741.0	3610.0	917.0	2040.0	1141.0	1109.0	6449.0	2283.0	2618.0	2033.0	5422.0	1268.0	820.0	101281.0
5754/	655.0	2863.0	625.0	1624.0	1149.0	907.0	6423.0	1667.0	2187.0	2537.0	6080.0	1313.0	696.0	95042.5
5755/	415.0	1682.0	530.0	1119.0	702.0	652.0	4626.0	1252.0	1815.0	2012.0	4544.0	1167.0	439.0	66007.5
