lh.BA.meancurv	lh_BA1_meancurv	lh_BA2_meancurv	lh_BA3a_meancurv	lh_BA3b_meancurv	lh_BA4a_meancurv	lh_BA4p_meancurv	lh_BA6_meancurv	lh_BA44_meancurv	lh_BA45_meancurv	lh_V1_meancurv	lh_V2_meancurv	lh_MT_meancurv	lh_perirhinal_meancurv
10398/	0.149	0.131	0.137	0.121	0.123	0.112	0.143	0.136	0.163	0.142	0.154	0.148	0.134
10423/	0.167	0.139	0.153	0.146	0.167	0.167	0.151	0.134	0.17	0.185	0.157	0.136	0.143
10524/	0.175	0.139	0.156	0.149	0.154	0.155	0.149	0.144	0.148	0.17	0.165	0.142	0.151
10536/	0.134	0.124	0.146	0.13	0.128	0.115	0.143	0.142	0.155	0.153	0.158	0.139	0.118
10547/	0.154	0.135	0.149	0.136	0.139	0.164	0.146	0.143	0.137	0.156	0.156	0.138	0.2
10563/	0.151	0.123	0.156	0.127	0.157	0.136	0.139	0.134	0.145	0.157	0.161	0.154	0.121
10566/	0.176	0.117	0.162	0.12	0.174	0.143	0.147	0.136	0.152	0.14	0.154	0.141	0.13
10606/	0.168	0.131	0.164	0.148	0.169	0.16	0.163	0.142	0.172	0.171	0.176	0.151	0.157
10620/	0.157	0.131	0.138	0.13	0.149	0.132	0.143	0.14	0.147	0.156	0.16	0.135	0.131
10621/	0.161	0.145	0.142	0.146	0.162	0.133	0.156	0.141	0.154	0.164	0.162	0.141	0.168
10667/	0.156	0.127	0.133	0.139	0.136	0.136	0.139	0.136	0.136	0.162	0.15	0.135	0.13
10813/	0.198	0.14	0.152	0.145	0.157	0.143	0.156	0.151	0.166	0.158	0.172	0.139	0.162
10903/	0.151	0.143	0.145	0.157	0.155	0.127	0.143	0.147	0.151	0.171	0.167	0.14	0.16
10943/	0.172	0.141	0.159	0.144	0.169	0.147	0.155	0.15	0.151	0.178	0.173	0.153	0.141
5202/	0.19	0.136	0.137	0.131	0.149	0.126	0.153	0.133	0.15	0.157	0.178	0.165	0.14
5302/	0.191	0.162	0.167	0.173	0.204	0.199	0.169	0.167	0.166	0.195	0.19	0.165	0.15
5305/	0.167	0.153	0.151	0.143	0.162	0.125	0.145	0.145	0.153	0.162	0.169	0.161	0.124
5306/	0.194	0.138	0.161	0.152	0.173	0.16	0.17	0.149	0.171	0.175	0.18	0.169	0.226
5464/	0.217	0.184	0.195	0.192	0.226	0.217	0.21	0.161	0.172	0.181	0.186	0.173	0.186
5505/	0.182	0.13	0.161	0.133	0.163	0.138	0.15	0.156	0.159	0.164	0.162	0.149	0.137
5506/	0.176	0.151	0.149	0.141	0.157	0.156	0.152	0.141	0.161	0.151	0.168	0.153	0.147
5514/	0.163	0.137	0.148	0.137	0.161	0.131	0.144	0.14	0.146	0.164	0.165	0.151	0.171
5515/	0.168	0.136	0.166	0.141	0.17	0.183	0.166	0.151	0.173	0.169	0.167	0.147	0.167
5516/	0.166	0.138	0.148	0.143	0.15	0.158	0.153	0.138	0.15	0.154	0.171	0.15	0.151
5518/	0.183	0.134	0.16	0.15	0.151	0.144	0.148	0.129	0.14	0.149	0.165	0.131	0.128
5640/	0.199	0.137	0.171	0.157	0.202	0.171	0.176	0.148	0.163	0.177	0.182	0.14	0.189
5649/	0.211	0.158	0.169	0.156	0.204	0.186	0.169	0.174	0.167	0.17	0.168	0.154	0.2
5754/	0.21	0.139	0.147	0.149	0.185	0.144	0.179	0.143	0.155	0.18	0.175	0.153	0.187
5755/	0.185	0.15	0.16	0.163	0.182	0.151	0.167	0.157	0.167	0.158	0.167	0.149	0.186
5771/	0.152	0.138	0.155	0.147	0.149	0.148	0.156	0.133	0.134	0.166	0.161	0.14	0.138
5825/	0.198	0.163	0.161	0.165	0.163	0.148	0.171	0.15	0.161	0.153	0.164	0.143	0.19
5843/	0.162	0.136	0.157	0.146	0.152	0.143	0.148	0.13	0.161	0.157	0.157	0.134	0.129
5844/	0.173	0.141	0.146	0.143	0.14	0.129	0.152	0.144	0.14	0.154	0.153	0.131	0.167
5899/	0.169	0.144	0.156	0.153	0.134	0.124	0.134	0.136	0.142	0.15	0.168	0.132	0.144
5900/	0.155	0.136	0.156	0.142	0.16	0.147	0.146	0.149	0.155	0.176	0.173	0.158	0.141
5902/	0.247	0.182	0.185	0.198	0.216	0.197	0.182	0.16	0.162	0.213	0.194	0.179	0.213
5953/	0.194	0.151	0.158	0.167	0.209	0.178	0.16	0.148	0.156	0.175	0.172	0.148	0.137
5955/	0.156	0.135	0.149	0.14	0.159	0.143	0.141	0.136	0.128	0.149	0.158	0.137	0.149
5977/	0.167	0.136	0.146	0.144	0.17	0.139	0.151	0.144	0.145	0.15	0.156	0.142	0.157
6010/	0.272	0.207	0.206	0.221	0.276	0.211	0.212	0.195	0.182	0.198	0.207	0.196	0.369
6026/	0.148	0.124	0.134	0.123	0.154	0.146	0.143	0.141	0.156	0.162	0.158	0.144	0.16
6028/	0.159	0.136	0.136	0.138	0.16	0.129	0.148	0.144	0.159	0.151	0.169	0.153	0.147
6033/	0.177	0.148	0.14	0.149	0.143	0.134	0.15	0.14	0.137	0.148	0.169	0.152	0.14
6034/	0.149	0.147	0.151	0.153	0.154	0.131	0.154	0.158	0.158	0.155	0.167	0.147	0.176
6035/	0.24	0.198	0.212	0.201	0.24	0.211	0.191	0.161	0.149	0.194	0.185	0.167	0.2
6040/	0.164	0.143	0.139	0.157	0.16	0.124	0.15	0.149	0.151	0.173	0.173	0.147	0.161
6044/	0.192	0.141	0.162	0.162	0.187	0.189	0.182	0.158	0.153	0.169	0.176	0.154	0.17
6045/	0.15	0.118	0.154	0.122	0.183	0.183	0.144	0.138	0.141	0.15	0.161	0.126	0.147
6057/	0.18	0.127	0.151	0.148	0.179	0.143	0.151	0.149	0.15	0.149	0.159	0.142	0.162
6058/	0.215	0.134	0.16	0.157	0.178	0.17	0.153	0.147	0.168	0.156	0.162	0.147	0.178
6060/	0.169	0.133	0.151	0.134	0.169	0.154	0.15	0.123	0.148	0.152	0.148	0.129	0.154
6102/	0.147	0.127	0.145	0.127	0.149	0.135	0.148	0.137	0.139	0.146	0.156	0.141	0.124
6103/	0.174	0.144	0.138	0.148	0.159	0.154	0.162	0.148	0.138	0.151	0.161	0.147	0.152
6105/	0.171	0.129	0.144	0.144	0.159	0.139	0.147	0.161	0.152	0.157	0.167	0.139	0.133
6138/	0.172	0.134	0.158	0.155	0.167	0.15	0.153	0.153	0.164	0.171	0.178	0.136	0.164
6149/	0.168	0.133	0.152	0.14	0.165	0.134	0.152	0.139	0.147	0.166	0.167	0.128	0.195
6162/	0.165	0.14	0.168	0.151	0.158	0.135	0.148	0.155	0.16	0.162	0.161	0.143	0.13
6163/	0.18	0.136	0.132	0.147	0.145	0.127	0.148	0.141	0.148	0.164	0.168	0.143	0.141
6165/	0.184	0.146	0.146	0.15	0.168	0.135	0.157	0.15	0.161	0.158	0.164	0.145	0.136
6167/	0.185	0.137	0.139	0.131	0.132	0.125	0.148	0.153	0.155	0.172	0.175	0.158	0.187
6199/	0.257	0.202	0.206	0.215	0.259	0.225	0.216	0.179	0.189	0.212	0.213	0.191	0.232
6226/	0.186	0.136	0.141	0.128	0.147	0.131	0.149	0.141	0.133	0.163	0.161	0.132	0.183
6227/	0.162	0.135	0.14	0.128	0.138	0.122	0.143	0.138	0.14	0.151	0.16	0.137	0.145
6228/	0.17	0.138	0.153	0.141	0.155	0.143	0.159	0.152	0.154	0.16	0.162	0.148	0.146
6229/	0.16	0.131	0.15	0.139	0.167	0.156	0.154	0.165	0.159	0.16	0.158	0.132	0.149
6291/	0.167	0.135	0.156	0.143	0.161	0.129	0.163	0.16	0.172	0.189	0.181	0.154	0.147
6347/	0.153	0.131	0.158	0.134	0.159	0.14	0.143	0.156	0.165	0.153	0.169	0.151	0.143
6348/	0.177	0.139	0.165	0.154	0.175	0.141	0.164	0.141	0.155	0.157	0.157	0.133	0.131
6503/	0.213	0.147	0.168	0.178	0.192	0.185	0.165	0.148	0.145	0.161	0.161	0.14	0.209
6512/	0.201	0.154	0.166	0.169	0.196	0.167	0.201	0.154	0.16	0.183	0.187	0.154	0.182
6613/	0.19	0.151	0.166	0.151	0.18	0.16	0.157	0.147	0.148	0.17	0.16	0.14	0.169
6712/	0.199	0.172	0.153	0.153	0.163	0.146	0.174	0.201	0.208	0.152	0.178	0.149	0.16
6730/	0.172	0.138	0.174	0.132	0.187	0.178	0.159	0.151	0.145	0.158	0.168	0.15	0.139
6731/	0.172	0.135	0.152	0.146	0.142	0.135	0.152	0.158	0.168	0.167	0.18	0.14	0.184
6732/	0.2	0.144	0.148	0.149	0.16	0.155	0.175	0.157	0.165	0.158	0.163	0.146	0.176
6738/	0.156	0.139	0.154	0.138	0.184	0.179	0.153	0.14	0.139	0.172	0.158	0.131	0.154
6741/	0.166	0.132	0.142	0.126	0.149	0.13	0.143	0.149	0.144	0.154	0.17	0.123	0.147
6802/	0.177	0.135	0.143	0.158	0.166	0.154	0.169	0.149	0.165	0.161	0.163	0.147	0.171
6863/	0.184	0.15	0.153	0.151	0.151	0.157	0.163	0.156	0.165	0.179	0.178	0.146	0.168
6888/	0.17	0.144	0.16	0.154	0.168	0.155	0.168	0.15	0.161	0.149	0.16	0.133	0.14
6908/	0.168	0.145	0.155	0.146	0.138	0.131	0.153	0.146	0.157	0.167	0.164	0.152	0.18
6909/	0.166	0.131	0.14	0.134	0.135	0.127	0.142	0.154	0.152	0.158	0.168	0.147	0.147
