lh.BA.volume	lh_BA1_volume	lh_BA2_volume	lh_BA3a_volume	lh_BA3b_volume	lh_BA4a_volume	lh_BA4p_volume	lh_BA6_volume	lh_BA44_volume	lh_BA45_volume	lh_V1_volume	lh_V2_volume	lh_MT_volume	lh_perirhinal_volume
10398/	1700.0	5549.0	878.0	2842.0	2897.0	1864.0	18750.0	4638.0	6066.0	3435.0	11405.0	3615.0	2574.0
10423/	1904.0	5729.0	880.0	3456.0	2809.0	1995.0	19735.0	4958.0	6703.0	5428.0	14660.0	4404.0	2260.0
10524/	2096.0	6606.0	856.0	3678.0	3449.0	2196.0	24437.0	4616.0	5970.0	4412.0	15031.0	3648.0	2923.0
10536/	1965.0	5689.0	819.0	3323.0	2456.0	2131.0	18307.0	5100.0	6211.0	4561.0	14351.0	3994.0	2437.0
10547/	2174.0	9677.0	1341.0	4100.0	3878.0	2902.0	22707.0	5250.0	7536.0	5441.0	16283.0	3522.0	2840.0
10563/	1755.0	5173.0	789.0	3207.0	3153.0	2121.0	20433.0	4537.0	5956.0	2964.0	9156.0	2682.0	2885.0
10566/	1729.0	4693.0	889.0	3259.0	3094.0	2067.0	18218.0	3691.0	5393.0	3966.0	10003.0	3022.0	2682.0
10606/	1600.0	6042.0	920.0	3863.0	3239.0	2383.0	20316.0	5384.0	6880.0	3739.0	13144.0	3440.0	3152.0
10620/	2021.0	6393.0	1189.0	3783.0	4027.0	2874.0	29404.0	6678.0	8776.0	4707.0	12852.0	4050.0	3525.0
10621/	2012.0	5312.0	1073.0	3433.0	3416.0	2846.0	23969.0	6334.0	6444.0	4330.0	12131.0	3654.0	2947.0
10667/	2233.0	6330.0	1039.0	3178.0	3202.0	2045.0	18515.0	5919.0	7064.0	3979.0	15511.0	3820.0	3122.0
10813/	2001.0	5963.0	857.0	3774.0	3304.0	2009.0	21925.0	3996.0	7620.0	5154.0	16099.0	3531.0	3443.0
10903/	2679.0	7784.0	1154.0	4915.0	3525.0	2401.0	22067.0	5269.0	5250.0	4599.0	13261.0	4854.0	3448.0
10943/	2002.0	5982.0	884.0	3638.0	2747.0	1884.0	20278.0	5378.0	5129.0	3534.0	13198.0	3426.0	2802.0
5202/	1543.0	6231.0	822.0	3093.0	3239.0	1962.0	19125.0	4892.0	6118.0	3678.0	11572.0	3336.0	2938.0
5302/	1952.0	7545.0	815.0	3316.0	2902.0	1957.0	18458.0	5252.0	6700.0	3895.0	11978.0	3061.0	2015.0
5305/	1720.0	5059.0	861.0	2869.0	2880.0	2155.0	17191.0	4683.0	7592.0	3716.0	11359.0	3508.0	2178.0
5306/	1760.0	5543.0	998.0	3328.0	2941.0	2273.0	18254.0	5355.0	6176.0	3665.0	10549.0	3360.0	1730.0
5464/	1665.0	5825.0	964.0	2881.0	2661.0	1983.0	15289.0	4266.0	5120.0	3309.0	10118.0	2250.0	2186.0
5505/	1796.0	5118.0	782.0	3126.0	2918.0	2085.0	18981.0	4911.0	7175.0	4200.0	12206.0	3010.0	2628.0
5506/	1800.0	5042.0	815.0	2955.0	2461.0	1942.0	18312.0	5354.0	7149.0	3869.0	10551.0	2625.0	2302.0
5514/	2455.0	7052.0	1018.0	4115.0	3072.0	2156.0	23836.0	5020.0	8669.0	4722.0	14033.0	4368.0	2561.0
5515/	1954.0	6019.0	972.0	3563.0	2977.0	2343.0	23221.0	5130.0	6928.0	3823.0	13171.0	3940.0	2505.0
5516/	1800.0	4821.0	962.0	3128.0	2712.0	2063.0	17643.0	4079.0	5283.0	3637.0	11123.0	3068.0	2461.0
5518/	2346.0	5909.0	896.0	3630.0	3257.0	2026.0	20120.0	4895.0	7489.0	3711.0	12252.0	3276.0	2509.0
5640/	2418.0	6332.0	1367.0	4402.0	3984.0	2725.0	22502.0	4450.0	7476.0	4922.0	12565.0	3594.0	2360.0
5649/	2299.0	8725.0	1308.0	4514.0	3630.0	2527.0	24024.0	7292.0	8518.0	4132.0	13236.0	3992.0	4225.0
5754/	1703.0	6529.0	777.0	3317.0	3142.0	2018.0	20859.0	5474.0	6435.0	4363.0	13495.0	3408.0	2572.0
5755/	1291.0	3648.0	688.0	2534.0	2181.0	1562.0	14242.0	3275.0	5428.0	3528.0	9897.0	2519.0	2123.0
5771/	2345.0	7146.0	860.0	4007.0	2884.0	2046.0	21326.0	5801.0	7705.0	4290.0	13797.0	5306.0	2709.0
5825/	1861.0	6669.0	867.0	3569.0	2947.0	1780.0	18825.0	5360.0	5352.0	3275.0	10689.0	2925.0	3064.0
5843/	1388.0	4057.0	815.0	2737.0	2427.0	1879.0	14347.0	3470.0	5327.0	3094.0	9424.0	3445.0	1986.0
5844/	1886.0	5730.0	933.0	3561.0	2497.0	2008.0	18168.0	3797.0	5830.0	3071.0	12000.0	2865.0	3712.0
5899/	1834.0	5976.0	1061.0	3320.0	2983.0	1743.0	19276.0	4211.0	4439.0	4299.0	10500.0	2970.0	2878.0
5900/	2053.0	8323.0	1081.0	3855.0	3304.0	2405.0	23395.0	4237.0	5727.0	5243.0	13138.0	3566.0	2414.0
5902/	1816.0	7288.0	945.0	3614.0	3612.0	2181.0	23715.0	5222.0	7351.0	4112.0	14284.0	4081.0	2889.0
5953/	1901.0	4938.0	904.0	3106.0	2741.0	2096.0	18924.0	4611.0	5048.0	4300.0	11674.0	3411.0	2594.0
5955/	1830.0	5421.0	778.0	3650.0	2801.0	2025.0	19387.0	4334.0	5638.0	3594.0	11232.0	3467.0	3173.0
5977/	2329.0	5985.0	1053.0	3833.0	2906.0	2125.0	19203.0	5506.0	5224.0	4539.0	11956.0	4089.0	2849.0
6010/	2228.0	5972.0	829.0	3573.0	2973.0	1868.0	19596.0	5535.0	8465.0	4491.0	13028.0	3229.0	1819.0
6026/	2041.0	5995.0	937.0	3991.0	2825.0	2155.0	19317.0	4911.0	6554.0	4425.0	11754.0	3132.0	3289.0
6028/	1633.0	5467.0	785.0	3419.0	2640.0	1761.0	17514.0	4449.0	4224.0	3589.0	9927.0	3170.0	2053.0
6033/	1979.0	5506.0	759.0	3287.0	2928.0	1872.0	18049.0	4776.0	4773.0	3548.0	12428.0	3712.0	2773.0
6034/	2161.0	6740.0	866.0	3148.0	2804.0	1942.0	21979.0	6139.0	7752.0	4468.0	13618.0	3263.0	2489.0
6035/	2042.0	5875.0	1110.0	3952.0	3575.0	2243.0	24552.0	5411.0	7956.0	4960.0	14648.0	3442.0	2938.0
6040/	2447.0	7299.0	985.0	4080.0	3053.0	2260.0	24547.0	5685.0	8219.0	5240.0	17183.0	4074.0	3375.0
6044/	1752.0	5627.0	970.0	3605.0	2723.0	2288.0	20044.0	3682.0	5022.0	3268.0	11791.0	2855.0	1783.0
6045/	2394.0	6851.0	928.0	4117.0	3177.0	2043.0	23570.0	5873.0	8598.0	3866.0	11555.0	4910.0	2469.0
6057/	1393.0	4661.0	698.0	2579.0	2724.0	1491.0	16928.0	4370.0	5649.0	3350.0	10203.0	2690.0	2924.0
6058/	1751.0	5465.0	910.0	3484.0	3052.0	2202.0	17142.0	4562.0	5851.0	3845.0	14361.0	3662.0	2393.0
6060/	2129.0	6521.0	827.0	3325.0	3412.0	1750.0	21509.0	4796.0	6852.0	4873.0	13428.0	4429.0	2894.0
6102/	2002.0	5835.0	1005.0	3724.0	3423.0	2378.0	21158.0	4393.0	6635.0	3962.0	10121.0	2725.0	2571.0
6103/	2096.0	6783.0	922.0	3909.0	3275.0	2090.0	22884.0	5409.0	6311.0	5125.0	14413.0	3915.0	2793.0
6105/	2173.0	6658.0	983.0	3975.0	3689.0	2547.0	22449.0	5484.0	7132.0	5437.0	15270.0	3727.0	2765.0
6138/	1575.0	4274.0	718.0	2674.0	2520.0	1391.0	15679.0	4567.0	5145.0	3307.0	9446.0	2994.0	2016.0
6149/	1887.0	6181.0	892.0	3680.0	3005.0	2119.0	23488.0	5527.0	6127.0	4763.0	12249.0	4532.0	3720.0
6162/	1722.0	6073.0	812.0	3119.0	2487.0	1874.0	16686.0	4808.0	4955.0	3128.0	9546.0	2765.0	1888.0
6163/	2878.0	7329.0	974.0	4472.0	3405.0	2132.0	24390.0	6039.0	6398.0	3515.0	12298.0	4170.0	2991.0
6165/	2172.0	6455.0	1121.0	4343.0	3850.0	2422.0	23312.0	5556.0	7680.0	4653.0	13904.0	4645.0	2671.0
6167/	1687.0	4448.0	934.0	3063.0	2827.0	2014.0	19629.0	5526.0	6233.0	3431.0	12396.0	4053.0	2473.0
6199/	1833.0	5676.0	1101.0	3334.0	3178.0	2333.0	20255.0	4468.0	5327.0	5382.0	12779.0	3592.0	2731.0
6226/	1863.0	5747.0	851.0	3440.0	3103.0	1786.0	20282.0	4753.0	5037.0	3016.0	11642.0	2544.0	1912.0
6227/	2442.0	7438.0	830.0	3584.0	2985.0	1846.0	23613.0	6087.0	7225.0	4624.0	13672.0	3558.0	2650.0
6228/	1785.0	6397.0	1084.0	3363.0	2953.0	2301.0	18979.0	4081.0	6480.0	5019.0	12670.0	2878.0	3258.0
6229/	1999.0	7863.0	910.0	3888.0	3865.0	2403.0	24569.0	6809.0	7205.0	5479.0	13536.0	2937.0	2657.0
6291/	1673.0	4766.0	751.0	3037.0	2528.0	1414.0	16547.0	4276.0	4546.0	4078.0	9918.0	2592.0	2843.0
6347/	2002.0	5126.0	1041.0	3590.0	3378.0	2722.0	21170.0	4238.0	6886.0	4421.0	12687.0	3942.0	3189.0
6348/	1797.0	5357.0	864.0	3172.0	2865.0	2246.0	17363.0	3239.0	5286.0	3097.0	10306.0	3504.0	2669.0
6503/	2106.0	7350.0	991.0	4072.0	3219.0	2262.0	18590.0	5541.0	6216.0	4786.0	13341.0	4330.0	2845.0
6512/	1940.0	4708.0	905.0	3059.0	2739.0	2106.0	19737.0	3769.0	5557.0	3386.0	10334.0	3076.0	2172.0
6613/	2412.0	6702.0	1233.0	4238.0	3747.0	2620.0	23114.0	5876.0	7776.0	3874.0	14965.0	4132.0	2274.0
6712/	1472.0	5752.0	601.0	2503.0	1842.0	1092.0	13728.0	3322.0	4101.0	3816.0	10497.0	2773.0	2954.0
6730/	1501.0	5974.0	797.0	2785.0	3092.0	1768.0	19429.0	4417.0	6763.0	3311.0	10300.0	2610.0	2577.0
6731/	1778.0	6713.0	878.0	3621.0	3490.0	1969.0	20725.0	5002.0	6312.0	4258.0	13013.0	2797.0	2563.0
6732/	1526.0	5898.0	790.0	3576.0	2756.0	1980.0	19320.0	4388.0	5158.0	3487.0	11075.0	2937.0	2515.0
6738/	2085.0	5802.0	1059.0	3655.0	3234.0	2437.0	24802.0	6073.0	6305.0	5385.0	14542.0	4248.0	3033.0
6741/	1908.0	5993.0	922.0	3240.0	3289.0	2009.0	23388.0	5071.0	7869.0	4323.0	12125.0	3515.0	3057.0
6802/	2150.0	6455.0	864.0	3798.0	3076.0	2150.0	21174.0	4905.0	6998.0	5391.0	14662.0	4025.0	3178.0
6863/	2027.0	6814.0	891.0	3460.0	2940.0	1797.0	20434.0	4927.0	6681.0	3859.0	12132.0	4465.0	2207.0
6888/	1775.0	5690.0	996.0	3698.0	3279.0	2431.0	19629.0	5497.0	5531.0	4619.0	11591.0	4035.0	2543.0
6908/	1802.0	5896.0	911.0	3148.0	2943.0	2134.0	20462.0	4672.0	5618.0	3413.0	12996.0	3577.0	2639.0
6909/	1588.0	5108.0	795.0	2955.0	2524.0	1898.0	15937.0	4592.0	6077.0	3483.0	11574.0	3418.0	2709.0
6955/	2024.0	6207.0	894.0	3547.0	3744.0	2294.0	21896.0	5198.0	7993.0	6580.0	16133.0	4548.0	3316.0
6957/	1884.0	5586.0	821.0	3089.0	2589.0	1982.0	17617.0	4384.0	4384.0	3394.0	10924.0	2788.0	2852.0
6958/	2073.0	7922.0	980.0	3832.0	3103.0	2173.0	19897.0	5858.0	6682.0	4577.0	13146.0	4188.0	3095.0
6964/	1724.0	5717.0	845.0	2998.0	2666.0	1803.0	16544.0	4643.0	4843.0	2931.0	10687.0	3375.0	2458.0
6965/	2277.0	7279.0	1028.0	3660.0	3286.0	2302.0	22468.0	4898.0	7449.0	3809.0	12796.0	3999.0	3697.0
6983/	1768.0	6881.0	1161.0	3215.0	2695.0	2473.0	20203.0	4349.0	6791.0	5277.0	13647.0	3240.0	3135.0
6985/	1757.0	5763.0	868.0	3275.0	2847.0	1827.0	17837.0	4147.0	5434.0	3364.0	9905.0	2271.0	2846.0
