lh.aparc.a2009s.area	lh_G_and_S_frontomargin_area	lh_G_and_S_occipital_inf_area	lh_G_and_S_paracentral_area	lh_G_and_S_subcentral_area	lh_G_and_S_transv_frontopol_area	lh_G_and_S_cingul-Ant_area	lh_G_and_S_cingul-Mid-Ant_area	lh_G_and_S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg_and_S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet_and_P_trans_area	lh_S_oc_middle_and_Lunatus_area	lh_S_oc_sup_and_transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med_and_Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area
10398/	681.0	986.0	866.0	919.0	470.0	1544.0	1066.0	781.0	290.0	208.0	1493.0	1067.0	166.0	786.0	2232.0	4144.0	317.0	385.0	1257.0	1316.0	1164.0	2022.0	730.0	1440.0	1338.0	1709.0	2118.0	1249.0	1511.0	2139.0	638.0	72.0	279.0	1210.0	332.0	646.0	1463.0	1837.0	175.0	162.0	862.0	1351.0	1139.0	1621.0	1973.0	877.0	289.0	876.0	1076.0	358.0	290.0	1550.0	878.0	1533.0	238.0	1895.0	620.0	857.0	422.0	567.0	1796.0	232.0	414.0	718.0	1001.0	724.0	1772.0	1028.0	823.0	349.0	533.0	952.0	2760.0	197.0	75780.5
10423/	800.0	1455.0	917.0	1003.0	417.0	1713.0	918.0	1024.0	396.0	235.0	1832.0	931.0	247.0	873.0	3081.0	4879.0	335.0	511.0	1828.0	1210.0	1288.0	2497.0	742.0	1726.0	1574.0	2096.0	2283.0	1452.0	1595.0	1477.0	713.0	178.0	424.0	1633.0	499.0	724.0	1363.0	2327.0	237.0	260.0	970.0	1441.0	1278.0	1925.0	2089.0	702.0	333.0	940.0	1239.0	340.0	309.0	1657.0	814.0	1931.0	165.0	2037.0	1015.0	690.0	716.0	636.0	2067.0	308.0	617.0	694.0	1592.0	824.0	2164.0	923.0	840.0	342.0	683.0	816.0	4009.0	158.0	86956.4
10524/	869.0	1420.0	879.0	1010.0	461.0	1725.0	1185.0	1065.0	379.0	242.0	1408.0	1198.0	287.0	820.0	2929.0	5929.0	386.0	524.0	1552.0	1201.0	1716.0	2803.0	888.0	1726.0	2038.0	2376.0	2653.0	1718.0	2242.0	1895.0	697.0	264.0	491.0	1598.0	639.0	922.0	1643.0	1866.0	219.0	263.0	763.0	1810.0	1378.0	2256.0	2265.0	782.0	354.0	873.0	1287.0	809.0	567.0	1470.0	1124.0	2511.0	584.0	2419.0	1083.0	900.0	471.0	514.0	2072.0	298.0	514.0	1001.0	1737.0	862.0	2299.0	1072.0	1367.0	569.0	759.0	824.0	4348.0	370.0	96432.1
10536/	559.0	1148.0	811.0	824.0	529.0	1639.0	848.0	879.0	403.0	177.0	1512.0	1062.0	152.0	808.0	2957.0	4638.0	266.0	470.0	1798.0	1147.0	1394.0	2474.0	686.0	1536.0	1956.0	1929.0	2060.0	1357.0	1385.0	1523.0	641.0	203.0	336.0	1388.0	245.0	645.0	2185.0	1800.0	198.0	213.0	816.0	1455.0	1326.0	1745.0	2057.0	691.0	320.0	984.0	1101.0	710.0	323.0	1877.0	1002.0	2074.0	303.0	1978.0	921.0	956.0	547.0	634.0	1769.0	248.0	691.0	972.0	1657.0	667.0	2088.0	864.0	789.0	450.0	727.0	884.0	4073.0	243.0	84722.3
10547/	1042.0	970.0	1216.0	1311.0	508.0	1943.0	1354.0	1124.0	396.0	340.0	1557.0	1123.0	260.0	817.0	4374.0	4857.0	247.0	466.0	1954.0	1508.0	1324.0	2521.0	1059.0	2308.0	2158.0	2176.0	2262.0	2069.0	2254.0	2533.0	866.0	482.0	459.0	1740.0	468.0	865.0	2343.0	2335.0	240.0	230.0	1021.0	1499.0	1170.0	1900.0	2843.0	961.0	431.0	1088.0	1363.0	825.0	292.0	2139.0	1589.0	2721.0	123.0	2335.0	1194.0	1119.0	393.0	949.0	1848.0	475.0	729.0	1274.0	1630.0	987.0	3044.0	1339.0	930.0	485.0	787.0	1262.0	4466.0	384.0	103650.0
10563/	719.0	1089.0	949.0	1127.0	552.0	1371.0	819.0	740.0	300.0	183.0	985.0	1124.0	202.0	671.0	2265.0	4666.0	269.0	495.0	1065.0	783.0	1474.0	1626.0	716.0	1415.0	1494.0	1896.0	1725.0	1252.0	1765.0	1520.0	570.0	179.0	358.0	1440.0	283.0	782.0	1890.0	1704.0	240.0	171.0	891.0	1087.0	969.0	1290.0	1938.0	654.0	412.0	1063.0	1253.0	464.0	202.0	1713.0	836.0	1758.0	415.0	1690.0	370.0	810.0	360.0	509.0	1692.0	206.0	378.0	789.0	1506.0	809.0	1741.0	613.0	744.0	378.0	490.0	873.0	3118.0	298.0	75190.5
10566/	711.0	1096.0	999.0	1023.0	472.0	1451.0	913.0	899.0	327.0	134.0	1046.0	704.0	229.0	710.0	2948.0	4533.0	304.0	511.0	1129.0	882.0	965.0	1404.0	762.0	1450.0	1751.0	1907.0	1677.0	1098.0	1615.0	1730.0	625.0	78.0	390.0	1145.0	360.0	565.0	1928.0	1935.0	254.0	295.0	774.0	1256.0	1027.0	1376.0	2121.0	794.0	382.0	829.0	1410.0	528.0	244.0	1047.0	856.0	1796.0	264.0	1924.0	396.0	865.0	549.0	706.0	1377.0	317.0	481.0	729.0	1488.0	625.0	1713.0	1021.0	718.0	371.0	625.0	623.0	3596.0	295.0	76077.7
10606/	842.0	1130.0	1127.0	1263.0	470.0	1678.0	978.0	882.0	423.0	216.0	1400.0	1073.0	181.0	1022.0	3587.0	4498.0	242.0	411.0	1387.0	982.0	1055.0	2567.0	786.0	1634.0	1504.0	2494.0	2193.0	1327.0	2086.0	1992.0	778.0	298.0	457.0	1595.0	356.0	895.0	1493.0	2107.0	373.0	158.0	1073.0	1488.0	1233.0	1517.0	2203.0	833.0	305.0	909.0	1143.0	808.0	350.0	1488.0	1282.0	1904.0	112.0	2326.0	969.0	901.0	679.0	501.0	1728.0	211.0	639.0	830.0	1284.0	432.0	2147.0	1210.0	934.0	400.0	876.0	999.0	4317.0	398.0	88365.6
10620/	1204.0	971.0	958.0	1107.0	627.0	2181.0	1237.0	1301.0	533.0	360.0	1374.0	1083.0	210.0	999.0	4355.0	5961.0	409.0	575.0	1506.0	1394.0	1834.0	1977.0	957.0	2203.0	1900.0	2344.0	2577.0	1672.0	2328.0	2365.0	918.0	494.0	479.0	1608.0	556.0	813.0	1939.0	2615.0	313.0	210.0	1019.0	1462.0	1403.0	1772.0	2634.0	727.0	529.0	954.0	1363.0	665.0	235.0	1685.0	1367.0	2612.0	435.0	2672.0	923.0	1078.0	763.0	796.0	2099.0	376.0	608.0	1178.0	1386.0	1051.0	1762.0	1619.0	1061.0	386.0	1086.0	1292.0	5557.0	175.0	103179.0
10621/	1090.0	1128.0	1219.0	1206.0	559.0	2243.0	939.0	855.0	470.0	242.0	1596.0	1247.0	206.0	813.0	3927.0	5574.0	305.0	517.0	1477.0	1305.0	1475.0	1905.0	863.0	1873.0	2063.0	1819.0	2875.0	1444.0	2140.0	1562.0	812.0	403.0	380.0	1659.0	416.0	612.0	2007.0	2364.0	251.0	259.0	800.0	1489.0	1248.0	1848.0	2553.0	781.0	422.0	1045.0	1301.0	660.0	238.0	2062.0	1254.0	2689.0	299.0	2544.0	1010.0	1102.0	891.0	659.0	1496.0	314.0	738.0	1177.0	1615.0	747.0	1871.0	1510.0	906.0	513.0	909.0	968.0	4350.0	254.0	96357.3
