rh.BA.area	rh_BA1_area	rh_BA2_area	rh_BA3a_area	rh_BA3b_area	rh_BA4a_area	rh_BA4p_area	rh_BA6_area	rh_BA44_area	rh_BA45_area	rh_V1_area	rh_V2_area	rh_MT_area	rh_perirhinal_area	rh_WhiteSurfArea_area
10398/	395.0	1714.0	627.0	1058.0	898.0	731.0	4534.0	2528.0	2952.0	2670.0	5398.0	1299.0	353.0	81049.4
10423/	546.0	2271.0	665.0	1333.0	1034.0	874.0	5124.0	2664.0	3113.0	2733.0	6367.0	1595.0	441.0	93820.3
10524/	593.0	2497.0	778.0	1448.0	1057.0	846.0	5905.0	3406.0	3369.0	3478.0	6506.0	1472.0	479.0	101327.0
10536/	472.0	1752.0	685.0	1275.0	971.0	830.0	4901.0	3005.0	3116.0	2948.0	6429.0	1593.0	434.0	91977.0
10547/	600.0	2288.0	787.0	1433.0	997.0	886.0	5873.0	2898.0	3977.0	3179.0	5956.0	1625.0	440.0	108414.0
10563/	411.0	1846.0	683.0	1219.0	981.0	895.0	5359.0	2159.0	2559.0	2183.0	4151.0	1170.0	410.0	81205.5
10566/	470.0	1906.0	757.0	1321.0	1017.0	957.0	5651.0	2275.0	3146.0	2202.0	4353.0	1132.0	378.0	83188.7
10606/	600.0	2541.0	742.0	1346.0	1224.0	921.0	6097.0	2576.0	3516.0	2733.0	5177.0	1669.0	482.0	93772.0
10620/	662.0	2506.0	867.0	1767.0	1209.0	938.0	7518.0	3041.0	3515.0	2941.0	5759.0	1379.0	410.0	106751.0
10621/	549.0	2101.0	789.0	1448.0	1138.0	926.0	6797.0	2907.0	4008.0	2823.0	6444.0	1796.0	495.0	101313.0
10667/	456.0	2079.0	597.0	1042.0	754.0	691.0	4263.0	2499.0	3163.0	2450.0	5515.0	1317.0	385.0	86193.7
10813/	533.0	2099.0	685.0	1401.0	860.0	732.0	5592.0	2736.0	3580.0	2694.0	5679.0	1681.0	489.0	89591.4
10903/	607.0	2672.0	740.0	1470.0	1102.0	849.0	5881.0	2543.0	3007.0	2632.0	5697.0	1217.0	524.0	104479.0
10943/	445.0	1872.0	658.0	1308.0	864.0	797.0	4857.0	2573.0	2812.0	2374.0	5336.0	1318.0	429.0	83385.0
5202/	388.0	1759.0	625.0	1121.0	921.0	785.0	4910.0	2700.0	2892.0	2618.0	5418.0	1302.0	353.0	82410.5
5302/	508.0	2169.0	684.0	1241.0	1102.0	791.0	4815.0	2266.0	3027.0	2677.0	5216.0	1237.0	450.0	85470.1
5305/	444.0	1850.0	688.0	1271.0	813.0	749.0	4194.0	2387.0	3071.0	2610.0	4892.0	1513.0	357.0	81364.5
5306/	511.0	1838.0	678.0	1294.0	900.0	755.0	4771.0	2862.0	3423.0	2192.0	4844.0	1098.0	300.0	77105.0
5464/	421.0	1858.0	711.0	1272.0	967.0	759.0	5170.0	2598.0	2388.0	2542.0	5549.0	1368.0	391.0	83220.8
5505/	506.0	2074.0	694.0	1264.0	861.0	775.0	4923.0	2746.0	2986.0	2730.0	5482.0	1589.0	433.0	88980.7
5506/	416.0	1879.0	595.0	1043.0	763.0	695.0	4173.0	2465.0	2586.0	2446.0	4686.0	1003.0	303.0	71302.6
