rh.BA.meancurv	rh_BA1_meancurv	rh_BA2_meancurv	rh_BA3a_meancurv	rh_BA3b_meancurv	rh_BA4a_meancurv	rh_BA4p_meancurv	rh_BA6_meancurv	rh_BA44_meancurv	rh_BA45_meancurv	rh_V1_meancurv	rh_V2_meancurv	rh_MT_meancurv	rh_perirhinal_meancurv
10398/	0.149	0.108	0.142	0.115	0.12	0.122	0.135	0.133	0.155	0.154	0.158	0.155	0.108
10423/	0.185	0.135	0.145	0.15	0.173	0.151	0.157	0.141	0.155	0.165	0.165	0.143	0.217
10524/	0.165	0.126	0.148	0.132	0.134	0.123	0.145	0.14	0.154	0.167	0.167	0.155	0.15
10536/	0.137	0.129	0.145	0.121	0.117	0.12	0.134	0.128	0.15	0.17	0.161	0.141	0.125
10547/	0.152	0.12	0.142	0.123	0.129	0.127	0.141	0.124	0.147	0.156	0.159	0.122	0.129
10563/	0.147	0.117	0.142	0.12	0.135	0.148	0.136	0.131	0.154	0.148	0.153	0.138	0.131
10566/	0.142	0.124	0.159	0.13	0.162	0.149	0.15	0.131	0.143	0.158	0.149	0.135	0.13
10606/	0.167	0.138	0.162	0.129	0.161	0.143	0.158	0.147	0.155	0.17	0.163	0.149	0.188
10620/	0.159	0.127	0.13	0.13	0.129	0.12	0.142	0.126	0.144	0.151	0.155	0.152	0.152
10621/	0.168	0.124	0.146	0.133	0.171	0.137	0.152	0.138	0.153	0.165	0.164	0.145	0.156
10667/	0.154	0.137	0.146	0.124	0.137	0.12	0.135	0.12	0.141	0.15	0.16	0.126	0.127
10813/	0.173	0.143	0.153	0.145	0.161	0.123	0.151	0.132	0.155	0.173	0.163	0.141	0.177
10903/	0.166	0.131	0.148	0.136	0.158	0.121	0.157	0.132	0.142	0.171	0.162	0.161	0.135
10943/	0.169	0.133	0.164	0.135	0.169	0.143	0.154	0.144	0.148	0.178	0.169	0.15	0.175
5202/	0.167	0.119	0.15	0.127	0.159	0.14	0.155	0.139	0.152	0.172	0.169	0.156	0.131
5302/	0.188	0.139	0.166	0.152	0.196	0.15	0.162	0.152	0.16	0.188	0.185	0.174	0.161
5305/	0.205	0.135	0.151	0.156	0.164	0.142	0.158	0.152	0.157	0.165	0.167	0.147	0.137
5306/	0.192	0.138	0.167	0.153	0.185	0.155	0.171	0.159	0.159	0.173	0.176	0.15	0.23
5464/	0.194	0.151	0.166	0.188	0.206	0.173	0.198	0.153	0.176	0.182	0.181	0.163	0.184
5505/	0.142	0.126	0.142	0.131	0.16	0.125	0.15	0.136	0.157	0.17	0.172	0.15	0.192
5506/	0.153	0.148	0.16	0.133	0.149	0.139	0.151	0.143	0.15	0.162	0.169	0.142	0.16
5514/	0.146	0.122	0.14	0.131	0.143	0.142	0.146	0.134	0.145	0.164	0.168	0.131	0.157
5515/	0.176	0.131	0.158	0.148	0.166	0.154	0.166	0.161	0.161	0.175	0.173	0.154	0.18
5516/	0.177	0.128	0.153	0.136	0.168	0.16	0.166	0.144	0.16	0.173	0.169	0.142	0.153
5518/	0.19	0.128	0.15	0.132	0.142	0.134	0.141	0.13	0.146	0.16	0.16	0.13	0.134
5640/	0.173	0.149	0.156	0.16	0.184	0.187	0.165	0.136	0.152	0.172	0.164	0.16	0.143
5649/	0.18	0.137	0.155	0.156	0.171	0.164	0.163	0.147	0.154	0.174	0.167	0.148	0.171
5754/	0.183	0.14	0.158	0.154	0.171	0.144	0.174	0.143	0.15	0.167	0.181	0.151	0.189
5755/	0.177	0.157	0.158	0.166	0.169	0.153	0.173	0.149	0.169	0.157	0.171	0.153	0.183
5771/	0.17	0.124	0.14	0.131	0.154	0.136	0.152	0.12	0.129	0.165	0.162	0.133	0.166
5825/	0.181	0.15	0.163	0.168	0.175	0.144	0.172	0.157	0.158	0.189	0.165	0.149	0.191
5843/	0.167	0.123	0.15	0.133	0.167	0.142	0.15	0.138	0.162	0.16	0.16	0.154	0.148
5844/	0.188	0.153	0.145	0.132	0.128	0.125	0.144	0.14	0.151	0.157	0.164	0.145	0.16
5899/	0.171	0.13	0.15	0.142	0.127	0.125	0.134	0.135	0.15	0.171	0.17	0.157	0.147
5900/	0.154	0.142	0.147	0.142	0.136	0.147	0.144	0.136	0.155	0.269	0.188	0.163	0.156
5902/	0.234	0.181	0.171	0.175	0.218	0.171	0.18	0.163	0.168	0.166	0.176	0.152	0.203
5953/	0.203	0.139	0.155	0.144	0.179	0.161	0.157	0.148	0.163	0.179	0.173	0.145	0.153
5955/	0.18	0.127	0.134	0.121	0.133	0.134	0.146	0.136	0.136	0.165	0.168	0.149	0.151
5977/	0.159	0.129	0.154	0.137	0.153	0.138	0.142	0.139	0.156	0.167	0.157	0.152	0.153
6010/	0.244	0.178	0.207	0.201	0.213	0.206	0.204	0.164	0.188	0.239	0.208	0.162	0.229
6026/	0.142	0.115	0.14	0.128	0.141	0.132	0.141	0.131	0.153	0.171	0.161	0.147	0.168
6028/	0.168	0.132	0.14	0.126	0.138	0.132	0.142	0.142	0.156	0.148	0.158	0.144	0.135
6033/	0.159	0.119	0.134	0.14	0.136	0.13	0.147	0.136	0.157	0.176	0.164	0.124	0.139
6034/	0.17	0.136	0.147	0.149	0.152	0.13	0.161	0.141	0.159	0.158	0.169	0.138	0.157
6035/	0.218	0.184	0.177	0.201	0.217	0.21	0.188	0.153	0.151	0.202	0.175	0.163	0.148
6040/	0.155	0.129	0.146	0.139	0.145	0.123	0.145	0.138	0.149	0.185	0.167	0.139	0.136
6044/	0.178	0.14	0.158	0.158	0.171	0.177	0.178	0.153	0.156	0.169	0.172	0.149	0.197
6045/	0.137	0.114	0.163	0.129	0.147	0.159	0.149	0.129	0.144	0.15	0.151	0.138	0.134
6057/	0.159	0.139	0.144	0.142	0.151	0.148	0.164	0.139	0.161	0.167	0.165	0.133	0.167
6058/	0.158	0.145	0.152	0.151	0.162	0.149	0.149	0.142	0.155	0.151	0.159	0.128	0.146
6060/	0.166	0.125	0.138	0.13	0.156	0.154	0.147	0.136	0.14	0.16	0.154	0.132	0.151
6102/	0.148	0.125	0.143	0.123	0.14	0.152	0.149	0.128	0.141	0.159	0.159	0.135	0.137
6103/	0.16	0.134	0.139	0.126	0.158	0.159	0.152	0.133	0.141	0.162	0.158	0.137	0.148
6105/	0.143	0.123	0.134	0.122	0.129	0.123	0.147	0.147	0.149	0.16	0.164	0.155	0.159
6138/	0.172	0.132	0.157	0.146	0.152	0.145	0.147	0.137	0.16	0.164	0.17	0.149	0.152
