rh.BA.thickness	rh_BA1_thickness	rh_BA2_thickness	rh_BA3a_thickness	rh_BA3b_thickness	rh_BA4a_thickness	rh_BA4p_thickness	rh_BA6_thickness	rh_BA44_thickness	rh_BA45_thickness	rh_V1_thickness	rh_V2_thickness	rh_MT_thickness	rh_perirhinal_thickness
10398/	2.344	1.824	1.546	1.624	2.686	2.343	2.787	2.581	2.46	1.562	2.146	2.441	3.468
10423/	2.206	1.887	1.907	1.687	2.435	2.246	2.598	2.463	2.451	1.77	2.103	2.126	2.513
10524/	2.152	1.845	1.522	1.538	2.509	2.24	2.593	2.348	2.312	1.639	2.044	2.038	3.188
10536/	2.449	2.086	1.66	1.853	2.577	2.534	2.682	2.492	2.483	1.812	2.022	2.445	3.454
10547/	2.199	2.11	1.807	1.816	2.615	2.502	2.757	2.606	2.481	1.955	2.196	2.239	3.37
10563/	2.38	2.029	1.824	1.793	2.904	2.661	3.048	2.836	2.664	1.788	2.091	2.365	3.329
10566/	2.667	2.211	1.777	1.777	2.855	2.556	2.682	2.539	2.639	1.866	2.189	2.361	3.417
10606/	2.151	2.033	1.65	1.571	2.428	1.989	2.498	2.638	2.51	1.518	2.033	2.343	3.411
10620/	2.639	2.365	1.781	1.8	2.9	2.595	2.852	2.785	2.757	1.819	2.148	2.665	3.43
10621/	2.296	2.21	1.662	1.846	2.481	2.462	2.581	2.552	2.414	1.646	2.086	2.285	3.394
10667/	2.523	2.343	1.797	1.724	2.741	2.463	2.9	2.806	2.708	1.8	2.287	2.654	3.481
10813/	2.661	2.15	1.791	1.772	2.519	2.39	2.815	2.757	2.685	2.146	2.257	2.694	2.982
10903/	2.423	2.109	1.694	1.789	2.576	2.404	2.629	2.566	2.462	1.747	2.056	2.32	3.339
10943/	2.598	2.256	1.969	1.911	2.521	2.229	2.893	2.835	2.821	1.823	2.218	2.356	3.359
5202/	2.375	2.001	1.691	1.76	2.64	2.379	2.752	2.558	2.531	1.702	2.116	2.329	3.586
5302/	2.347	2.019	1.781	1.771	2.515	2.373	2.853	2.586	2.726	1.996	2.032	2.271	3.486
5305/	2.197	1.956	1.808	1.644	2.563	2.543	2.766	2.494	2.55	1.779	2.13	2.187	3.334
5306/	2.328	2.327	1.657	1.548	2.481	2.276	2.765	2.565	2.408	1.709	2.049	2.491	2.876
5464/	2.127	1.897	1.564	1.653	2.072	2.052	2.243	2.3	2.305	1.536	1.728	2.021	3.115
5505/	2.381	2.022	1.701	1.688	2.603	2.377	2.766	2.696	2.721	1.813	2.147	2.276	3.213
5506/	2.481	2.204	1.574	1.694	2.636	2.073	2.907	2.587	2.821	1.779	2.151	2.496	3.14
5514/	2.843	2.46	1.824	1.962	2.864	2.52	3.173	3.04	2.835	1.746	2.369	2.51	3.294
5515/	2.482	2.229	1.665	1.723	2.368	2.247	2.574	2.496	2.452	1.625	1.967	2.224	2.751
5516/	2.282	1.851	1.743	1.647	2.326	2.19	2.485	2.345	2.337	1.72	2.07	2.14	3.612
5518/	2.396	2.33	1.747	1.817	2.786	2.457	2.974	2.648	2.829	1.751	2.158	2.184	3.445
5640/	2.847	2.291	1.778	1.999	2.677	2.375	2.787	2.617	2.601	1.803	2.17	2.346	3.263
5649/	2.627	2.39	1.94	1.871	2.696	2.438	2.967	2.908	2.897	1.748	2.354	2.591	3.439
5754/	2.258	2.008	1.72	1.641	2.36	2.214	2.689	2.751	2.827	1.732	2.068	2.371	2.961
5755/	2.431	2.253	1.66	1.903	2.545	2.468	2.554	2.546	2.617	1.753	2.064	2.29	3.718
5771/	2.744	2.243	1.816	1.854	2.686	2.547	2.856	2.801	2.751	1.84	2.284	2.532	3.418
5825/	2.521	2.214	1.727	1.916	2.452	2.283	2.545	2.472	2.194	2.009	2.327	2.081	2.691
5843/	2.333	2.103	1.727	1.818	2.599	2.434	2.687	2.369	2.368	1.749	2.038	2.241	3.527
5844/	2.586	2.395	1.663	1.968	2.649	2.321	2.692	2.676	2.773	1.874	2.03	2.221	4.048
5899/	2.208	2.134	1.786	1.823	2.666	2.319	2.681	2.523	2.396	1.713	2.111	2.523	3.87
5900/	2.627	2.305	1.799	1.787	2.768	2.44	2.835	2.531	2.567	2.292	2.227	2.47	2.754
5902/	2.23	2.229	1.806	1.735	2.429	2.463	2.694	2.537	2.691	1.566	2.027	2.529	3.492
5953/	2.364	2.007	1.659	1.648	2.576	2.374	2.845	2.462	2.441	1.734	2.127	2.179	2.698
5955/	2.439	2.316	1.706	1.803	2.721	2.592	2.81	2.725	2.704	1.647	2.234	2.626	3.672
5977/	2.408	2.202	1.777	1.714	2.576	2.477	2.802	2.6	2.652	1.665	2.127	2.394	3.774
6010/	2.296	2.147	1.823	1.726	2.456	2.358	2.455	2.637	2.488	1.994	2.202	2.182	3.07
6026/	2.283	2.085	1.674	1.767	2.325	2.464	2.52	2.665	2.485	1.785	2.034	2.213	3.579
6028/	2.298	2.108	1.705	1.756	2.572	2.329	2.645	2.365	2.414	1.682	1.965	2.348	3.029
6033/	2.265	1.946	1.616	1.762	2.365	2.322	2.508	2.415	2.425	1.798	2.113	2.227	3.748
6034/	2.076	1.963	1.593	1.7	2.313	2.123	2.532	2.405	2.373	1.651	2.128	2.285	2.879
6035/	2.303	2.043	1.714	1.855	2.434	2.203	2.547	2.609	2.553	1.835	2.14	2.355	3.206
6040/	2.363	2.162	1.676	1.695	2.467	2.403	2.729	2.598	2.686	1.806	2.298	2.422	3.689
6044/	2.391	2.201	1.757	1.801	2.361	2.355	2.595	2.387	2.289	1.513	2.036	2.154	2.471
6045/	2.638	2.348	1.927	1.958	2.714	2.472	2.932	2.712	2.672	1.502	2.025	2.424	3.333
6057/	2.334	1.978	1.738	1.572	2.668	2.206	2.63	2.636	2.491	1.653	2.075	2.266	3.57
6058/	2.565	2.218	1.822	1.949	2.731	2.522	2.745	2.643	2.742	1.508	2.165	2.547	3.551
6060/	2.335	2.124	1.752	1.705	2.932	2.55	2.919	2.713	2.646	2.033	2.164	2.659	3.435
6102/	2.319	2.215	1.716	1.832	2.645	2.556	2.609	2.302	2.387	1.747	1.957	2.248	3.291
6103/	2.255	2.059	1.685	1.825	2.435	2.443	2.566	2.581	2.561	1.895	2.132	2.241	3.635
6105/	2.454	2.344	1.921	1.911	2.684	2.644	2.868	2.753	2.759	2.069	2.316	2.391	2.955
6138/	2.136	1.896	1.586	1.618	2.334	2.199	2.4	2.398	2.494	1.63	1.937	2.168	3.274
6149/	2.416	2.203	1.897	1.634	2.617	2.352	2.869	2.629	2.739	1.743	2.123	2.437	3.976
6162/	2.525	2.27	1.686	1.716	2.724	2.451	2.707	2.523	2.55	1.593	1.943	2.151	3.456
6163/	2.691	2.301	1.761	1.99	2.933	2.578	2.988	2.726	2.931	1.781	2.212	2.484	3.599
6165/	2.324	2.037	1.641	1.843	2.547	2.272	2.58	2.67	2.525	1.87	2.046	2.235	2.973
6167/	2.184	2.01	1.842	1.767	2.663	2.541	2.792	2.543	2.63	1.874	2.187	2.271	3.538
6199/	2.136	2.131	1.806	1.611	2.585	2.421	2.435	2.346	2.203	2.019	2.108	2.014	3.143
6226/	2.414	2.081	1.519	1.718	2.542	2.205	2.57	2.645	2.632	1.774	2.012	2.245	2.833
6227/	2.432	2.02	1.622	1.764	2.414	2.174	2.778	2.704	2.54	1.766	2.207	2.62	2.674
6228/	2.105	1.977	1.556	1.588	2.513	2.462	2.468	2.446	2.271	1.711	2.004	2.262	3.343
6229/	2.235	1.995	1.788	1.704	2.725	2.408	2.697	2.531	2.43	1.885	2.096	2.443	2.791
6291/	2.134	1.841	1.605	1.65	2.521	2.295	2.517	2.423	2.54	1.897	1.959	1.699	2.977
6347/	2.372	2.117	1.732	1.702	2.594	2.426	2.603	2.277	2.408	1.706	2.102	2.129	3.359
6348/	2.478	2.161	1.754	1.83	2.439	2.439	2.461	2.514	2.432	1.657	1.838	1.978	3.481
6503/	2.358	2.098	1.697	1.656	2.297	2.101	2.547	2.475	2.253	1.604	2.042	2.33	2.396
6512/	2.372	2.231	1.948	1.851	2.615	2.548	2.585	2.475	2.326	1.851	2.013	2.252	3.493
6613/	2.542	2.309	1.745	1.864	2.57	2.432	2.769	2.626	2.668	1.909	2.242	2.579	3.067
6712/	2.176	2.011	1.625	1.567	2.274	1.992	2.364	2.381	2.347	1.583	1.913	2.321	3.305
6730/	2.254	2.144	1.834	1.715	2.565	2.075	2.779	2.439	2.534	1.755	2.034	2.402	3.113
6731/	2.246	2.11	1.721	1.6	2.636	2.149	2.742	2.481	2.51	1.535	2.269	2.596	2.832
6732/	2.121	1.91	1.736	1.68	2.381	2.287	2.503	2.625	2.484	1.659	2.082	2.232	2.955
6738/	2.233	2.111	1.623	1.711	2.301	2.12	2.519	2.478	2.404	1.642	2.006	2.449	3.107
6741/	2.294	2.139	1.702	1.676	2.746	2.353	2.705	2.583	2.66	1.627	2.166	2.442	3.533
6802/	2.474	2.295	1.597	1.826	2.531	2.423	2.642	2.425	2.262	1.89	2.233	2.15	3.957
6863/	2.329	1.929	1.783	1.627	2.352	1.985	2.796	2.519	2.528	1.761	2.087	2.074	3.187
6888/	2.138	1.895	1.621	1.649	2.132	2.316	2.423	2.453	2.422	1.733	1.871	2.062	3.4
6908/	2.188	1.89	1.859	1.723	2.467	2.436	2.543	2.355	2.345	1.649	2.033	2.225	3.063
6909/	2.394	2.015	1.639	1.692	2.434	2.369	2.469	2.383	2.312	1.679	2.001	2.18	3.136
6955/	2.338	2.122	1.755	1.752	2.755	2.458	2.89	2.758	2.929	1.991	2.248	2.32	2.912
6957/	2.572	2.154	1.872	1.888	2.763	2.503	2.665	2.478	2.412	1.909	2.044	2.187	3.132
6958/	2.519	2.105	1.955	1.906	2.608	2.59	2.673	2.78	2.682	1.859	2.17	2.258	3.561
6964/	2.4	2.101	1.846	1.904	2.555	2.597	2.557	2.42	2.309	1.776	2.192	2.352	3.45
6965/	2.253	2.014	1.855	1.654	2.69	2.53	2.67	2.645	2.714	1.692	2.181	2.368	3.134
6983/	1.99	2.0	1.837	1.665	2.688	2.611	2.689	2.534	2.466	1.788	1.921	2.263	2.866
6985/	2.148	1.912	1.713	1.819	2.439	2.361	2.452	2.335	2.29	1.676	1.99	2.083	3.319
7105/	2.265	2.088	1.717	1.831	2.398	2.487	2.573	2.335	2.299	1.613	1.901	2.206	3.622
7106/	2.362	2.235	1.622	1.832	2.631	2.624	2.761	2.651	2.557	1.795	2.234	2.501	3.532
7108/	2.217	1.839	1.887	1.79	2.053	2.074	2.516	2.549	2.516	1.627	2.077	2.265	3.615
7151/	2.315	2.153	1.714	1.701	2.712	2.438	2.488	2.373	2.311	1.656	1.998	2.134	2.818
7152/	2.391	2.311	1.711	1.8	2.659	2.545	2.467	2.575	2.358	1.783	2.001	2.121	2.664
7163/	2.106	1.888	1.574	1.621	2.203	2.248	2.322	2.395	2.247	1.76	1.828	2.177	3.423
7168/	2.216	2.094	1.649	1.699	2.363	2.094	2.671	2.741	2.59	1.882	2.213	2.455	3.446
7170/	2.473	2.192	1.739	1.806	2.772	2.362	2.797	2.731	2.665	1.768	2.152	2.445	3.053
7206/	2.387	2.122	1.676	1.773	2.617	2.423	2.794	2.689	2.723	1.901	2.178	2.472	3.499
7207/	2.343	1.948	1.574	1.735	2.525	2.237	2.767	2.509	2.545	1.771	2.066	2.304	3.448
7229/	2.505	2.326	1.611	1.789	2.662	2.216	2.56	2.358	2.323	1.999	2.22	2.447	3.349
7230/	2.15	1.953	2.156	1.776	2.462	2.058	2.476	2.306	2.188	1.811	1.954	2.136	2.787
7286/	2.65	2.276	1.776	1.866	2.656	2.337	2.915	2.839	2.768	1.869	2.182	2.44	3.311
7287/	2.468	2.119	1.862	1.837	2.798	2.461	2.879	2.821	2.736	1.972	2.281	2.185	4.064
7289/	2.131	2.122	1.767	1.833	2.738	2.413	2.777	2.59	2.449	1.65	1.934	2.515	3.803
7290/	2.262	2.169	1.826	1.765	2.587	2.381	2.659	2.555	2.574	1.742	2.047	2.265	3.391
7293/	2.33	2.397	1.87	1.796	2.662	2.375	2.869	2.839	2.767	2.033	2.349	2.88	3.338
7321/	2.393	2.121	1.791	1.763	2.87	2.5	2.865	2.671	2.642	2.127	2.236	2.482	3.021
7341/	2.37	2.081	1.608	1.681	2.543	2.355	2.641	2.402	2.415	1.694	1.938	2.276	3.353
7366/	2.471	2.181	1.885	2.01	2.239	2.083	2.784	2.573	2.443	1.931	2.129	2.196	3.383
7367/	2.619	2.264	1.971	1.778	2.752	2.567	2.779	2.746	2.74	1.824	2.238	2.246	3.731
7368/	2.481	2.198	1.8	1.793	2.567	2.368	2.547	2.495	2.377	1.68	2.029	2.388	2.867
7516/	2.451	2.273	1.742	1.738	2.786	2.448	2.602	2.574	2.51	1.809	2.186	2.431	3.18
7690/	2.237	2.08	1.895	1.723	2.358	2.279	2.497	2.436	2.358	1.609	1.986	1.971	3.785
7802/	2.356	2.078	1.793	1.749	2.708	2.397	2.55	2.448	2.368	1.522	1.981	2.171	3.63
7803/	2.054	1.947	1.789	1.648	2.607	2.348	2.617	2.496	2.355	1.706	2.03	2.303	3.402
7895/	2.369	2.165	1.749	1.843	2.69	2.578	2.702	2.449	2.502	1.992	2.239	2.565	3.512
7904/	2.443	2.181	1.764	1.709	2.549	2.394	2.816	2.771	2.77	1.959	2.348	2.376	2.991
7906/	2.356	2.193	1.483	1.6	2.678	2.375	2.578	2.467	2.419	1.59	2.115	2.196	2.846
7953/	2.388	2.079	1.922	1.913	2.733	2.795	2.576	2.526	2.535	1.868	2.189	2.276	3.005
7954/	2.608	2.255	1.903	1.923	3.097	2.752	2.952	2.772	2.733	1.978	2.171	2.343	3.106
8155/	2.604	2.301	1.999	1.962	2.942	2.748	2.99	2.815	2.573	1.951	2.312	2.705	3.25
8231/	2.495	2.319	1.783	1.731	2.705	2.394	2.68	2.518	2.605	1.94	2.158	2.64	3.387
