rh.BA.volume	rh_BA1_volume	rh_BA2_volume	rh_BA3a_volume	rh_BA3b_volume	rh_BA4a_volume	rh_BA4p_volume	rh_BA6_volume	rh_BA44_volume	rh_BA45_volume	rh_V1_volume	rh_V2_volume	rh_MT_volume	rh_perirhinal_volume
10398/	1276.0	3330.0	775.0	2010.0	2844.0	1686.0	14966.0	7113.0	8587.0	4434.0	11934.0	3031.0	1783.0
10423/	1611.0	4403.0	979.0	2588.0	2919.0	1877.0	15725.0	6943.0	9113.0	5055.0	14391.0	3509.0	1460.0
10524/	1765.0	4498.0	929.0	2515.0	3186.0	1856.0	18112.0	8494.0	8946.0	5877.0	14543.0	3216.0	2053.0
10536/	1670.0	3951.0	903.0	2756.0	2968.0	2033.0	15722.0	8026.0	8941.0	5692.0	13701.0	4047.0	1949.0
10547/	1803.0	4741.0	1105.0	2876.0	3015.0	2103.0	18288.0	8139.0	11414.0	6508.0	14911.0	3882.0	1931.0
10563/	1387.0	3644.0	967.0	2476.0	3284.0	2295.0	19173.0	6784.0	8142.0	4229.0	9142.0	2667.0	2063.0
10566/	1796.0	4402.0	1058.0	2754.0	3353.0	2332.0	18067.0	6156.0	10090.0	4402.0	10249.0	2694.0	1892.0
10606/	1590.0	5306.0	946.0	2331.0	3288.0	1791.0	17564.0	7297.0	10065.0	4463.0	11182.0	3808.0	2335.0
10620/	2231.0	6526.0	1273.0	3638.0	4096.0	2425.0	25639.0	9539.0	12145.0	5972.0	13743.0	4058.0	2202.0
10621/	1772.0	4944.0	1044.0	3049.0	3181.0	2241.0	20046.0	7852.0	11038.0	5239.0	14505.0	4080.0	2412.0
10667/	1728.0	5173.0	846.0	2151.0	2455.0	1636.0	14934.0	7575.0	10561.0	4592.0	13646.0	3620.0	1897.0
10813/	1991.0	4789.0	955.0	2962.0	2650.0	1771.0	18913.0	8208.0	11904.0	6456.0	14338.0	5162.0	1974.0
10903/	2040.0	5785.0	987.0	3021.0	3458.0	1997.0	18128.0	7005.0	8693.0	5062.0	12465.0	2995.0	2296.0
10943/	1672.0	4409.0	946.0	2895.0	2495.0	1711.0	16740.0	7742.0	9555.0	4754.0	12550.0	3093.0	1854.0
5202/	1296.0	3706.0	839.0	2274.0	2796.0	1774.0	16150.0	7497.0	8665.0	4884.0	12080.0	2968.0	1836.0
5302/	1622.0	4582.0	909.0	2612.0	3145.0	1861.0	15865.0	6341.0	9764.0	5894.0	11482.0	2948.0	1948.0
5305/	1329.0	3855.0	935.0	2373.0	2461.0	1782.0	13982.0	6156.0	9535.0	4683.0	11145.0	3426.0	1689.0
5306/	1611.0	4401.0	856.0	2304.0	2566.0	1707.0	15747.0	7763.0	9899.0	4063.0	10292.0	2879.0	1141.0
5464/	1233.0	3756.0	905.0	2333.0	2293.0	1488.0	13615.0	6419.0	6425.0	4164.0	10139.0	2741.0	1690.0
5505/	1708.0	4289.0	938.0	2495.0	2622.0	1782.0	15898.0	8081.0	10002.0	5556.0	12658.0	4015.0	2179.0
5506/	1452.0	4132.0	724.0	2129.0	2415.0	1471.0	14297.0	7071.0	8888.0	4565.0	10616.0	2529.0	1347.0
5514/	2275.0	5358.0	895.0	3122.0	2987.0	1899.0	18648.0	7929.0	13073.0	4931.0	13957.0	4775.0	1743.0
5515/	1710.0	4325.0	1002.0	3044.0	2931.0	2204.0	18286.0	7385.0	9473.0	5494.0	13801.0	3154.0	1604.0
5516/	1537.0	3549.0	962.0	2492.0	2335.0	1836.0	16259.0	5358.0	6535.0	3917.0	11030.0	2372.0	1772.0
5518/	1966.0	4624.0	918.0	2696.0	3442.0	2068.0	19401.0	6876.0	10317.0	4209.0	10816.0	3196.0	1470.0
5640/	2379.0	4885.0	1186.0	3826.0	3272.0	2310.0	21105.0	6591.0	8499.0	4697.0	13028.0	3735.0	1867.0
5649/	2327.0	6766.0	1302.0	3766.0	3382.0	2217.0	22849.0	9582.0	11380.0	4128.0	13412.0	4410.0	2246.0
5754/	1927.0	5313.0	934.0	2600.0	2731.0	1695.0	19788.0	7247.0	9805.0	5248.0	12589.0	3537.0	1543.0
5755/	1370.0	3706.0	784.0	2349.0	1871.0	1716.0	11826.0	4836.0	6952.0	4103.0	9373.0	2380.0	2004.0
5771/	2401.0	5629.0	975.0	3104.0	3326.0	2120.0	17544.0	6962.0	10456.0	5540.0	14437.0	3157.0	2190.0
5825/	1819.0	6041.0	965.0	2911.0	2738.0	1805.0	16380.0	7090.0	6473.0	3933.0	12057.0	3643.0	1521.0
5843/	1198.0	3316.0	854.0	2211.0	2407.0	1627.0	11994.0	5030.0	6445.0	3522.0	9143.0	2536.0	1602.0
5844/	1443.0	4159.0	912.0	2808.0	2624.0	1907.0	18144.0	5447.0	7433.0	4307.0	10926.0	2856.0	2204.0
5899/	1806.0	4444.0	989.0	2735.0	2631.0	1599.0	14897.0	6698.0	6115.0	4762.0	10895.0	3524.0	1999.0
5900/	2098.0	5766.0	1146.0	3117.0	3212.0	2234.0	20511.0	7520.0	8890.0	6772.0	13099.0	2941.0	1894.0
5902/	1698.0	5993.0	1035.0	2847.0	3029.0	2248.0	20347.0	8662.0	9992.0	5299.0	12575.0	4198.0	2292.0
