rh.aparc.a2009s.area	rh_G_and_S_frontomargin_area	rh_G_and_S_occipital_inf_area	rh_G_and_S_paracentral_area	rh_G_and_S_subcentral_area	rh_G_and_S_transv_frontopol_area	rh_G_and_S_cingul-Ant_area	rh_G_and_S_cingul-Mid-Ant_area	rh_G_and_S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg_and_S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet_and_P_trans_area	rh_S_oc_middle_and_Lunatus_area	rh_S_oc_sup_and_transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med_and_Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area
10398/	618.0	962.0	835.0	780.0	610.0	1875.0	1034.0	840.0	340.0	180.0	1422.0	833.0	178.0	902.0	2022.0	4166.0	271.0	358.0	1097.0	1273.0	1240.0	1482.0	803.0	1638.0	1800.0	1568.0	1672.0	1071.0	1586.0	1990.0	466.0	134.0	150.0	933.0	395.0	447.0	1488.0	1821.0	233.0	165.0	1013.0	2605.0	1127.0	1605.0	1737.0	900.0	341.0	815.0	951.0	483.0	343.0	1502.0	1003.0	1406.0	276.0	2289.0	617.0	848.0	599.0	550.0	1301.0	391.0	476.0	786.0	1018.0	743.0	1292.0	1193.0	671.0	133.0	731.0	757.0	3467.0	174.0	75821.7
10423/	610.0	856.0	996.0	783.0	769.0	2073.0	1052.0	870.0	351.0	174.0	1725.0	1182.0	344.0	761.0	3451.0	4285.0	351.0	560.0	1693.0	1417.0	1792.0	2086.0	764.0	1694.0	1921.0	1595.0	1871.0	1368.0	1680.0	1608.0	456.0	244.0	328.0	1154.0	410.0	526.0	1611.0	2096.0	238.0	116.0	949.0	2152.0	1270.0	1848.0	2074.0	998.0	535.0	937.0	925.0	470.0	393.0	1733.0	1342.0	2083.0	349.0	2044.0	833.0	928.0	639.0	895.0	1931.0	365.0	343.0	817.0	1973.0	1075.0	1637.0	1031.0	897.0	140.0	800.0	576.0	4888.0	245.0	87973.9
10524/	778.0	1076.0	889.0	1015.0	855.0	2426.0	1505.0	1142.0	406.0	199.0	1824.0	1247.0	235.0	996.0	2979.0	5174.0	385.0	477.0	1821.0	1335.0	1602.0	2192.0	1010.0	1777.0	2422.0	1785.0	1787.0	1525.0	1866.0	1840.0	527.0	273.0	310.0	1461.0	526.0	660.0	1725.0	2436.0	296.0	186.0	923.0	2666.0	1045.0	2185.0	2224.0	906.0	335.0	865.0	943.0	778.0	447.0	1900.0	1320.0	2146.0	547.0	2490.0	851.0	1344.0	426.0	629.0	1517.0	225.0	475.0	969.0	1833.0	1325.0	2122.0	1494.0	931.0	197.0	881.0	991.0	4519.0	236.0	95658.9
10536/	547.0	1008.0	810.0	955.0	660.0	1924.0	1084.0	988.0	370.0	179.0	1464.0	973.0	192.0	730.0	2488.0	4461.0	345.0	449.0	1689.0	1409.0	1668.0	2435.0	853.0	1654.0	2059.0	1575.0	1769.0	1275.0	1721.0	2092.0	538.0	155.0	215.0	1198.0	381.0	467.0	1315.0	2109.0	297.0	161.0	862.0	2476.0	1164.0	1744.0	2056.0	753.0	340.0	826.0	826.0	538.0	422.0	1720.0	1258.0	1875.0	640.0	2274.0	954.0	1217.0	515.0	798.0	1954.0	442.0	611.0	1073.0	1686.0	1050.0	1290.0	1335.0	785.0	322.0	802.0	656.0	4322.0	128.0	86374.7
10547/	762.0	1118.0	783.0	823.0	887.0	2408.0	1277.0	1274.0	511.0	226.0	1415.0	983.0	341.0	957.0	3594.0	5003.0	380.0	417.0	2306.0	1489.0	1183.0	2222.0	1159.0	2297.0	2540.0	2579.0	2181.0	1543.0	1994.0	2054.0	733.0	440.0	271.0	1410.0	515.0	827.0	2170.0	2626.0	330.0	157.0	1227.0	2510.0	1154.0	1722.0	2369.0	1086.0	392.0	939.0	1051.0	841.0	397.0	1957.0	2275.0	1932.0	130.0	3021.0	994.0	1467.0	455.0	1006.0	1435.0	490.0	682.0	1364.0	1792.0	1288.0	1946.0	1246.0	1151.0	281.0	1071.0	1191.0	5159.0	198.0	102406.0
10563/	661.0	850.0	864.0	844.0	614.0	1582.0	857.0	883.0	238.0	133.0	1063.0	761.0	235.0	654.0	2045.0	4691.0	322.0	370.0	1151.0	1000.0	1313.0	1840.0	720.0	1594.0	1898.0	1823.0	1148.0	1141.0	1791.0	1882.0	418.0	221.0	328.0	1001.0	460.0	535.0	1716.0	2099.0	239.0	137.0	1008.0	1411.0	1110.0	1254.0	2070.0	897.0	436.0	832.0	1062.0	593.0	180.0	1117.0	1296.0	1461.0	327.0	2156.0	460.0	700.0	400.0	651.0	1411.0	282.0	547.0	848.0	1451.0	942.0	1486.0	922.0	903.0	86.0	545.0	739.0	3500.0	221.0	75426.2
10566/	492.0	951.0	902.0	869.0	665.0	1772.0	1006.0	1014.0	354.0	127.0	1160.0	955.0	298.0	873.0	2134.0	4597.0	295.0	370.0	1372.0	877.0	1145.0	1575.0	736.0	1552.0	1987.0	1683.0	1245.0	1250.0	1654.0	1651.0	557.0	211.0	239.0	1185.0	418.0	559.0	1321.0	2073.0	368.0	220.0	897.0	1477.0	1120.0	1555.0	2290.0	853.0	443.0	693.0	1049.0	466.0	421.0	1232.0	1368.0	1613.0	140.0	2001.0	386.0	1037.0	389.0	604.0	1256.0	310.0	569.0	673.0	1502.0	1016.0	1464.0	875.0	1136.0	235.0	710.0	624.0	4207.0	211.0	77536.7
10606/	803.0	661.0	985.0	902.0	753.0	1896.0	1275.0	1038.0	273.0	184.0	1498.0	1027.0	374.0	1046.0	3005.0	4814.0	317.0	368.0	1854.0	1076.0	1347.0	1872.0	1006.0	1764.0	1820.0	2344.0	1644.0	1592.0	2098.0	1816.0	552.0	248.0	382.0	1271.0	334.0	689.0	1571.0	2125.0	390.0	176.0	1109.0	2213.0	1142.0	1390.0	2186.0	1019.0	327.0	782.0	935.0	653.0	354.0	1487.0	1244.0	2041.0	195.0	1985.0	760.0	1197.0	612.0	513.0	1480.0	288.0	506.0	973.0	1367.0	942.0	1966.0	1069.0	1456.0	263.0	1083.0	949.0	4448.0	222.0	88347.4
10620/	906.0	1100.0	1040.0	1042.0	1089.0	2071.0	1049.0	1327.0	513.0	212.0	1645.0	983.0	231.0	974.0	3306.0	6045.0	303.0	493.0	1544.0	1377.0	1073.0	1942.0	739.0	2426.0	2596.0	2180.0	1687.0	1844.0	2435.0	2351.0	525.0	419.0	268.0	1595.0	569.0	610.0	1618.0	2333.0	400.0	177.0	1070.0	2213.0	1159.0	1857.0	2600.0	1122.0	489.0	928.0	1203.0	627.0	510.0	1922.0	1794.0	3099.0	571.0	2270.0	713.0	1362.0	414.0	584.0	1778.0	372.0	708.0	1296.0	1771.0	1424.0	1924.0	1569.0	1350.0	314.0	950.0	1013.0	5088.0	215.0	101315.0
10621/	697.0	931.0	858.0	933.0	729.0	2200.0	1251.0	1107.0	562.0	248.0	1658.0	1011.0	391.0	1127.0	3353.0	5510.0	300.0	444.0	2082.0	1260.0	1307.0	1689.0	826.0	2030.0	1984.0	2211.0	2185.0	1447.0	2089.0	1740.0	573.0	249.0	353.0	1471.0	445.0	594.0	1377.0	2383.0	295.0	182.0	1004.0	2757.0	1273.0	1928.0	2356.0	910.0	389.0	926.0	1034.0	435.0	321.0	1887.0	1945.0	2211.0	223.0	2444.0	1132.0	980.0	620.0	656.0	1468.0	544.0	456.0	987.0	1747.0	1504.0	1580.0	1322.0	1413.0	306.0	917.0	1012.0	4102.0	212.0	95080.9
