rh.aparc.a2009s.thickness	rh_G_and_S_frontomargin_thickness	rh_G_and_S_occipital_inf_thickness	rh_G_and_S_paracentral_thickness	rh_G_and_S_subcentral_thickness	rh_G_and_S_transv_frontopol_thickness	rh_G_and_S_cingul-Ant_thickness	rh_G_and_S_cingul-Mid-Ant_thickness	rh_G_and_S_cingul-Mid-Post_thickness	rh_G_cingul-Post-dorsal_thickness	rh_G_cingul-Post-ventral_thickness	rh_G_cuneus_thickness	rh_G_front_inf-Opercular_thickness	rh_G_front_inf-Orbital_thickness	rh_G_front_inf-Triangul_thickness	rh_G_front_middle_thickness	rh_G_front_sup_thickness	rh_G_Ins_lg_and_S_cent_ins_thickness	rh_G_insular_short_thickness	rh_G_occipital_middle_thickness	rh_G_occipital_sup_thickness	rh_G_oc-temp_lat-fusifor_thickness	rh_G_oc-temp_med-Lingual_thickness	rh_G_oc-temp_med-Parahip_thickness	rh_G_orbital_thickness	rh_G_pariet_inf-Angular_thickness	rh_G_pariet_inf-Supramar_thickness	rh_G_parietal_sup_thickness	rh_G_postcentral_thickness	rh_G_precentral_thickness	rh_G_precuneus_thickness	rh_G_rectus_thickness	rh_G_subcallosal_thickness	rh_G_temp_sup-G_T_transv_thickness	rh_G_temp_sup-Lateral_thickness	rh_G_temp_sup-Plan_polar_thickness	rh_G_temp_sup-Plan_tempo_thickness	rh_G_temporal_inf_thickness	rh_G_temporal_middle_thickness	rh_Lat_Fis-ant-Horizont_thickness	rh_Lat_Fis-ant-Vertical_thickness	rh_Lat_Fis-post_thickness	rh_Pole_occipital_thickness	rh_Pole_temporal_thickness	rh_S_calcarine_thickness	rh_S_central_thickness	rh_S_cingul-Marginalis_thickness	rh_S_circular_insula_ant_thickness	rh_S_circular_insula_inf_thickness	rh_S_circular_insula_sup_thickness	rh_S_collat_transv_ant_thickness	rh_S_collat_transv_post_thickness	rh_S_front_inf_thickness	rh_S_front_middle_thickness	rh_S_front_sup_thickness	rh_S_interm_prim-Jensen_thickness	rh_S_intrapariet_and_P_trans_thickness	rh_S_oc_middle_and_Lunatus_thickness	rh_S_oc_sup_and_transversal_thickness	rh_S_occipital_ant_thickness	rh_S_oc-temp_lat_thickness	rh_S_oc-temp_med_and_Lingual_thickness	rh_S_orbital_lateral_thickness	rh_S_orbital_med-olfact_thickness	rh_S_orbital-H_Shaped_thickness	rh_S_parieto_occipital_thickness	rh_S_pericallosal_thickness	rh_S_postcentral_thickness	rh_S_precentral-inf-part_thickness	rh_S_precentral-sup-part_thickness	rh_S_suborbital_thickness	rh_S_subparietal_thickness	rh_S_temporal_inf_thickness	rh_S_temporal_sup_thickness	rh_S_temporal_transverse_thickness	rh_MeanThickness_thickness
10398/	2.139	2.651	2.265	2.826	2.785	2.716	2.593	2.468	3.201	3.28	1.752	2.82	3.037	2.62	2.768	2.892	3.589	3.787	2.58	2.336	2.668	1.981	2.704	2.947	2.824	2.839	2.261	1.949	2.901	2.391	2.892	2.245	3.011	3.224	3.466	2.675	3.413	3.277	2.389	2.301	2.541	2.06	3.812	1.855	1.748	2.066	2.724	2.602	2.69	2.942	2.44	2.317	2.349	2.521	1.934	2.121	2.076	2.063	2.61	2.461	2.225	1.985	2.46	2.402	2.205	2.598	1.724	2.406	2.199	3.038	2.381	2.734	2.492	2.615	2.53093
10423/	2.317	2.189	2.258	2.826	2.632	2.807	2.613	2.492	2.874	2.477	1.803	2.702	2.599	2.903	2.696	2.883	3.222	3.393	2.398	2.419	2.649	1.985	2.456	2.459	2.438	2.626	2.287	2.088	2.559	2.565	3.231	2.338	2.205	2.858	3.25	2.172	2.737	2.824	2.736	3.467	2.161	2.177	2.833	1.877	1.847	1.942	2.671	2.531	2.584	2.944	1.955	2.053	2.284	2.281	1.896	1.886	1.959	2.123	1.956	2.308	2.059	2.336	2.81	2.158	2.183	1.968	1.772	2.228	2.068	4.129	2.237	2.353	2.175	2.058	2.37886
10524/	2.379	2.405	2.25	2.423	2.319	2.539	2.545	2.487	2.665	2.454	1.719	2.527	2.441	2.584	2.561	2.736	2.984	3.024	2.441	2.027	2.851	2.096	3.122	2.674	2.509	2.624	2.187	1.906	2.672	2.406	2.594	2.403	2.322	2.839	3.437	2.329	2.904	2.932	2.053	2.173	2.481	1.967	2.97	1.845	1.679	1.981	2.381	2.621	2.605	2.693	1.947	2.158	2.026	2.264	2.246	2.065	1.788	1.902	1.903	2.451	2.163	2.014	1.967	2.055	2.133	2.023	1.878	2.229	2.314	2.225	2.116	2.315	2.16	2.128	2.34858
10536/	2.306	2.73	2.165	2.691	2.503	2.484	2.566	2.532	2.75	3.146	1.814	2.748	2.769	2.899	2.673	2.757	3.474	3.355	2.641	2.213	2.751	2.123	3.155	2.832	2.778	2.781	2.36	2.176	2.898	2.421	2.568	2.609	2.541	3.324	3.033	2.468	2.963	3.288	2.506	2.662	2.308	2.071	3.245	1.886	1.938	2.016	2.736	2.487	2.467	3.465	2.21	2.078	2.161	2.299	2.019	1.946	2.181	2.093	2.368	2.497	2.443	2.066	1.987	2.241	2.186	1.95	1.983	2.318	2.13	2.033	1.98	2.606	2.531	2.479	2.46828
10547/	2.481	2.636	2.228	2.583	2.721	2.296	2.593	2.465	2.757	2.462	2.099	2.985	2.755	2.776	2.729	2.921	2.797	3.686	2.659	2.302	2.709	2.148	3.095	2.905	2.673	2.836	2.373	2.106	2.797	2.328	2.533	2.699	3.012	3.224	3.534	2.832	2.941	3.091	2.229	2.224	2.377	1.987	3.297	2.155	2.019	2.234	2.641	2.749	2.453	2.363	2.114	2.08	2.222	2.509	2.307	2.132	2.033	2.031	2.048	2.243	1.974	2.047	1.835	2.323	2.132	1.675	2.049	2.457	2.465	2.055	2.207	2.112	2.422	2.79	2.48106
10563/	2.104	2.495	2.345	3.064	2.582	2.951	3.147	3.038	3.024	3.041	1.783	2.845	2.916	2.906	2.847	3.122	3.729	3.703	2.819	2.345	2.942	2.073	3.093	2.817	2.773	2.916	2.487	2.105	3.1	2.576	3.211	2.315	2.659	3.295	3.153	2.741	3.387	3.422	2.352	2.413	2.669	2.076	3.366	1.904	2.162	2.501	3.132	3.171	2.541	3.011	2.259	2.33	2.044	2.552	2.399	2.173	1.918	2.212	2.299	2.618	2.483	2.189	2.298	2.354	2.283	2.072	1.934	2.709	2.568	2.884	2.799	2.889	2.775	3.22	2.6607
10566/	2.523	2.529	2.419	2.962	2.699	2.496	2.808	2.663	3.024	2.485	1.976	2.638	2.849	2.917	2.757	2.809	3.161	3.48	2.723	2.573	2.801	2.28	2.961	2.963	2.812	2.976	2.247	2.396	2.928	2.648	2.729	2.788	2.644	3.213	3.173	2.698	3.265	3.147	2.211	2.525	2.508	2.15	3.194	1.916	2.017	2.315	3.008	2.75	2.61	3.082	2.13	2.188	2.004	2.313	2.597	2.112	1.965	2.13	2.023	2.404	2.284	1.957	1.982	2.579	2.203	2.047	2.049	2.429	2.118	1.861	2.569	2.526	2.389	2.592	2.54149
10606/	2.443	2.475	2.095	2.821	2.909	2.809	2.499	2.631	3.118	3.047	1.8	2.93	2.477	2.744	2.598	2.751	3.17	3.451	2.665	2.268	2.863	1.751	3.069	2.731	2.661	2.775	2.256	1.993	2.539	2.411	2.866	2.622	2.177	3.139	3.627	2.411	3.044	3.178	2.311	2.452	2.38	1.967	3.249	1.713	1.683	2.252	3.054	2.974	2.726	2.815	2.24	2.354	2.425	2.523	1.946	1.922	2.136	1.93	2.148	2.474	2.166	2.314	2.523	2.351	2.027	2.484	2.036	2.343	2.166	2.957	2.418	2.808	2.543	2.848	2.4759
10620/	2.867	2.922	2.528	3.137	2.855	3.115	2.786	2.615	3.248	3.827	1.834	3.03	3.285	3.167	2.968	3.1	3.803	3.681	3.089	2.32	3.267	2.264	3.091	3.125	3.125	2.971	2.56	2.414	3.0	2.708	3.197	3.128	2.921	3.575	3.493	2.939	3.656	3.839	2.343	2.727	2.82	1.995	3.401	2.083	1.933	2.386	2.785	3.138	3.052	3.294	2.317	2.374	2.303	2.553	2.353	2.16	2.182	2.207	2.493	3.059	2.494	2.021	2.499	2.685	2.299	2.368	2.294	2.561	2.482	2.816	2.683	2.588	2.884	3.49	2.75658
10621/	2.394	2.852	2.279	2.642	2.586	2.563	2.431	2.526	2.638	2.936	1.933	2.67	2.732	2.598	2.584	2.67	2.929	3.417	2.499	2.333	2.583	2.023	3.261	2.558	2.693	2.625	2.348	2.265	2.75	2.396	2.773	3.635	2.447	3.109	3.091	2.54	3.162	3.118	1.857	2.725	2.275	2.052	3.257	1.707	1.963	1.992	2.511	2.661	2.621	2.971	2.206	2.116	2.091	2.405	1.975	2.016	2.234	1.845	2.213	2.642	2.282	2.212	2.19	2.084	2.197	1.933	2.088	2.475	2.341	2.09	2.387	2.56	2.404	3.1	2.44176
