,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T1711,T1829,T11623,T13027,T13971,T15432,T16389,T16725,T17385,T17804,T18392,T18468,T19484,T19920,T110074,T110324,T110561,T110680,T110699,T110973,T112107,T112150,T113265,T113276,T113379,T113954,T114128,T114233,T114673,T115220
1,T181,T1178,T11072,T11607,T12564,T12716,T12946,T13648,T14626,T15214,T16270,T17404,T17649,T18602,T18646,T19590,T110317,T110898,T111057,T112467,T112626,T113622,T114332,T114925,T114945,T116117,T117273,T117452,T118627,T119199
2,T146,T1136,T1488,T1530,T11682,T12135,T12991,T14038,T14227,T14402,T14550,T14626,T15018,T16823,T16938,T16991,T19088,T19141,T19666,T19936,T110689,T110720,T111082,T111892,T112824,T113319,T113718,T114721,T115758,T115837
3,T11905,T11908,T12563,T14356,T14381,T14960,T14994,T15298,T15369,T16284,T17271,T17289,T17295,T17415,T17590,T17672,T18908,T19552,T19682,T110089,T110630,T110733,T111196,T111796,T112486,T112652,T112656,T113030,T113047,T113414
4,T11409,T12279,T12371,T12818,T13417,T13474,T14097,T14719,T15653,T16223,T16895,T16907,T17088,T17501,T18045,T18191,T18708,T19269,T19563,T19597,T110119,T111716,T112192,T112258,T113657,T113700,T113824,T113991,T114215,T114713
5,T110,T1467,T11674,T12180,T12327,T12575,T12867,T13189,T13347,T13604,T14199,T14886,T15847,T16031,T16187,T16887,T17324,T17403,T18021,T18249,T19050,T19138,T110171,T110320,T110603,T110734,T111036,T112201,T112481,T112551
6,T129,T1146,T1513,T12153,T12556,T12626,T13427,T13583,T13779,T14457,T14996,T16231,T16642,T17299,T17339,T17520,T18253,T19048,T110444,T110514,T110749,T112537,T112550,T112781,T113437,T113650,T113982,T113992,T114194,T114751
7,T1131,T1416,T1628,T11159,T11611,T11654,T11853,T12267,T13503,T13530,T13625,T13718,T13759,T15357,T15662,T15805,T16079,T16960,T16994,T17699,T19047,T19272,T19466,T19536,T19958,T110446,T110908,T111635,T111716,T112124
8,T11328,T12677,T12730,T13133,T13620,T14387,T15341,T15633,T15846,T15950,T15958,T16257,T16887,T16985,T17705,T18606,T18836,T19047,T19605,T19720,T110177,T110577,T111682,T111734,T112376,T112385,T113214,T113254,T113405,T113681
9,T119,T1544,T1753,T1845,T11693,T14628,T15051,T15367,T15969,T16367,T110497,T110530,T111347,T111682,T111700,T112034,T113618,T114585,T114883,T115077,T115379,T115484,T115708,T115759,T116434,T116477,T116490,T117020,T117298,T117353
10,T1575,T1681,T11159,T11660,T11692,T12140,T12393,T14480,T15210,T16006,T16212,T17002,T17152,T17807,T17914,T18007,T18135,T18623,T18938,T19016,T19327,T110593,T111069,T111231,T111697,T111915,T111950,T112661,T112680,T113628
11,T1862,T11740,T11905,T12057,T13205,T13541,T13680,T13908,T15720,T16031,T16723,T16770,T17324,T17737,T17928,T18180,T18359,T18880,T19140,T19505,T19870,T111094,T111945,T112941,T113479,T113542,T113756,T113968,T114720,T114830
12,T1363,T11067,T12768,T13463,T13946,T14020,T14266,T14437,T16375,T16407,T16798,T16922,T17308,T17468,T17890,T18112,T18411,T19733,T110107,T110205,T111077,T111476,T111647,T112252,T112533,T112657,T112664,T113619,T114628,T114916
13,T1217,T1430,T11610,T13524,T15187,T15388,T15872,T16068,T16185,T16335,T16376,T16887,T17725,T18372,T19126,T19399,T19466,T110396,T111481,T112441,T112646,T112663,T113121,T113254,T113409,T114262,T114632,T114699,T114811,T114875
14,T146,T152,T1778,T1806,T1868,T11152,T11381,T11613,T12295,T13152,T13247,T13370,T13784,T14990,T15028,T15398,T15886,T17149,T18659,T18785,T19016,T19745,T111453,T111667,T111691,T111903,T112528,T113406,T113743,T113817
15,T181,T1163,T1446,T11411,T11689,T11872,T12261,T12441,T13278,T13351,T13545,T15705,T16143,T16501,T16576,T16711,T17345,T17446,T18499,T18946,T19262,T19272,T19395,T112818,T113195,T115537,T116533,T116610,T116655,T117183
16,T13,T11615,T12283,T12444,T12923,T13492,T13524,T13588,T14755,T14952,T15536,T16310,T17033,T17330,T18106,T18997,T19249,T19519,T19655,T19720,T19857,T110119,T110270,T110752,T111053,T111090,T111672,T112511,T112940,T113521
17,T187,T1135,T1186,T1363,T1708,T1901,T11699,T11765,T12466,T13319,T14531,T14578,T15442,T15725,T16483,T18689,T19048,T19099,T19131,T19224,T19354,T19529,T110376,T110429,T112013,T114963,T116167,T116265,T116405,T117532
18,T1166,T11667,T11699,T12687,T12751,T12972,T13062,T13660,T13687,T14465,T14561,T14928,T15069,T15217,T15289,T15368,T15684,T15787,T15950,T16335,T16338,T16364,T17304,T17517,T17604,T18982,T19266,T19654,T110170,T110537
19,T1908,T1919,T11134,T12534,T13141,T13211,T14036,T14542,T15981,T16045,T16229,T16376,T17220,T17275,T18879,T19221,T19222,T110783,T111035,T111071,T111537,T113135,T114069,T114138,T116332,T116926,T117437,T117560,T117683,T118185
20,T1108,T1787,T13389,T14299,T14626,T15000,T15010,T16926,T17179,T17352,T17967,T17986,T19482,T19593,T19860,T110351,T111679,T112482,T112806,T113869,T115044,T115215,T116409,T116467,T116637,T117197,T117358,T117658,T117912,T118095
21,T1136,T1240,T1569,T1774,T1812,T11316,T11366,T17862,T17890,T18242,T18276,T18311,T19214,T19472,T110125,T110152,T110231,T110980,T111142,T111809,T111982,T112956,T113071,T113311,T113329,T114199,T114339,T114815,T114916,T115524
22,T1873,T11425,T11468,T11954,T12094,T13563,T13690,T13700,T14283,T14911,T15828,T16082,T16472,T17384,T18339,T19436,T19676,T110249,T110324,T110731,T110925,T110988,T112485,T112687,T113174,T113237,T113455,T113699,T113741,T113984
23,T179,T1709,T12168,T12210,T12347,T12720,T13403,T13432,T13449,T13808,T14414,T14692,T14805,T15318,T15343,T15640,T16047,T16972,T18054,T19062,T19529,T19557,T19662,T19866,T110857,T111557,T111784,T113100,T113329,T113657
24,T1391,T1728,T11129,T11159,T12092,T13309,T13313,T14480,T14981,T17249,T17377,T19473,T19691,T110588,T110653,T111012,T111103,T112084,T113292,T114150,T114213,T114609,T115090,T115815,T116052,T116193,T116268,T117420,T118136,T118562
25,T1322,T1860,T1914,T11836,T11911,T11953,T12261,T12332,T12438,T13034,T14087,T14105,T14346,T15125,T15316,T15698,T16095,T17315,T18279,T19455,T19555,T111807,T112093,T112139,T114249,T114280,T114371,T114581,T114818,T115658
26,T1220,T1486,T1949,T11673,T11883,T12179,T12835,T13079,T13597,T14074,T14227,T14310,T14330,T14518,T14519,T15095,T16200,T16214,T16995,T17706,T18076,T18530,T18661,T19298,T19428,T19467,T19846,T110349,T111355,T111484
27,T1300,T1836,T1906,T11531,T11579,T12521,T13167,T14558,T14614,T14638,T16345,T17072,T17136,T17142,T18474,T19103,T19626,T19753,T110595,T111196,T111701,T111739,T111807,T113110,T113121,T113476,T113615,T113667,T114702,T114729
28,T1285,T1317,T11221,T11250,T11426,T12011,T13045,T13068,T13503,T14478,T14549,T15723,T16596,T17145,T17179,T17423,T17485,T17702,T17923,T18825,T19457,T19803,T110438,T110668,T111026,T111196,T111202,T112200,T112459,T113050
29,T1168,T11133,T11346,T11710,T11962,T12329,T13625,T13702,T13703,T14024,T14182,T14190,T15407,T17507,T17632,T18568,T19227,T19399,T19454,T19551,T110459,T110505,T111073,T111200,T111527,T111701,T112975,T113164,T113521,T113529
