,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T11075,T11173,T11195,T11334,T12168,T12414,T12721,T12831,T14135,T14301,T17407,T17538,T17895,T18345,T18964,T19085,T19552,T19811,T110339,T111535,T111630,T112235,T112562,T113308,T114856,T114961,T115399,T115413,T115711,T115880
1,T161,T1491,T1499,T1589,T11428,T13039,T13212,T13348,T13420,T13703,T14190,T14708,T15006,T15033,T15458,T15916,T15934,T16250,T16984,T17592,T18595,T19405,T19456,T19860,T110073,T110086,T110525,T111716,T112381,T115983
2,T1533,T11991,T12414,T13380,T14222,T14954,T15185,T15447,T16140,T16595,T16906,T17273,T17319,T17327,T17463,T17731,T18190,T18341,T19308,T110129,T110457,T110485,T110756,T111631,T112040,T112348,T114103,T115252,T115383,T116172
3,T192,T1806,T1882,T11294,T11315,T11568,T12254,T13819,T14783,T14875,T14915,T15360,T16429,T16537,T16683,T16693,T16815,T17466,T17655,T17695,T18022,T18030,T18597,T19914,T110178,T110972,T111006,T111123,T111903,T112465
4,T183,T1290,T1585,T11020,T12129,T13000,T13201,T13291,T13551,T13588,T13605,T13763,T13852,T13858,T14041,T14269,T14502,T15242,T17150,T17940,T18442,T18698,T18902,T19140,T110000,T110151,T110439,T110601,T110931,T111472
5,T1164,T1285,T1298,T11384,T11560,T11631,T12012,T14024,T14203,T14527,T14787,T15170,T15403,T15473,T16711,T17535,T18206,T18440,T18479,T18495,T19722,T19796,T19889,T110586,T110934,T112387,T112505,T114223,T114519,T114851
6,T1588,T1970,T11391,T12478,T14174,T16101,T16196,T16414,T16620,T16838,T17326,T17961,T17979,T18070,T18655,T18942,T19551,T19578,T19609,T19774,T110060,T110220,T110723,T111390,T111397,T112702,T112748,T112948,T113270,T113326
7,T1398,T1628,T11856,T12979,T13015,T13027,T13351,T13702,T14233,T14419,T15102,T15259,T15717,T15771,T15813,T15998,T17051,T17457,T17612,T18917,T19133,T19358,T19484,T110351,T110438,T112039,T112386,T113619,T114738,T115404
8,T195,T1345,T1845,T1924,T11337,T11541,T11843,T12261,T12415,T12547,T13138,T13577,T14455,T16078,T16257,T16396,T17014,T17070,T17943,T18928,T19296,T19452,T19625,T19634,T19970,T110301,T110835,T111682,T112622,T112766
9,T1285,T1708,T1820,T1832,T11070,T11428,T11724,T11738,T11812,T12287,T12297,T13131,T13219,T13334,T13505,T14284,T14441,T14638,T15127,T16248,T17014,T17070,T17130,T17313,T17785,T17881,T19958,T110264,T110659,T111962
10,T1338,T11712,T11764,T11996,T12070,T12139,T12305,T12480,T13450,T13804,T16543,T16889,T16934,T16945,T17089,T17838,T17863,T17902,T18758,T19129,T19466,T19683,T110447,T110673,T110742,T111091,T111416,T111565,T111685,T112297
11,T131,T11207,T11692,T11809,T11815,T12612,T12708,T12877,T12964,T14068,T14341,T15466,T17966,T18184,T18216,T18269,T18726,T19044,T19605,T110119,T110821,T110919,T111645,T112109,T112338,T112538,T112756,T113079,T113627,T113629
12,T1581,T1806,T11369,T11389,T11471,T11484,T11490,T11761,T11905,T12854,T13258,T13479,T14558,T15803,T15837,T16090,T16186,T16935,T17281,T18585,T19391,T19440,T19446,T19528,T110239,T111184,T111231,T111644,T112379,T112400
13,T1463,T1581,T1612,T1715,T11010,T11857,T11986,T12160,T12406,T12587,T12792,T13057,T14091,T14436,T15145,T15279,T15394,T15531,T15637,T16126,T16534,T16559,T17917,T18277,T19026,T19109,T19163,T19280,T19439,T110859
14,T1281,T1495,T11238,T11544,T11790,T11884,T12522,T12690,T12751,T12804,T13264,T14691,T14711,T14797,T15179,T15341,T15720,T16033,T16396,T16896,T17834,T18116,T18132,T18415,T18534,T18897,T19074,T19296,T19526,T19634
15,T1173,T1191,T11702,T12852,T13371,T13722,T14659,T15217,T15431,T16011,T17015,T17024,T17110,T18099,T18255,T18740,T18971,T19005,T19296,T19550,T110558,T111688,T113129,T113439,T113447,T113554,T113759,T114456,T114509,T114594
16,T1217,T1692,T11754,T13158,T13280,T13819,T14050,T14478,T16192,T16839,T17142,T17468,T17641,T17694,T18000,T18194,T19193,T110414,T111154,T111363,T111545,T112410,T112462,T112687,T113466,T114084,T114216,T114670,T115327,T116728
17,T1241,T1283,T1546,T1854,T12340,T13176,T13217,T13683,T13814,T13995,T14263,T14469,T14786,T15126,T15188,T15227,T15275,T16050,T16056,T16489,T17089,T17095,T18511,T18959,T110301,T110573,T110589,T110691,T111607,T112757
18,T181,T1290,T1737,T1745,T11088,T11272,T12121,T12615,T13497,T14327,T15352,T16303,T16429,T16982,T17014,T17105,T19130,T19523,T19618,T110319,T110397,T111492,T112101,T112244,T112462,T113025,T113308,T113442,T113793,T113812
19,T129,T187,T1290,T1848,T11309,T11688,T12984,T13581,T14626,T14640,T16056,T16375,T17011,T17407,T17585,T18063,T18767,T19009,T19214,T19558,T19649,T110762,T110790,T111309,T111852,T112155,T113174,T113712,T114074,T114751
20,T11179,T11656,T11894,T12052,T12093,T12808,T13042,T13319,T14317,T14725,T15445,T15689,T15988,T16364,T17055,T17080,T17169,T17709,T18484,T19062,T19372,T19455,T110421,T110636,T110733,T111667,T112443,T112914,T113035,T114080
21,T1206,T11685,T11959,T12735,T12822,T14052,T15354,T15377,T16271,T17677,T17784,T17947,T18466,T18482,T18608,T18728,T18803,T18875,T19272,T110197,T110310,T110847,T111035,T112267,T112270,T112412,T112545,T112629,T112948,T113372
22,T117,T1102,T1285,T1490,T1533,T11595,T12106,T12246,T12251,T14098,T14116,T14605,T14626,T14857,T15127,T15527,T15886,T16335,T17505,T17999,T18466,T18717,T19091,T110086,T110230,T110801,T110943,T111309,T112185,T112339
23,T1569,T11122,T11156,T11221,T11375,T11387,T11752,T11819,T13285,T13429,T13756,T13875,T14017,T14377,T15318,T15629,T16449,T16701,T18129,T18838,T18936,T19236,T19444,T19948,T110145,T110791,T111042,T112552,T112926,T112963
24,T1819,T11312,T11590,T11823,T11895,T12335,T12347,T12905,T13398,T13583,T15024,T16653,T16947,T18228,T18599,T18658,T18940,T18964,T19249,T19480,T19593,T19596,T19610,T19677,T110043,T110896,T111018,T111849,T112744,T113613
25,T1154,T11178,T11384,T11449,T12052,T12248,T12760,T12896,T13504,T13524,T13707,T13978,T14004,T14221,T14888,T14948,T15092,T15113,T15288,T15739,T15779,T16136,T16827,T17568,T17705,T17831,T17836,T17902,T18070,T18139
26,T148,T12615,T13236,T14343,T14587,T15011,T15273,T15318,T15468,T16600,T17008,T17118,T17429,T17865,T18255,T18355,T19272,T19298,T19407,T19522,T19912,T110376,T111494,T111540,T111617,T111651,T112529,T113138,T114150,T114377
27,T1261,T1311,T11988,T12394,T14643,T14982,T15478,T16887,T17365,T17737,T18415,T18579,T18686,T18914,T19169,T19766,T19936,T110604,T111065,T111165,T111391,T112224,T112242,T112569,T112762,T113746,T114949,T115541,T115726,T116107
28,T12166,T12338,T13874,T14252,T14847,T15108,T15477,T16140,T16391,T16631,T17149,T17331,T17366,T17655,T17784,T18717,T18920,T19182,T19880,T19926,T110581,T110742,T111307,T112635,T112669,T112950,T113122,T114147,T114177,T115391
29,T161,T1577,T1791,T1969,T1978,T11985,T12485,T12651,T13013,T13406,T13418,T13892,T14480,T15803,T16089,T17065,T17091,T17606,T19009,T110319,T110444,T110742,T110919,T111539,T111718,T112387,T112671,T112749,T112957,T113088
