,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T1226,T1431,T1906,T1966,T11566,T11646,T11905,T13152,T15227,T15289,T15942,T16095,T16303,T16518,T16660,T17467,T18041,T18484,T18569,T19140,T19325,T110047,T110310,T110893,T111106,T112027,T112283,T112966,T113071,T113607
1,T1261,T1381,T1630,T11601,T11761,T12148,T12179,T12324,T12472,T13245,T13279,T13854,T14592,T14691,T15238,T15356,T15774,T15966,T16092,T16487,T16493,T17168,T17800,T17826,T18231,T18495,T18726,T18770,T18943,T110076
2,T1430,T11159,T11384,T11820,T12256,T12456,T12928,T13615,T13875,T15449,T15668,T15733,T16603,T17102,T17693,T18019,T19832,T110358,T110421,T110422,T110616,T110896,T111212,T112710,T113235,T114015,T114360,T114511,T114666,T114668
3,T1492,T1818,T11024,T11638,T12876,T13588,T14304,T14532,T14807,T15666,T16663,T17206,T18091,T18836,T19380,T19626,T19719,T110241,T110280,T110817,T111590,T112185,T114076,T115058,T115627,T115735,T115940,T116100,T116446,T116923
4,T1967,T11930,T13376,T13869,T14102,T14293,T14766,T14855,T15476,T15896,T16616,T16949,T17180,T17363,T17427,T17878,T18377,T18476,T19378,T19788,T19857,T110529,T111553,T112292,T112506,T113554,T113743,T116226,T117254,T117783
5,T1285,T1339,T1495,T1570,T1611,T1778,T11765,T12162,T12411,T12770,T13588,T14401,T15101,T16812,T17098,T17206,T17418,T17693,T17979,T18081,T18329,T18502,T18655,T19179,T19419,T19618,T110023,T110081,T110328,T110393
6,T1179,T12067,T12258,T12929,T13726,T14442,T14856,T14895,T15937,T16933,T17391,T18765,T18805,T19252,T19466,T19468,T110673,T111278,T111746,T113034,T113128,T113226,T113694,T113850,T113864,T114387,T114670,T114862,T114894,T115474
7,T1516,T1531,T1667,T11046,T11784,T12588,T13668,T15436,T15714,T16860,T17072,T17253,T17376,T18495,T19169,T19957,T110805,T110896,T111058,T112317,T112401,T112551,T114182,T114315,T114445,T114544,T115007,T115171,T115714,T116328
8,T1547,T1975,T11150,T11692,T12806,T12915,T12949,T13006,T13166,T13415,T14493,T14708,T15337,T15596,T15922,T16353,T17176,T17574,T17600,T17755,T17784,T17964,T18455,T18609,T18761,T18849,T19635,T19873,T110546,T110615
9,T1587,T11431,T11731,T13389,T14230,T15407,T15436,T16332,T16461,T16890,T17142,T17240,T17262,T17373,T17552,T18278,T18494,T110391,T110417,T110573,T110601,T110949,T111393,T112515,T113150,T113997,T114580,T114791,T114917,T114926
10,T11475,T13006,T13671,T14179,T14561,T14626,T15559,T17026,T17304,T18076,T18725,T18738,T18751,T19056,T19097,T19213,T19810,T110404,T110492,T111535,T112221,T112710,T112744,T113451,T114060,T114354,T114430,T114944,T115205,T115404
11,T17,T1192,T1711,T12467,T12681,T12893,T13928,T14015,T14026,T15007,T15461,T15720,T16987,T17500,T19291,T110152,T110695,T110721,T111107,T111239,T111904,T112773,T112950,T113100,T113270,T113444,T113527,T114523,T115733,T116619
12,T1164,T1475,T1838,T11637,T12114,T12429,T13211,T13257,T14286,T14313,T15050,T15185,T15860,T16289,T17295,T17419,T17590,T17708,T17987,T17991,T18654,T18939,T110166,T110418,T110931,T111753,T112767,T113504,T113835,T114117
13,T1832,T11991,T12575,T13106,T13325,T13331,T13995,T15006,T15682,T15737,T15984,T16791,T17431,T17462,T17904,T18231,T18291,T18322,T18916,T19140,T19690,T110234,T110595,T111404,T111684,T111860,T112354,T112857,T113270,T114300
14,T15,T1748,T11351,T11560,T11641,T11675,T11969,T13035,T13342,T13559,T14595,T14599,T14973,T15199,T16110,T16232,T16392,T16473,T17909,T18157,T18228,T18275,T18634,T18664,T18669,T18843,T110033,T110126,T110312,T110634
15,T1461,T12910,T13817,T14407,T14770,T14901,T15616,T15636,T16856,T17632,T17704,T18043,T18521,T18949,T18987,T19265,T19575,T19807,T110004,T110089,T112461,T112966,T113411,T113457,T113547,T113581,T113610,T113821,T114580,T115408
16,T1833,T11349,T11575,T11661,T12040,T12474,T13680,T13883,T14073,T14695,T15125,T16253,T16657,T16850,T17134,T17256,T17359,T18559,T18896,T19000,T19210,T19446,T110113,T110170,T110377,T110988,T111669,T113382,T113661,T113679
17,T116,T1403,T1674,T1712,T1797,T11682,T12255,T12334,T12798,T13454,T13577,T13599,T13707,T13722,T14071,T14291,T14388,T14426,T14740,T15809,T15834,T15980,T16927,T18877,T19098,T19788,T19818,T110054,T110387,T110730
18,T1604,T11114,T12369,T12621,T12864,T12994,T13771,T13937,T14528,T14626,T14824,T15217,T15761,T17075,T17221,T18436,T18678,T19472,T110282,T111092,T111203,T111753,T112710,T112763,T113559,T115078,T115647,T116006,T116724,T116849
19,T1581,T1744,T1961,T11005,T11063,T11433,T11506,T13217,T14414,T14666,T14930,T15075,T15146,T15520,T15871,T16065,T17300,T17755,T17960,T17977,T18934,T19221,T19320,T111770,T113241,T113555,T114290,T114497,T114604,T115055
20,T1298,T1466,T11008,T11920,T12441,T14054,T14067,T15384,T16155,T16168,T16504,T17998,T18071,T18266,T18816,T18862,T19030,T19296,T19348,T110263,T110339,T111174,T111226,T111740,T113160,T113326,T113806,T113869,T114267,T114502
21,T1751,T1896,T11017,T11654,T12167,T12674,T12696,T13028,T14702,T15103,T15892,T17084,T17176,T17291,T18151,T18221,T18514,T18723,T19048,T19747,T111771,T112688,T112746,T112791,T113240,T114133,T114392,T115733,T115742,T116789
