,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T28,T54,T135,T152,T297,T1422,T1530,T1848,T1893,T2077,T2177,T2375,T2435,T2919,T3458,T3809,T4564,T4755,T4889,T5074,T5139,T5227,T5289,T5535,T5790,T5961,T6229,T6347,T7820,T8282
1,T152,T341,T753,T983,T1254,T2749,T2772,T3190,T3202,T3240,T4252,T4650,T4663,T5023,T5497,T5518,T5535,T5600,T6149,T6165,T6175,T6941,T8063,T8509,T9573,T9651,T9838,T9847,T9949,T10356
2,T49,T103,T552,T604,T1577,T1663,T1694,T2081,T2255,T2344,T2385,T2594,T2711,T3220,T3248,T3866,T3945,T4429,T5145,T5162,T5425,T5730,T5860,T6085,T6641,T7194,T7252,T7929,T8095,T8136
3,T189,T207,T243,T831,T1054,T1093,T1277,T1366,T1599,T2093,T2244,T3666,T4170,T4314,T4953,T6322,T6655,T6680,T6780,T7008,T7213,T7780,T8205,T8505,T8533,T10163,T10569,T11694,T12128,T12556
4,T248,T615,T692,T925,T1539,T1827,T1925,T2519,T2823,T3196,T3444,T3955,T3991,T4081,T4282,T4354,T4550,T4845,T5075,T5114,T5137,T6664,T6876,T7544,T7968,T8226,T8384,T8502,T8984,T9390
5,T229,T406,T409,T417,T430,T444,T527,T541,T686,T1105,T1255,T1505,T1720,T1822,T2346,T2382,T2594,T2611,T2703,T2721,T2794,T3605,T3878,T3970,T4267,T5347,T5723,T6238,T6262,T6656
6,T363,T1029,T1072,T1279,T1282,T1630,T1761,T1995,T2014,T2245,T2391,T2494,T2579,T2635,T2710,T2714,T2780,T2916,T3226,T3918,T4042,T5352,T5572,T5602,T6721,T6747,T6827,T7923,T8126,T8297
7,T66,T267,T333,T429,T1152,T1418,T1651,T2114,T2189,T2838,T3048,T3339,T3844,T3922,T4287,T4312,T4502,T4591,T4894,T5381,T5846,T6627,T7291,T7381,T7508,T7610,T7810,T7880,T8209,T8325
8,T603,T1307,T1419,T1988,T2739,T2802,T2870,T2961,T3031,T3229,T3531,T3669,T4100,T4254,T4388,T4695,T4707,T5702,T5846,T6044,T6853,T6928,T7160,T7170,T7273,T7586,T7712,T7775,T8057,T8344
9,T102,T150,T578,T634,T806,T1007,T1037,T1235,T1339,T1351,T1370,T1858,T1994,T2907,T3175,T3180,T3352,T3406,T3494,T3556,T4011,T4186,T4194,T4559,T4616,T5714,T5730,T5994,T6069,T6238
10,T384,T386,T465,T1033,T1405,T1908,T2252,T2266,T2717,T2949,T3667,T3918,T4318,T4498,T4499,T5036,T5327,T5437,T5909,T6062,T6411,T6533,T7017,T7030,T7297,T7300,T7666,T7913,T7970,T8242
11,T202,T267,T316,T386,T417,T698,T786,T845,T1601,T1687,T1801,T2634,T2781,T3453,T3533,T3594,T3839,T3928,T3968,T4103,T4281,T4559,T4636,T5971,T6612,T6909,T7042,T7883,T7956,T8212
12,T237,T269,T575,T842,T1062,T1070,T1323,T1353,T1746,T2076,T2183,T2573,T2992,T3176,T3361,T3543,T4033,T4107,T4405,T4490,T5122,T5172,T5470,T5499,T5636,T5816,T6238,T6464,T6539,T7590
13,T158,T309,T364,T508,T538,T598,T751,T1386,T1613,T1751,T1875,T2106,T2148,T2489,T2652,T3015,T3872,T4130,T4132,T4279,T4619,T4977,T5702,T6112,T6283,T6657,T6829,T6987,T7177,T7246
14,T63,T97,T140,T672,T1084,T1310,T1630,T2391,T2745,T2850,T3451,T4912,T5210,T5492,T5526,T5747,T5865,T6120,T6150,T6650,T6750,T6752,T6887,T6975,T7312,T7963,T8315,T8440,T8533,T8953
15,T13,T142,T330,T403,T725,T1053,T1583,T1590,T1714,T2118,T2679,T2729,T2862,T2922,T3267,T3791,T4020,T4218,T4254,T4381,T4889,T4912,T4990,T5010,T5213,T5699,T6207,T6500,T7177,T7428
16,T564,T723,T1048,T1401,T1459,T1492,T1655,T1987,T2124,T2540,T2762,T3284,T3477,T3809,T3987,T4010,T4088,T4703,T4844,T4887,T4957,T5815,T5889,T5981,T6339,T6432,T6570,T7393,T7478,T7517
17,T233,T494,T535,T627,T966,T1006,T1014,T1049,T1404,T1653,T1888,T2088,T3292,T3442,T3444,T4188,T4424,T4858,T4950,T5834,T6900,T7096,T7364,T7499,T7776,T8086,T8239,T8262,T8334,T9016
18,T63,T292,T331,T422,T447,T522,T657,T719,T746,T763,T1174,T1700,T1729,T2475,T2530,T2573,T2904,T3833,T4265,T4685,T4918,T5154,T5284,T6600,T7478,T7921,T7958,T8229,T8933,T9233
19,T185,T306,T360,T490,T902,T1021,T1038,T1046,T1509,T1550,T1942,T2603,T3012,T3070,T3869,T4733,T4909,T5317,T5674,T5699,T6228,T6284,T6423,T6800,T6962,T6965,T7180,T7187,T7667,T7915
20,T67,T590,T872,T929,T1216,T1313,T1466,T1722,T1947,T2478,T2768,T3191,T3408,T3414,T4268,T4342,T6098,T6190,T6648,T6855,T7141,T7309,T7502,T7775,T8365,T8693,T8819,T9447,T9448,T9557
21,T284,T583,T747,T919,T1109,T1613,T1954,T2240,T2478,T4116,T4280,T4293,T4323,T4450,T4459,T4988,T5362,T5513,T5992,T6254,T6498,T6596,T6666,T7029,T7068,T7155,T7186,T7317,T7464,T7583
22,T193,T334,T1639,T1959,T2000,T2206,T2443,T2501,T2654,T2666,T3154,T3191,T4147,T4231,T4436,T4557,T5074,T5166,T5476,T5707,T5876,T5914,T6021,T6575,T7080,T7290,T7547,T7915,T8141,T8251
23,T418,T853,T903,T1480,T2266,T2391,T2456,T2882,T3565,T4847,T5056,T5613,T5944,T6172,T6741,T7239,T7553,T7965,T8152,T9533,T9733,T9735,T9893,T10166,T10176,T10500,T10781,T11623,T11713,T11850
24,T2,T583,T834,T876,T927,T1643,T1871,T2130,T2147,T2380,T2510,T2538,T2576,T2639,T2692,T2922,T3061,T3069,T3468,T3767,T4255,T5438,T6051,T7372,T7658,T8401,T9166,T9735,T9759,T9762
