,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T195,T364,T1081,T1159,T1242,T1607,T1610,T1727,T1941,T2468,T3403,T4134,T4267,T4272,T4329,T4717,T5537,T5774,T5925,T6092,T6098,T6381,T6430,T7271,T7351,T8182,T8881,T9386,T9629,T9837
1,T538,T658,T895,T1112,T1262,T1526,T2370,T2553,T2625,T3093,T3782,T3836,T4231,T4236,T4275,T4318,T4672,T4852,T5719,T6157,T6855,T6930,T7272,T7300,T7547,T8303,T8516,T8715,T9086,T9758
2,T221,T228,T270,T280,T569,T1019,T1080,T1138,T1271,T1282,T1361,T1421,T1463,T2828,T3150,T3284,T3373,T3444,T3568,T3611,T3616,T3718,T3856,T4583,T5234,T5252,T5481,T5896,T6515,T6712
3,T62,T453,T780,T804,T919,T1169,T1267,T1531,T1551,T2313,T2467,T3600,T4314,T4913,T4979,T5093,T5825,T5909,T6051,T6228,T6417,T6492,T6618,T6707,T6924,T7111,T7472,T7781,T8259,T9541
4,T109,T121,T588,T619,T786,T931,T3232,T3234,T3993,T4045,T4097,T4609,T4713,T4773,T4821,T4853,T5493,T5614,T5741,T5858,T5886,T6609,T6644,T7172,T7660,T8225,T8641,T8711,T9033,T9055
5,T384,T1302,T1414,T1973,T2068,T2902,T2944,T3226,T3373,T3454,T3652,T4064,T4305,T4388,T4618,T4886,T4978,T5020,T5322,T5746,T6137,T6270,T6308,T6659,T6747,T7524,T7917,T7943,T8364,T8481
6,T534,T778,T779,T1427,T1618,T1674,T1690,T2261,T2523,T2724,T3495,T3517,T3726,T4459,T5113,T5184,T5454,T5563,T5676,T5745,T6701,T7309,T7766,T7869,T8271,T8753,T9157,T9804,T10078,T10198
7,T504,T949,T1079,T1082,T1517,T1761,T2013,T2193,T2308,T2446,T2920,T2933,T2974,T3031,T3288,T3787,T3821,T4167,T4181,T4360,T4440,T5220,T5516,T5716,T5907,T6490,T6618,T6712,T7000,T7365
8,T52,T64,T142,T196,T349,T476,T512,T674,T704,T779,T792,T875,T1071,T1350,T1822,T2008,T2313,T2589,T2650,T2883,T3337,T3373,T3564,T4051,T4255,T4558,T4962,T5082,T5415,T5452
9,T592,T622,T755,T768,T772,T778,T984,T1320,T1466,T1468,T2347,T2726,T3165,T3209,T3549,T3619,T4111,T4213,T4240,T4261,T4380,T4517,T4547,T4606,T4807,T4965,T5035,T5129,T5885,T5936
10,T135,T345,T470,T476,T970,T1064,T1081,T1316,T1694,T2123,T2483,T2591,T3245,T3277,T3554,T4053,T4397,T4544,T4597,T4708,T4994,T5270,T5298,T5425,T5621,T6077,T6762,T6908,T7300,T7411
11,T422,T980,T1055,T1245,T1404,T1416,T1493,T1549,T2168,T2412,T2663,T3285,T3492,T3679,T4265,T4303,T4367,T4587,T5384,T5876,T5951,T6573,T6643,T6653,T6674,T6804,T7123,T7146,T7498,T7503
12,T147,T235,T312,T580,T694,T764,T981,T1173,T1791,T2007,T2269,T3087,T3807,T3862,T4138,T4229,T4333,T4339,T4345,T4537,T4607,T4962,T5118,T5197,T6302,T6424,T6813,T7033,T7122,T8352
13,T30,T45,T623,T638,T875,T1227,T1427,T1854,T2001,T2145,T2479,T2504,T2773,T4047,T4205,T4250,T4409,T4414,T4451,T4548,T4738,T4818,T5165,T6047,T6573,T6589,T6614,T6921,T7133,T7170
14,T669,T827,T957,T1294,T1297,T1477,T1500,T1573,T1870,T1939,T2778,T3212,T3342,T3376,T3714,T4800,T5481,T5504,T5729,T5777,T5787,T6095,T6133,T6281,T6376,T6471,T6562,T6615,T6827,T6873
15,T168,T267,T365,T581,T1440,T1710,T1720,T1841,T2002,T2290,T2823,T2931,T3038,T3087,T3618,T4263,T4409,T4502,T4704,T5306,T5386,T6235,T6249,T6788,T6893,T6937,T7552,T8200,T8300,T8323
16,T54,T1286,T1517,T1678,T3278,T3605,T3693,T3713,T3782,T4194,T4299,T4977,T4981,T5027,T5091,T5282,T5285,T5401,T5761,T5808,T5993,T6020,T6041,T6059,T6639,T7069,T7228,T7285,T7344,T7470
17,T110,T216,T226,T619,T753,T973,T983,T1081,T1325,T1427,T1505,T1953,T2045,T2254,T2273,T2406,T2506,T2971,T3214,T3501,T3621,T3790,T3958,T3962,T4266,T4290,T4317,T4602,T5653,T5794
18,T75,T814,T1468,T1797,T2027,T2250,T2268,T2881,T3038,T3045,T3482,T3727,T3736,T4279,T4768,T5094,T5153,T5386,T5672,T5959,T6168,T6214,T6299,T6676,T6696,T6788,T6794,T6894,T6933,T6973
19,T157,T269,T487,T539,T553,T580,T722,T1490,T1533,T1844,T1984,T2350,T2525,T2804,T3447,T4713,T5001,T5400,T5425,T5892,T5995,T6366,T7191,T7592,T8528,T8556,T8795,T9088,T9204,T9541
20,T111,T748,T1080,T1126,T1144,T1698,T1919,T2311,T3444,T3671,T4314,T4654,T4797,T4896,T5171,T6161,T6448,T6460,T6667,T6890,T7221,T7706,T8224,T8725,T8861,T8874,T8940,T9108,T9771,T9938
21,T29,T157,T475,T537,T672,T768,T1221,T1563,T2259,T2311,T2699,T2838,T3876,T4289,T4462,T4533,T4578,T4671,T4942,T4963,T5356,T5384,T5876,T5944,T6414,T7503,T7573,T7605,T7738,T8478
