,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T339,T718,T857,T886,T967,T1059,T1740,T1817,T1903,T1912,T2110,T2436,T2655,T2786,T2887,T2895,T2983,T3962,T3996,T4422,T4518,T4703,T4994,T5035,T5062,T5299,T6206,T6291,T6503,T6789
1,T525,T821,T870,T1031,T1742,T1759,T2024,T2079,T2127,T2512,T2828,T2882,T2885,T3020,T3107,T3208,T3283,T3421,T3714,T3763,T3971,T4184,T4322,T4472,T4738,T4812,T4956,T4999,T5338,T5650
2,T26,T422,T766,T1155,T1326,T1662,T1743,T1989,T2550,T2580,T2734,T2737,T2778,T2921,T3280,T3298,T3316,T3380,T3713,T4097,T4545,T4595,T5051,T5126,T5264,T5364,T5599,T5737,T6150,T7043
3,T242,T602,T1440,T1609,T1651,T1879,T2009,T2114,T2204,T2238,T2708,T3143,T3382,T3830,T3941,T4133,T4185,T4443,T4539,T4543,T4993,T5041,T5060,T5252,T5262,T5372,T5461,T5740,T5899,T6056
4,T255,T307,T597,T669,T684,T842,T855,T1169,T1182,T1205,T1387,T1812,T1913,T2314,T2317,T2324,T2497,T2682,T3104,T3242,T3585,T3655,T4516,T5116,T5129,T5210,T5900,T6037,T6107,T6331
5,T613,T788,T1106,T1595,T1732,T1816,T2065,T2447,T3091,T3201,T3347,T3446,T3463,T3556,T3908,T4819,T5034,T5112,T5121,T5169,T5226,T5290,T5854,T5959,T6135,T6308,T6569,T6608,T6883,T7002
6,T573,T664,T747,T928,T1578,T1654,T1939,T2056,T2184,T2724,T2975,T3462,T3526,T3622,T3760,T4306,T4401,T4671,T4938,T4957,T4978,T5771,T5890,T6527,T6852,T7070,T7379,T7432,T7461,T7765
7,T307,T663,T843,T1031,T1050,T1498,T1654,T1899,T2531,T2676,T2693,T2707,T2887,T3111,T3845,T4057,T4105,T4317,T4342,T4378,T4431,T4516,T4870,T5041,T5282,T5284,T5430,T5529,T5723,T5868
8,T175,T335,T340,T595,T1048,T1139,T1188,T1716,T2273,T2445,T2877,T3118,T3198,T3244,T3283,T4752,T4869,T5226,T5697,T5770,T5926,T6676,T6709,T6805,T6808,T7060,T7426,T7766,T7924,T7948
9,T317,T328,T557,T777,T1033,T1885,T1898,T2244,T2335,T2537,T2629,T3026,T3037,T3386,T3493,T3649,T3653,T3790,T3863,T4032,T4040,T4043,T4137,T4239,T4296,T4460,T4495,T4717,T5310,T5785
10,T363,T462,T473,T631,T792,T1258,T2034,T2201,T3001,T3146,T3680,T3958,T4198,T4261,T4350,T4855,T4866,T5336,T5507,T5623,T6115,T6172,T6480,T6615,T6684,T6773,T6797,T7673,T8263,T8328
11,T348,T570,T581,T652,T731,T738,T761,T808,T946,T1178,T1243,T1428,T1875,T1912,T1997,T2379,T2786,T2810,T3116,T3498,T3551,T3969,T3979,T4247,T4311,T4598,T4615,T4732,T4749,T4936
12,T3,T107,T118,T227,T664,T774,T893,T1107,T1961,T2190,T2339,T2402,T2514,T2883,T3238,T3325,T3362,T3462,T3499,T3574,T4085,T4186,T4299,T4782,T4866,T4893,T4925,T5094,T5282,T5337
13,T29,T290,T335,T353,T408,T557,T801,T843,T846,T944,T1101,T1435,T1721,T1883,T1910,T2176,T3704,T3998,T4051,T4117,T4165,T4491,T4703,T4948,T5113,T5240,T5347,T5382,T5388,T5535
14,T363,T395,T486,T791,T1205,T1224,T1727,T1848,T2176,T2510,T2512,T2953,T3318,T3593,T3693,T3772,T3854,T3878,T4503,T4556,T4696,T4911,T4930,T5122,T5232,T5246,T5254,T5474,T5478,T5649
15,T236,T414,T510,T739,T781,T848,T1094,T1177,T1804,T2018,T2264,T2805,T2861,T3467,T3704,T3818,T4062,T4426,T4428,T4431,T4709,T4928,T4940,T5280,T5756,T5897,T6807,T7238,T7282,T7444
