,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T382,T464,T514,T753,T776,T792,T814,T824,T939,T1108,T1206,T1704,T2013,T2024,T2054,T2256,T2350,T2667,T2875,T3150,T3153,T3885,T4295,T4745,T4781,T5145,T5713,T5993,T6150,T6222
1,T116,T119,T439,T1715,T2049,T2059,T2241,T3028,T3582,T3610,T3824,T3973,T4085,T4321,T4578,T5168,T5849,T6127,T6534,T6929,T7097,T7130,T7444,T7451,T7711,T7726,T7880,T8064,T8098,T9115
2,T189,T340,T413,T421,T809,T1314,T1418,T1526,T1705,T2188,T2672,T2946,T2985,T3077,T3086,T3634,T3900,T4221,T5062,T5253,T5296,T5324,T5613,T5701,T5936,T6033,T6857,T6938,T6976,T7212
3,T544,T797,T851,T1079,T1119,T1261,T1761,T1878,T1901,T2243,T3046,T3289,T4020,T4120,T4480,T4672,T4705,T4817,T5587,T5901,T6093,T7562,T7565,T8057,T8218,T8371,T8423,T8973,T9259,T9542
4,T354,T564,T778,T869,T976,T1462,T1569,T1656,T2255,T2377,T2626,T2733,T2988,T3047,T3369,T3504,T3708,T3748,T3822,T3856,T3872,T3989,T4291,T4318,T5422,T5495,T6119,T6587,T6749,T6763
5,T62,T107,T432,T442,T443,T604,T609,T628,T1186,T1591,T2160,T2358,T2596,T2654,T3173,T3777,T3966,T4193,T4342,T4369,T4372,T4603,T4713,T4882,T5790,T6083,T6688,T6699,T6714,T7068
6,T1045,T1072,T1693,T1851,T1953,T2256,T2595,T2922,T2986,T3264,T3436,T3492,T3548,T3628,T3681,T3683,T3983,T4053,T4444,T4638,T4705,T4718,T4777,T4798,T4812,T5265,T5548,T5552,T6091,T7217
7,T859,T935,T1356,T1715,T1862,T1961,T2141,T3079,T3333,T3997,T4275,T4784,T5371,T5508,T5686,T6596,T7499,T7888,T7947,T8074,T8799,T8905,T8932,T9199,T9417,T9622,T9989,T10792,T10889,T10930
8,T370,T428,T550,T735,T786,T957,T1297,T2481,T2672,T2877,T3106,T3147,T3286,T3397,T3515,T3909,T4230,T4255,T4653,T4760,T5233,T5439,T5681,T6004,T6152,T6229,T6739,T6869,T7023,T7706
9,T80,T256,T816,T947,T970,T1427,T1444,T1451,T1567,T2453,T3108,T3234,T3416,T3956,T3996,T4830,T5065,T5768,T5877,T5919,T6097,T6216,T6348,T6448,T6602,T6842,T7827,T7830,T7916,T8203
10,T89,T406,T930,T1045,T1118,T1170,T1189,T1214,T1930,T2165,T2205,T3059,T3369,T4919,T4986,T5495,T5847,T5955,T6127,T6408,T6448,T6475,T7549,T7667,T7693,T7817,T7903,T8088,T8307,T8379
