,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T626,T738,T747,T760,T772,T774,T778,T925,T1065,T1209,T1621,T1629,T1972,T2463,T2808,T3282,T3478,T3605,T4003,T4366,T4620,T5061,T5262,T5347,T6035,T6217,T6680,T6702,T6809,T6851
1,T62,T922,T1081,T1493,T1590,T1918,T2124,T2404,T2743,T2847,T2973,T3395,T3621,T4001,T4346,T4996,T5206,T5518,T6424,T6455,T6550,T6571,T6604,T7235,T7724,T8243,T9050,T9101,T9516,T9612
2,T9,T214,T275,T591,T815,T850,T923,T1062,T1138,T1391,T1502,T2483,T2860,T3129,T3328,T3485,T3521,T3761,T4125,T4189,T4330,T5074,T5403,T5809,T6325,T6771,T6855,T7222,T7738,T7917
3,T157,T175,T216,T670,T747,T1365,T1426,T1583,T1948,T2179,T2287,T2892,T3117,T3853,T4264,T5233,T5494,T5879,T6017,T6143,T6405,T6785,T6798,T6925,T7320,T7347,T8245,T8272,T8469,T8811
4,T580,T647,T692,T1062,T1306,T1494,T1500,T1514,T1747,T2207,T2398,T2595,T2824,T3496,T3557,T3727,T4091,T4252,T4487,T4606,T5533,T5811,T5829,T6267,T6385,T6419,T7663,T7866,T8359,T8426
5,T626,T631,T640,T1215,T1499,T1745,T2156,T2762,T2770,T2935,T3072,T3525,T4174,T4305,T4318,T4442,T4448,T4567,T4937,T5119,T5425,T5598,T6063,T6084,T6546,T7899,T7992,T8127,T8456,T8761
6,T622,T854,T1891,T1982,T2777,T3106,T3194,T3448,T3566,T3666,T3687,T3840,T3854,T4169,T4394,T5027,T5118,T5230,T5237,T5596,T5610,T5752,T5896,T6208,T6457,T6684,T7065,T7199,T7883,T7927
7,T178,T518,T768,T773,T777,T893,T921,T1063,T1080,T1145,T1860,T2269,T2466,T2873,T2874,T2974,T3208,T3249,T3369,T3503,T3771,T3932,T3997,T4156,T4578,T4589,T5572,T5692,T6335,T6609
8,T120,T216,T594,T1132,T1186,T1373,T1427,T1482,T1558,T1618,T3449,T3627,T4051,T4382,T4842,T4960,T5532,T6193,T6504,T7102,T7903,T7911,T8482,T9040,T9147,T9541,T9563,T9726,T9785,T10279
9,T77,T203,T369,T387,T696,T759,T915,T1006,T1196,T1608,T2248,T2974,T3116,T3165,T3246,T3344,T4242,T4272,T4611,T4655,T5033,T5190,T5495,T6764,T7851,T8490,T8551,T8683,T8815,T8935
