,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T71,T258,T556,T670,T697,T843,T959,T1040,T1256,T1534,T1571,T2017,T2254,T2384,T2630,T2727,T2730,T2868,T3325,T3998,T4304,T4438,T4490,T5062,T5116,T5318,T5410,T5480,T6074,T6112
1,T223,T286,T324,T444,T1071,T1544,T2844,T3298,T3458,T3551,T3618,T4412,T4476,T4495,T5657,T5778,T6269,T6408,T6539,T6702,T6737,T6899,T7034,T7231,T7328,T7421,T7459,T7499,T7565,T7732
2,T296,T936,T1034,T1397,T2177,T2594,T2808,T3041,T3253,T3357,T3924,T4084,T4233,T4340,T4655,T5111,T5338,T5347,T5483,T5761,T5870,T5879,T5923,T6116,T6239,T6388,T6732,T7312,T7314,T7470
3,T468,T566,T600,T861,T902,T948,T1152,T2197,T2430,T2786,T3437,T3974,T4473,T4528,T4543,T4713,T4876,T4938,T5248,T5327,T5513,T5873,T6117,T6161,T6755,T6757,T6834,T6980,T6983,T7142
4,T1047,T1161,T1185,T1638,T1747,T1887,T2067,T2722,T3074,T3194,T3231,T4257,T4544,T4804,T5265,T5304,T5720,T5757,T6125,T6435,T6583,T6677,T6746,T7675,T7831,T7944,T8474,T8502,T8586,T8672
5,T44,T549,T752,T812,T976,T1040,T1265,T1672,T1757,T2661,T2947,T3013,T3327,T3763,T3893,T4115,T4614,T5692,T6044,T6247,T6320,T6443,T6554,T6568,T6595,T7464,T7465,T7778,T7844,T8473
6,T52,T361,T1046,T1149,T1215,T1624,T1854,T1867,T2124,T2314,T2526,T2592,T2904,T3553,T3752,T3835,T4039,T4308,T4707,T4740,T4835,T4958,T5098,T5205,T5265,T5578,T6073,T6284,T6423,T6942
7,T340,T353,T599,T739,T846,T1375,T1653,T2619,T2707,T2888,T2974,T3117,T3156,T3394,T3816,T4175,T4203,T4264,T4376,T4429,T4456,T4543,T4568,T4608,T4620,T4633,T5057,T5106,T5150,T5247
8,T157,T289,T563,T739,T1131,T1152,T1242,T1375,T1412,T1615,T1826,T1890,T2278,T2288,T2335,T2913,T2972,T3453,T3604,T3807,T3942,T3954,T4417,T4635,T4797,T4984,T5024,T5293,T5552,T5650
9,T153,T592,T1048,T1105,T1304,T1728,T1959,T2068,T2409,T2435,T2648,T2808,T3012,T3247,T3555,T3789,T3846,T4082,T4152,T4617,T5001,T5089,T5153,T5197,T5294,T5347,T5388,T5596,T5609,T5806
10,T255,T403,T558,T682,T1622,T1747,T2465,T2627,T2826,T3408,T4035,T4211,T4303,T4602,T4604,T4647,T5055,T5183,T5252,T5338,T5660,T5739,T5896,T5934,T6386,T6998,T7016,T7044,T7497,T7517
11,T378,T488,T660,T831,T1133,T1142,T2320,T2381,T2410,T2422,T2701,T2783,T2865,T2927,T2949,T3018,T3310,T3446,T3467,T3580,T3801,T3869,T3973,T3976,T3986,T4028,T4109,T4168,T4596,T4793
12,T159,T312,T419,T564,T732,T887,T967,T990,T1361,T1393,T1581,T1924,T1962,T2601,T2674,T2733,T2740,T2790,T2942,T3270,T3337,T3726,T3805,T4334,T4347,T4443,T4576,T4620,T4743,T4756
13,T103,T418,T2001,T2206,T2347,T2586,T2767,T2834,T3011,T3018,T3073,T3106,T3155,T3825,T3828,T3975,T4412,T4479,T4742,T5388,T5655,T5943,T5957,T6045,T6549,T6670,T7198,T7279,T7374,T7452
14,T580,T1047,T1092,T1112,T1307,T1310,T1512,T1629,T1997,T2365,T2512,T2881,T3105,T3278,T3648,T3741,T3791,T4204,T4252,T4457,T4486,T4522,T5117,T5402,T5504,T5515,T5628,T5726,T5784,T6123
15,T51,T176,T338,T392,T464,T716,T980,T1042,T1141,T1256,T1492,T1508,T1517,T1676,T1926,T2030,T2035,T2041,T2066,T2375,T2611,T2831,T2943,T3009,T3403,T3643,T4221,T4239,T4357,T4451
16,T187,T269,T477,T501,T593,T752,T1192,T1207,T1233,T1854,T2311,T2482,T2794,T2802,T3590,T3724,T3880,T4066,T4233,T4260,T4291,T4308,T4444,T4474,T4567,T5057,T5186,T5595,T5626,T5748
