,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T801,T875,T889,T1152,T1423,T2729,T2910,T2969,T2970,T3155,T3174,T3318,T3718,T3846,T4171,T4255,T4707,T4795,T5197,T5319,T5783,T6129,T6216,T6306,T6612,T6710,T6801,T7105,T7295,T7434
1,T37,T458,T1115,T1332,T1357,T1839,T2299,T2546,T3994,T4063,T4091,T4192,T4400,T4506,T4937,T5139,T5358,T5877,T7017,T7553,T7735,T8147,T9013,T9061,T9086,T9150,T9388,T9851,T10175,T10204
2,T374,T813,T882,T965,T1198,T1651,T1978,T2475,T3442,T3775,T4152,T4670,T4875,T4901,T5134,T5747,T5862,T6080,T6718,T6981,T7120,T7356,T7779,T7798,T8374,T8591,T9247,T9454,T9771,T9839
3,T574,T847,T1091,T1342,T1344,T2056,T2530,T2622,T2688,T3267,T3333,T3693,T3810,T4008,T4115,T4297,T4369,T4851,T5316,T5582,T5932,T6043,T6184,T6627,T6959,T7004,T7229,T8218,T8793,T8956
4,T352,T629,T724,T1115,T1289,T1334,T1785,T2137,T2166,T2379,T3249,T3685,T4157,T4330,T4562,T4768,T4769,T4774,T4879,T5220,T6526,T6674,T7301,T7369,T7548,T7772,T8125,T8180,T8595,T8779
5,T152,T230,T895,T1001,T1344,T1681,T1845,T1946,T1979,T2233,T2556,T2758,T3202,T3262,T3442,T3902,T4725,T4891,T5513,T5521,T5677,T6001,T6202,T6571,T6654,T6797,T6895,T7172,T7223,T7253
6,T372,T406,T432,T679,T1061,T1212,T1516,T1877,T2067,T2337,T2396,T2401,T3240,T3678,T4108,T4732,T4852,T5993,T6127,T6764,T7671,T7855,T8002,T8205,T8361,T8366,T8509,T8691,T8717,T8779
7,T3,T170,T399,T424,T475,T634,T1043,T1221,T1262,T1833,T2039,T2334,T2390,T2599,T2729,T3125,T3208,T3868,T3933,T4147,T5218,T5641,T6027,T6134,T6228,T6553,T7433,T7551,T8195,T8707
8,T134,T788,T914,T980,T1176,T1261,T1494,T1546,T2084,T2102,T2139,T2382,T2790,T3062,T4263,T4412,T4523,T4720,T5549,T5562,T6873,T6991,T7069,T7306,T7504,T7736,T8829,T8948,T9424,T9703
9,T96,T125,T168,T555,T597,T681,T1099,T1826,T2056,T2155,T2289,T2312,T2507,T2612,T2724,T2985,T3127,T3155,T3585,T3612,T3768,T3832,T3948,T4357,T4735,T5314,T5724,T6291,T6691,T7824
