,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T229,T394,T461,T474,T747,T1184,T1509,T3038,T3561,T3607,T3723,T3922,T4062,T4158,T4434,T4557,T4600,T4655,T4858,T5040,T5116,T5246,T5944,T6123,T6275,T6802,T6827,T7089,T7296,T8887
1,T50,T196,T817,T997,T1089,T1292,T1905,T2032,T3042,T3209,T3413,T3654,T3724,T3882,T4081,T4135,T4199,T4255,T4305,T4417,T4809,T5371,T5485,T5661,T5690,T6110,T7180,T7992,T8006,T8139
2,T216,T499,T658,T699,T772,T1289,T1531,T1619,T2135,T2811,T2816,T2935,T3006,T3202,T3309,T3415,T3685,T3913,T4399,T4602,T5345,T5380,T5425,T5786,T6702,T7884,T7915,T8182,T9192,T9608
3,T666,T1104,T1242,T1393,T1464,T1642,T1662,T1673,T1723,T1915,T2564,T2837,T3217,T3470,T3603,T3618,T3745,T3850,T4245,T4347,T4366,T5593,T5719,T5889,T5992,T6034,T6381,T6533,T6763,T6781
4,T79,T106,T398,T769,T1074,T1199,T1584,T1850,T2438,T2478,T2823,T3761,T4377,T4809,T4905,T5219,T5404,T5640,T5644,T5824,T5858,T6135,T6316,T7267,T7377,T7824,T8322,T8340,T8524,T8566
5,T222,T412,T708,T1420,T1478,T1805,T2161,T2201,T2878,T3016,T3039,T3101,T3390,T3495,T4021,T4350,T4369,T4466,T4511,T4578,T4604,T4623,T4937,T4988,T5246,T5249,T5409,T5737,T6309,T6746
6,T109,T331,T419,T588,T837,T1053,T1308,T1358,T1508,T2763,T2961,T3863,T4097,T4275,T4648,T4771,T4916,T5112,T5459,T5922,T5930,T6166,T6323,T6376,T6447,T7230,T7340,T8053,T8240,T8659
7,T100,T121,T769,T773,T957,T984,T1114,T1840,T2110,T2114,T2155,T2972,T3993,T4009,T4276,T4524,T4530,T5105,T5967,T6112,T6447,T6739,T6828,T6866,T6968,T7512,T7717,T8442,T9040,T10095
8,T139,T372,T495,T759,T861,T1062,T1230,T1939,T2249,T2282,T2330,T2900,T3146,T3436,T3779,T3804,T4100,T4394,T4448,T4628,T4748,T4911,T5299,T5425,T5777,T5883,T6276,T6510,T6560,T6736
9,T194,T207,T363,T904,T938,T1923,T2525,T2579,T2583,T2915,T3129,T4132,T4296,T4542,T4607,T5230,T5555,T6235,T6484,T6730,T7162,T7354,T7402,T7696,T8241,T8259,T9067,T9174,T9465,T9842
10,T52,T1637,T1796,T2117,T2388,T2590,T2736,T3018,T3157,T3637,T3978,T4061,T4457,T4523,T4567,T4756,T4952,T5408,T6141,T6186,T6992,T7352,T7450,T7742,T8144,T8271,T8647,T8868,T8943,T9411
11,T41,T426,T491,T799,T937,T1031,T2186,T2318,T2374,T2849,T3439,T4212,T4319,T4397,T4427,T4802,T4916,T5004,T5024,T5198,T5331,T5685,T6127,T6551,T6938,T6968,T7185,T7350,T7379,T7805
12,T560,T1455,T1878,T2008,T2371,T2653,T3129,T3245,T3561,T4812,T4905,T5160,T5474,T5549,T5822,T5853,T5961,T6091,T6108,T6125,T6252,T6460,T6676,T6869,T7378,T7464,T8134,T8213,T8230,T8268
13,T131,T772,T783,T810,T1195,T1282,T1334,T1892,T2058,T2312,T2740,T2966,T3427,T3551,T3715,T4029,T4136,T4655,T4693,T4799,T5060,T5206,T5240,T5372,T5572,T6266,T6382,T7151,T8203,T8519
14,T41,T191,T280,T305,T470,T774,T1317,T1379,T1505,T1604,T1805,T2994,T3134,T3661,T3712,T3839,T3915,T4176,T4207,T4467,T5074,T5098,T5964,T6208,T6249,T6457,T6507,T6744,T6855,T6937
15,T100,T230,T402,T418,T755,T781,T1141,T2116,T2185,T2245,T2530,T2748,T2911,T3382,T3538,T3757,T4172,T4318,T4461,T4565,T4746,T4803,T5000,T5262,T5348,T6156,T6168,T6573,T6673,T7239
16,T4,T9,T1482,T1509,T1727,T1907,T1973,T2160,T2266,T2311,T2625,T2823,T3197,T3252,T3609,T4265,T4357,T4406,T4514,T4600,T4844,T4932,T5034,T5035,T5328,T6061,T6242,T6372,T6694,T6715
