,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T185,T210,T314,T614,T749,T759,T850,T1152,T1290,T1618,T1817,T1842,T2062,T2515,T2627,T3169,T3680,T4041,T4516,T4550,T4814,T5155,T5225,T5344,T5386,T5438,T5498,T5561,T6656,T7663
1,T14,T36,T231,T538,T731,T1406,T1501,T1595,T1599,T1785,T1806,T2426,T2773,T2801,T3078,T3142,T3384,T3443,T3957,T3978,T4210,T4223,T4322,T4546,T4846,T5502,T5674,T5995,T6105,T6111
2,T12,T222,T466,T613,T774,T1419,T1460,T1680,T1836,T1979,T2004,T2351,T2610,T2697,T2809,T2845,T2976,T3405,T3425,T4155,T4455,T4602,T4617,T4648,T4681,T4916,T5041,T5579,T6008,T6147
3,T29,T92,T275,T484,T823,T1041,T1459,T1506,T1530,T2125,T2168,T2408,T2492,T2836,T3069,T3172,T3244,T3535,T3589,T4383,T4541,T4580,T4596,T4615,T4640,T4725,T5014,T5047,T5143,T5606
4,T121,T410,T480,T539,T642,T1071,T2127,T2654,T2786,T2930,T2990,T3595,T3852,T3950,T3995,T4007,T4019,T4094,T4107,T4202,T4266,T4427,T5127,T5314,T5623,T6032,T6074,T6080,T6126,T6143
5,T34,T108,T419,T577,T856,T1169,T1793,T2333,T2392,T3279,T3853,T3946,T4412,T4686,T4690,T5044,T5183,T5188,T5405,T5532,T5677,T6044,T6288,T6396,T6443,T6516,T6525,T6805,T6875,T7319
6,T303,T406,T525,T755,T1458,T1505,T1641,T2498,T2600,T2699,T2988,T3208,T3368,T3605,T3652,T3678,T3973,T4443,T4515,T4564,T4963,T5047,T5051,T5061,T5469,T6061,T6532,T6718,T7319,T7346
7,T152,T210,T294,T1127,T1161,T1395,T1432,T1523,T1799,T1859,T2120,T2627,T2922,T3110,T3132,T3328,T3342,T3343,T3414,T3703,T3719,T3814,T3820,T3893,T4524,T4708,T5000,T5046,T5131,T5166
8,T161,T206,T719,T800,T833,T876,T890,T1033,T1258,T1838,T2271,T2501,T2753,T2939,T3107,T3688,T3830,T3884,T4459,T4519,T4634,T4724,T5060,T5132,T5262,T5273,T5290,T5316,T5345,T5524
9,T166,T477,T538,T620,T672,T788,T1149,T1201,T1452,T2667,T2715,T2795,T2886,T2927,T3131,T3250,T3266,T3387,T3424,T3443,T4026,T4233,T4256,T4629,T4643,T4725,T5385,T5407,T5718,T6459
