,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T1074,T1458,T1469,T1761,T1816,T1832,T2319,T2916,T3456,T3818,T4009,T4168,T4722,T4728,T4733,T4765,T4850,T4859,T4862,T4991,T5442,T5521,T6099,T6252,T6339,T6414,T6982,T7412,T7564,T7776
1,T1960,T2041,T2726,T3107,T3504,T3679,T3721,T4060,T4267,T5273,T5300,T5499,T5676,T5781,T5789,T5792,T5846,T6107,T7337,T7503,T7893,T8361,T8439,T8814,T8901,T8973,T8996,T9032,T10032,T10370
2,T24,T269,T366,T578,T596,T629,T1263,T1357,T1414,T1593,T1776,T1984,T2057,T2207,T2477,T2603,T2636,T3052,T3216,T3985,T4246,T4551,T4632,T4976,T5274,T5497,T6159,T6633,T6791,T8042
3,T272,T578,T733,T790,T857,T929,T1373,T1789,T2161,T3716,T4282,T4781,T5035,T5104,T5120,T5416,T6104,T6290,T6410,T6537,T6847,T7112,T7546,T7706,T7727,T7831,T7841,T7932,T8162,T8270
4,T319,T451,T964,T1034,T1411,T1444,T1518,T1606,T2146,T2587,T2602,T2863,T2975,T3236,T3417,T3474,T3537,T3876,T3954,T4125,T4400,T4528,T4608,T5119,T5382,T5667,T6124,T6456,T6712,T6861
5,T534,T769,T816,T918,T2209,T2403,T2432,T2645,T2920,T3096,T3742,T4276,T4423,T4552,T4937,T5208,T5218,T5550,T6151,T6188,T6686,T7544,T7578,T7734,T7766,T8005,T8048,T8070,T8317,T8743
6,T230,T381,T889,T1060,T1098,T1122,T1296,T1814,T1894,T2272,T2290,T2702,T3070,T3175,T3595,T3615,T3879,T4784,T5445,T5486,T5874,T6001,T6545,T6553,T6779,T7449,T8021,T8223,T8307,T8551
7,T264,T438,T496,T693,T817,T1267,T1592,T1620,T1825,T2199,T2325,T2416,T2419,T2480,T2735,T2786,T2877,T3058,T4393,T4781,T4879,T4900,T4922,T5074,T5305,T5334,T5339,T6001,T6634,T6859
8,T367,T372,T742,T1049,T2047,T2326,T2923,T3284,T3446,T3457,T3963,T4890,T4891,T4893,T4924,T5460,T5571,T5962,T6081,T6131,T6139,T6271,T6893,T7122,T7513,T7546,T7707,T7927,T8046,T8166
9,T268,T390,T398,T436,T769,T1022,T1062,T1306,T1457,T1478,T1795,T2012,T2416,T2845,T2959,T3024,T3346,T3432,T3998,T4247,T4943,T5191,T5431,T5665,T6129,T6139,T6214,T6235,T6383,T6754
10,T163,T646,T1036,T1497,T1506,T1878,T2207,T2433,T2832,T2872,T3187,T3245,T3332,T3503,T4040,T4259,T4267,T4561,T4960,T4991,T5174,T5531,T5547,T6514,T7006,T7229,T7304,T7395,T7928,T8417
