,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T265,T528,T1043,T1247,T1573,T1768,T2388,T2425,T2845,T3478,T3636,T3917,T4243,T4674,T4781,T5135,T5518,T6295,T6387,T6516,T6616,T7082,T7190,T7334,T7830,T7883,T9280,T9389,T9929,T10017
1,T138,T716,T840,T1172,T1369,T1458,T2159,T2446,T2528,T3514,T3532,T3665,T3693,T3770,T3985,T4141,T4312,T4329,T4347,T4582,T4610,T4733,T4735,T4962,T5006,T5032,T5214,T5400,T6577,T6615
2,T256,T1107,T1145,T1255,T1324,T1494,T1560,T1615,T1977,T2200,T2743,T2752,T2970,T3122,T3212,T3794,T4261,T4505,T4522,T4726,T4983,T5361,T5645,T6387,T7183,T7196,T7426,T7498,T8665,T8706
3,T203,T308,T612,T667,T914,T1269,T1367,T1505,T1546,T1742,T2740,T2877,T3133,T3267,T3280,T3339,T3572,T3731,T3768,T4133,T4192,T4305,T4357,T4442,T4480,T4866,T5010,T5082,T5123,T5730
4,T20,T95,T554,T924,T976,T1019,T1127,T1218,T1423,T1580,T1697,T1763,T1827,T1906,T2090,T2351,T2507,T2974,T3072,T3997,T4914,T5599,T5687,T6300,T6550,T6894,T7473,T7622,T7946,T8031
5,T45,T136,T429,T630,T775,T839,T850,T967,T1138,T1291,T1630,T2247,T2558,T3193,T3213,T3237,T3855,T3963,T4275,T4409,T5034,T5078,T5470,T5508,T5525,T5672,T6172,T6440,T6587,T7197
6,T102,T205,T310,T319,T748,T1683,T1856,T2527,T2970,T3144,T3276,T3663,T4145,T4392,T4486,T4522,T4973,T4987,T5397,T5486,T5544,T5576,T6121,T6287,T6349,T7087,T8026,T8115,T8385,T8467
7,T510,T902,T912,T1481,T1730,T2012,T2433,T2932,T3056,T3212,T3373,T3426,T3851,T3928,T4268,T4346,T4608,T5064,T5180,T6054,T6104,T7240,T7626,T7799,T8467,T8524,T8544,T8772,T9039,T9128
8,T626,T781,T971,T1223,T1459,T2044,T2142,T2178,T2517,T2570,T2954,T3213,T3448,T3483,T3538,T4210,T4228,T4479,T4722,T4783,T4804,T4811,T5022,T5126,T5681,T5776,T6020,T6148,T6299,T6779
9,T107,T392,T425,T817,T1083,T1399,T1430,T1438,T1593,T2418,T3756,T4279,T4398,T4606,T4727,T4745,T4893,T4927,T5111,T5917,T6756,T7034,T7197,T7406,T7597,T7890,T8101,T8671,T8843,T9051
10,T17,T26,T588,T614,T872,T960,T1579,T1791,T1797,T1925,T2002,T2022,T2138,T2588,T2817,T2918,T3003,T3040,T3453,T3773,T4399,T4714,T4867,T5068,T5117,T5463,T5827,T6274,T6683,T7063
11,T140,T230,T264,T276,T425,T485,T592,T1144,T1372,T1943,T2323,T3397,T3937,T4035,T4358,T4470,T4478,T5769,T5923,T5937,T6055,T6211,T6451,T6516,T7276,T8288,T8326,T8526,T8781,T9090
12,T1144,T1359,T1377,T2301,T2654,T2699,T2796,T3802,T3823,T3883,T3927,T4264,T4364,T4433,T4886,T4916,T5039,T5168,T5429,T5651,T5944,T6046,T6349,T6844,T7364,T7450,T7498,T7528,T7952,T8283
13,T288,T555,T698,T801,T932,T1205,T1342,T1646,T2058,T3076,T3387,T4026,T4193,T4345,T4544,T4562,T4601,T4658,T4666,T5185,T5309,T5812,T5890,T5910,T5923,T6036,T6430,T6744,T6867,T7505
14,T791,T819,T1326,T1335,T1883,T2013,T2189,T2223,T2553,T2570,T2864,T3090,T3435,T3529,T3766,T3954,T4212,T4445,T5095,T5409,T5625,T5765,T5848,T6130,T6739,T6779,T7119,T7250,T7299,T7738
15,T207,T515,T1115,T1765,T1817,T2117,T2446,T2512,T2692,T2753,T2818,T3216,T4015,T4123,T4244,T4578,T4649,T4779,T5361,T5402,T5993,T6275,T6626,T6780,T6801,T7387,T7952,T8135,T8213,T8540
