,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T43,T65,T436,T580,T796,T864,T1180,T1446,T1798,T1948,T2748,T2877,T2912,T3350,T3357,T3443,T3468,T3623,T3856,T3940,T4080,T4264,T4577,T4601,T4664,T4736,T4860,T5030,T5083,T5527
1,T47,T508,T1037,T1268,T1286,T1431,T1645,T1790,T1940,T2409,T2516,T2542,T2719,T3207,T3272,T3477,T3629,T4106,T4440,T4612,T4622,T4673,T4754,T5241,T5351,T5508,T5649,T5959,T6351,T6363
2,T101,T688,T740,T867,T1453,T1594,T1714,T1894,T1953,T2484,T2499,T2711,T2808,T3633,T3752,T3904,T3944,T4018,T4172,T4250,T5060,T5186,T5211,T5256,T5749,T5754,T6148,T6172,T6200,T6498
3,T65,T158,T239,T341,T780,T834,T982,T1192,T1302,T1543,T1697,T1855,T1864,T1869,T1965,T1988,T2333,T3082,T3187,T3407,T3444,T4472,T4537,T4825,T5050,T5277,T5621,T5644,T5836,T6078
4,T164,T315,T350,T417,T1232,T1658,T1943,T2419,T3014,T3144,T3652,T3657,T3808,T3878,T3912,T3926,T4081,T4208,T4268,T4384,T4443,T4515,T4772,T4777,T5041,T5177,T5390,T5391,T5919,T6009
5,T484,T595,T1004,T1295,T1298,T1358,T1502,T1552,T1621,T2036,T2812,T3104,T3122,T3444,T3555,T3988,T4031,T4399,T4408,T4585,T4776,T4887,T4896,T5028,T5172,T5191,T5502,T5858,T6413,T6490
6,T236,T494,T681,T801,T945,T1407,T1503,T1793,T2318,T2673,T3157,T3521,T3528,T3681,T3851,T3918,T3975,T4169,T4478,T5352,T5392,T6078,T6364,T6392,T6427,T6434,T6640,T6946,T7301,T7539
7,T668,T844,T913,T1346,T1528,T1998,T2076,T2232,T2846,T2909,T2973,T3507,T4062,T4305,T4554,T4978,T5041,T5100,T6407,T6575,T6865,T6988,T7279,T7322,T7453,T7486,T7491,T7503,T7547,T7569
8,T21,T683,T761,T777,T1138,T1851,T1913,T2319,T2334,T2413,T2622,T2808,T3274,T3352,T3433,T3525,T3541,T3780,T3963,T3967,T4047,T4355,T4486,T4621,T4623,T4628,T4667,T5154,T5321,T5613
9,T84,T142,T341,T344,T569,T782,T864,T1043,T1090,T1196,T1568,T1724,T2237,T2392,T2983,T3405,T3436,T3836,T4018,T4137,T4600,T4659,T4689,T4859,T5419,T5472,T5475,T5585,T5873,T5922
10,T84,T173,T409,T528,T594,T794,T1266,T1274,T1487,T2519,T2579,T2592,T3095,T3115,T3211,T3587,T4065,T4150,T4187,T4437,T4709,T5015,T5294,T5448,T5855,T5880,T5966,T6012,T6241,T6877
11,T53,T183,T730,T823,T904,T1451,T1669,T2031,T2151,T2689,T3082,T3120,T3327,T3338,T3425,T3446,T3959,T4001,T4099,T4181,T4214,T4316,T4471,T4578,T4639,T4685,T4812,T4874,T5333,T5335
12,T310,T395,T783,T1018,T1099,T1332,T1361,T1712,T1760,T1951,T1953,T2033,T2126,T2198,T2238,T2430,T2787,T3209,T3271,T3299,T3509,T3715,T4112,T4190,T5217,T5625,T5923,T6463,T6597,T6928
13,T124,T207,T649,T739,T1373,T1747,T2847,T2874,T2881,T2887,T4101,T4119,T4133,T4196,T4301,T4368,T4447,T4566,T4846,T5009,T5129,T5199,T5275,T5634,T6126,T6268,T6371,T6708,T6726,T7020
14,T46,T781,T863,T1067,T1077,T1156,T1565,T1572,T1749,T1776,T1882,T2095,T2466,T2530,T2538,T2943,T3085,T3133,T3375,T3466,T3811,T3834,T3884,T3914,T4159,T4169,T4210,T4215,T4232,T4439
15,T107,T200,T761,T1145,T1220,T1306,T1366,T1518,T2197,T2569,T2949,T3165,T3290,T3359,T3403,T3730,T3750,T4238,T4651,T4685,T4854,T4933,T4948,T5038,T5061,T5179,T5261,T5421,T5535,T5613
16,T333,T437,T646,T857,T865,T997,T1390,T1544,T1592,T1608,T1837,T2075,T2087,T2241,T2433,T2613,T2912,T3675,T4162,T4267,T4355,T4398,T4462,T4484,T4534,T4574,T4587,T4697,T4960,T5182
17,T344,T366,T410,T481,T529,T842,T979,T1139,T1228,T1521,T1556,T1748,T1801,T1905,T2751,T2881,T2934,T3557,T4171,T4761,T5042,T5065,T5126,T5258,T5348,T5632,T5638,T6068,T6743,T6757
18,T140,T425,T765,T1286,T1430,T1471,T1476,T1801,T2270,T2424,T2433,T2813,T3218,T3377,T4891,T4942,T5243,T5453,T5911,T6014,T6141,T6573,T6716,T6819,T7013,T7234,T7915,T8025,T8304,T8358
19,T137,T171,T444,T501,T545,T618,T698,T713,T1521,T1709,T1929,T2591,T2606,T2784,T3002,T3065,T3178,T3218,T3822,T4206,T4690,T4891,T5154,T5278,T5305,T5369,T5813,T5901,T5930,T6326
20,T178,T192,T313,T458,T549,T682,T852,T1178,T1342,T1367,T1619,T1862,T2205,T2212,T2482,T2759,T3113,T3310,T3480,T3595,T3617,T3794,T4132,T4250,T4329,T4551,T4580,T4639,T4886,T5298
21,T9,T343,T393,T439,T743,T744,T1165,T1214,T1667,T1761,T1857,T1866,T1983,T1999,T2223,T2396,T2462,T2617,T2692,T2943,T2972,T3217,T3316,T3339,T4224,T4576,T4763,T4955,T5444,T5500
22,T263,T915,T925,T976,T1145,T1166,T1271,T1339,T1670,T1868,T2365,T2463,T2598,T3107,T3687,T3803,T3955,T4268,T4292,T4354,T4762,T4928,T5370,T5552,T5599,T5881,T6333,T6427,T6613,T7331
23,T480,T1221,T1293,T1582,T2068,T2131,T2543,T3175,T3386,T3497,T3673,T3743,T4067,T4291,T4446,T4850,T4887,T5018,T5206,T5536,T6047,T6108,T6326,T6351,T6577,T6579,T6691,T6738,T6790,T7115
24,T76,T210,T509,T789,T837,T1165,T1768,T2226,T2291,T2318,T2626,T2663,T2950,T2995,T3638,T4202,T4354,T4409,T7325,T7492,T8027,T8207,T8247,T8405,T8560,T8711,T8824,T8853,T9321,T9329
25,T44,T410,T567,T735,T1350,T1545,T1852,T1922,T2851,T2950,T3030,T3128,T3165,T3288,T3311,T3472,T3973,T4283,T4378,T4447,T4458,T4533,T4782,T5035,T5124,T5276,T5345,T5382,T6578,T6586
26,T189,T367,T1087,T1239,T1311,T1988,T2180,T2386,T2459,T2484,T2587,T3042,T3158,T3274,T3568,T3832,T4029,T4133,T4170,T4582,T5150,T5168,T5485,T5551,T5752,T5928,T5973,T6148,T6204,T6280
27,T36,T94,T146,T247,T422,T599,T644,T1092,T1346,T1594,T1682,T1752,T1877,T2669,T2934,T2958,T2998,T3290,T3381,T3446,T3447,T4041,T4266,T4491,T4522,T4621,T4640,T5083,T5127,T5261
28,T263,T336,T535,T761,T1497,T1543,T1920,T2360,T2907,T3230,T3389,T3493,T3507,T3749,T3760,T3849,T3906,T4060,T4243,T4466,T4986,T5177,T5195,T5225,T5273,T5652,T6411,T6956,T6960,T6964
29,T97,T263,T434,T490,T759,T850,T1447,T1629,T2098,T2464,T2466,T4104,T4498,T4561,T4734,T4881,T4937,T4950,T5436,T5475,T5539,T6046,T6211,T6394,T6407,T6943,T7018,T7254,T7469,T7569
