,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T352,T358,T701,T876,T1523,T1976,T2416,T2479,T2570,T2845,T3059,T3464,T3829,T3846,T3997,T4007,T4058,T4324,T4392,T4457,T4781,T5215,T5635,T6108,T6166,T6264,T8334,T8406,T8897,T9118
1,T389,T1148,T1150,T1317,T1955,T2081,T2787,T2966,T3131,T3270,T3462,T3749,T3789,T3985,T4287,T4568,T4938,T5343,T5422,T5879,T6558,T6681,T6833,T6867,T6986,T7794,T7967,T7972,T8309,T8581
2,T432,T455,T638,T710,T888,T1864,T2334,T3138,T3437,T3676,T4149,T4180,T4285,T4729,T4883,T4971,T5066,T5186,T5274,T5900,T6033,T6752,T6783,T6974,T7267,T7520,T7557,T7646,T7937,T8376
3,T121,T176,T305,T1461,T2122,T2280,T2560,T3252,T3741,T3852,T4035,T4102,T4224,T4242,T4598,T5271,T5539,T5764,T6025,T6255,T6475,T6537,T6886,T6914,T7132,T7415,T7545,T7725,T7836,T7954
4,T110,T190,T521,T566,T877,T979,T1117,T1346,T1439,T1478,T1658,T1827,T2479,T2483,T2868,T2920,T2967,T3012,T3018,T3165,T3471,T3662,T3772,T3909,T4342,T4500,T5137,T5345,T5441,T5442
5,T638,T730,T1007,T1014,T1389,T1614,T1744,T2359,T2430,T3162,T3800,T4845,T5148,T5270,T5434,T5978,T6179,T6563,T6900,T7014,T7450,T7517,T7617,T8085,T8406,T8595,T8693,T8725,T9243,T9249
6,T106,T128,T485,T619,T781,T1770,T2256,T2447,T2519,T2914,T3039,T3582,T3839,T3939,T4665,T4969,T5114,T5507,T5590,T5618,T6244,T6562,T6601,T6832,T7149,T7470,T7504,T7815,T8122,T8234
7,T119,T231,T391,T584,T680,T758,T830,T856,T986,T1219,T1223,T1913,T1952,T2492,T2561,T2807,T3416,T3649,T3696,T3811,T3846,T5185,T5222,T5459,T5505,T5972,T6024,T6270,T6854,T6950
8,T321,T535,T877,T1530,T1694,T1700,T1874,T2006,T2209,T2675,T3042,T3135,T3551,T3769,T4697,T5440,T5629,T5668,T5698,T7359,T7498,T7594,T7636,T7766,T7775,T7856,T8054,T8372,T8501,T8505
9,T24,T345,T433,T579,T1183,T1238,T1651,T1765,T2123,T2149,T2550,T2726,T2966,T3776,T3964,T4054,T4253,T4641,T4758,T4870,T5110,T5256,T6029,T6553,T6586,T6635,T6953,T7545,T7559,T7777
10,T174,T342,T439,T497,T531,T619,T672,T726,T994,T1690,T2479,T2537,T2885,T2926,T2964,T3227,T3308,T3542,T3902,T4775,T4942,T4987,T5227,T5332,T5542,T5611,T5645,T5875,T5970,T6001
11,T14,T227,T232,T561,T684,T727,T960,T1016,T1305,T1465,T1765,T2839,T3032,T3092,T3272,T3980,T4237,T4568,T4668,T4715,T4737,T5203,T5214,T5532,T6037,T6333,T6465,T6626,T6988,T6994
12,T74,T103,T179,T258,T1001,T1085,T1174,T1267,T1408,T1513,T1602,T2369,T2596,T2667,T2991,T3181,T3450,T3497,T3777,T3959,T4239,T4956,T5335,T5508,T5931,T6055,T6285,T6583,T6665,T6973
