,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T125,T769,T812,T863,T865,T1972,T2090,T2323,T2351,T2414,T2595,T2712,T2753,T2953,T3091,T3727,T4327,T4430,T4963,T5141,T5143,T5601,T5616,T5813,T6386,T6395,T6884,T7072,T7082,T7574
1,T58,T140,T330,T645,T759,T1084,T1212,T1439,T1489,T1578,T1978,T2631,T2815,T2862,T3022,T3601,T3654,T4149,T4315,T4731,T4957,T5372,T5454,T5703,T5772,T6178,T6256,T6448,T6872,T7691
2,T162,T182,T847,T902,T1458,T1897,T3125,T3261,T3949,T3973,T4064,T4093,T4098,T4477,T4981,T5078,T5270,T5947,T6109,T6417,T7162,T7306,T7774,T8589,T8632,T8633,T8656,T9179,T10097,T10134
3,T465,T587,T606,T638,T893,T915,T1196,T1278,T1569,T1917,T1928,T2541,T2603,T2671,T2753,T2781,T3294,T3586,T3855,T4202,T4319,T4350,T4679,T4924,T5317,T5378,T5499,T6219,T6233,T6239
4,T181,T635,T1158,T1192,T1224,T1477,T2080,T2524,T2581,T2718,T3030,T3210,T3222,T4307,T4548,T4572,T4961,T5066,T5092,T5419,T5525,T5717,T5931,T6139,T6301,T6770,T6805,T7498,T7606,T7767
5,T130,T332,T718,T784,T790,T791,T817,T1013,T1317,T2072,T2388,T2807,T3175,T3570,T3718,T3907,T4158,T4328,T4465,T4601,T4756,T5305,T5429,T5738,T5744,T6022,T6537,T6686,T6753,T7049
6,T98,T745,T1083,T1248,T1329,T1413,T1470,T1688,T2244,T2392,T2821,T3133,T3376,T3959,T4098,T4322,T4423,T4453,T4593,T4648,T5158,T5462,T5883,T6091,T7217,T7450,T7524,T8046,T8093,T8214
7,T230,T363,T485,T1075,T1085,T1391,T1427,T1467,T1554,T1881,T2112,T2193,T2214,T2644,T2944,T3177,T3284,T3637,T3912,T3919,T3937,T4250,T4255,T4274,T4469,T4869,T5657,T6419,T6742,T6811
8,T70,T146,T310,T482,T618,T1467,T1522,T1553,T1879,T2110,T2395,T2397,T2909,T3448,T3768,T4295,T4495,T4526,T4976,T5088,T5185,T5451,T5750,T6464,T6609,T7509,T7624,T7954,T8357,T8490
9,T325,T374,T626,T1200,T1390,T1763,T2332,T2993,T3417,T3695,T3826,T4349,T4806,T4987,T5039,T5072,T5235,T5292,T5485,T5550,T5594,T5944,T5974,T6231,T6326,T6736,T6759,T6986,T7165,T7974
10,T232,T306,T521,T625,T689,T1023,T1913,T2076,T2171,T2471,T2863,T3234,T3270,T4041,T4279,T4509,T4634,T4877,T4947,T5776,T5968,T6009,T7089,T7117,T7556,T7669,T7748,T8170,T8782,T9019
11,T31,T400,T471,T645,T690,T740,T751,T784,T1066,T1087,T1177,T1717,T1914,T2132,T2581,T2815,T2894,T3135,T3212,T3588,T3636,T4391,T4631,T5233,T5288,T5367,T5623,T5799,T5900,T5925
12,T19,T82,T497,T702,T762,T987,T993,T1088,T1703,T1724,T1857,T1978,T2538,T3099,T3381,T3696,T3804,T3873,T3876,T4238,T4251,T4271,T4287,T4398,T4882,T4886,T5231,T5252,T5498,T6227
13,T203,T208,T332,T480,T773,T980,T991,T1006,T1273,T1552,T1757,T2432,T2593,T2600,T3195,T3410,T3518,T3648,T3752,T3782,T3940,T4215,T4781,T5171,T5511,T5861,T6147,T6322,T6327,T6348
14,T59,T146,T281,T398,T424,T531,T598,T669,T870,T1230,T1558,T1635,T1943,T2585,T3419,T3518,T4113,T4268,T4280,T4613,T4781,T4795,T5181,T5810,T6462,T6637,T6643,T7159,T7214,T7260
15,T281,T395,T460,T647,T701,T784,T879,T1083,T1216,T1365,T1405,T1602,T1794,T2325,T2350,T2474,T2669,T2924,T3283,T4098,T4178,T4238,T4393,T4528,T4610,T5127,T5256,T5352,T5515,T5882
16,T12,T587,T628,T644,T1399,T1509,T1521,T1929,T1979,T2928,T3176,T3279,T3936,T5207,T5216,T5518,T5753,T6026,T6353,T6373,T6792,T6821,T7134,T7239,T7438,T7628,T8026,T8225,T8372,T8378
17,T60,T317,T460,T544,T676,T775,T780,T782,T879,T968,T1008,T1017,T1855,T1866,T2315,T3018,T3189,T3984,T4071,T4158,T4234,T4900,T4992,T5045,T5801,T6237,T6504,T6795,T7159,T7866
18,T662,T1119,T1249,T2098,T2420,T2530,T2697,T2857,T2978,T3212,T3325,T3501,T4217,T4280,T4370,T4477,T4570,T4642,T4737,T5261,T5572,T5881,T5903,T5993,T6440,T6507,T6571,T6604,T6759,T6858
19,T55,T288,T425,T443,T626,T743,T782,T1197,T1267,T1279,T1573,T2643,T2670,T2871,T3226,T3227,T3272,T3289,T4571,T4767,T4952,T5365,T5367,T5410,T5552,T6252,T6254,T6309,T6351,T6488
20,T299,T460,T487,T898,T1567,T1834,T2235,T2257,T2313,T2325,T2576,T2745,T3234,T3425,T3570,T3646,T4259,T4592,T4676,T4790,T5078,T5292,T5824,T6039,T6577,T6873,T6961,T7228,T7516,T8069
21,T80,T132,T481,T649,T971,T1900,T2739,T3658,T3899,T4051,T4561,T4712,T5233,T5310,T5495,T6167,T6333,T6636,T6793,T7346,T7700,T7759,T7839,T7843,T7954,T8163,T8249,T8465,T8516,T9188
22,T110,T265,T404,T786,T1193,T1400,T1592,T1804,T1813,T1878,T2170,T2300,T2390,T2587,T3020,T3350,T3443,T3706,T3813,T4191,T4269,T4447,T4450,T4590,T5290,T5390,T6029,T6101,T6165,T6351
23,T133,T274,T640,T1025,T1289,T1829,T1860,T1886,T2313,T2381,T2534,T2760,T3246,T3277,T3516,T3629,T3882,T4215,T4261,T4805,T4979,T5293,T5757,T5877,T5983,T6092,T6212,T6253,T6283,T6848
