,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T96,T736,T756,T930,T1805,T1939,T2615,T2894,T3072,T3165,T3291,T3296,T3697,T3721,T3764,T3912,T4544,T4923,T5465,T5676,T5692,T5722,T5834,T5988,T6129,T6211,T6352,T6370,T6381,T6447
1,T387,T465,T623,T797,T988,T1599,T2131,T2166,T2182,T2237,T2523,T2589,T2701,T3026,T3136,T3284,T3448,T3615,T3758,T3772,T3846,T4007,T4137,T4388,T4978,T4982,T5025,T5318,T5376,T5428
2,T45,T152,T164,T491,T826,T869,T903,T1076,T1344,T1633,T1676,T1935,T2223,T2262,T2451,T2463,T2525,T2743,T2806,T2844,T2855,T2941,T3310,T3587,T3796,T3836,T4266,T4419,T4493,T4571
3,T19,T635,T1177,T1633,T1637,T1784,T1852,T1854,T2011,T2099,T2185,T2194,T2357,T2625,T2659,T2802,T3157,T3379,T3527,T3768,T4174,T4363,T4618,T4684,T4757,T5073,T5122,T5145,T5456,T5668
4,T82,T89,T409,T550,T587,T645,T733,T771,T962,T1439,T1553,T1640,T1706,T2894,T3243,T3271,T4270,T4354,T4612,T5166,T5255,T5471,T5768,T6152,T6245,T6259,T6575,T6647,T6930,T7329
5,T232,T878,T916,T952,T1558,T1874,T2260,T2333,T2480,T2553,T2678,T2879,T2979,T3022,T3157,T4451,T4621,T4868,T4996,T5095,T5132,T5137,T5220,T5289,T5486,T5608,T5630,T6023,T6170,T6536
6,T178,T203,T213,T235,T260,T410,T678,T922,T963,T1067,T1288,T1344,T1902,T1930,T1963,T1973,T2016,T2450,T3386,T3427,T3456,T3622,T3668,T3682,T3833,T3907,T4476,T4626,T4920,T5006
7,T599,T719,T1134,T1145,T1509,T2430,T3067,T3110,T3350,T3375,T3599,T3903,T4089,T4355,T4432,T4623,T4862,T4922,T5115,T5384,T5512,T5531,T5554,T5555,T5802,T5999,T6388,T7554,T7798,T7843
8,T110,T623,T685,T1019,T1052,T1130,T1261,T1406,T1444,T1910,T2027,T2592,T2966,T3071,T3087,T3131,T3484,T4030,T4157,T4364,T4416,T4478,T4756,T5144,T5312,T5417,T5473,T5478,T6109,T6197
9,T311,T390,T518,T784,T852,T1042,T1234,T1791,T1858,T1929,T2204,T2282,T2523,T2619,T2906,T2949,T2991,T3762,T4345,T4361,T4478,T4847,T5115,T5116,T5351,T5406,T5862,T6172,T6192,T6462
