,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T930,T1362,T1921,T2259,T2607,T2852,T2988,T2993,T3035,T3096,T3654,T3845,T3911,T3932,T4026,T4058,T4402,T4411,T4543,T4666,T4981,T5423,T5547,T6280,T6841,T7194,T7248,T7569,T7753,T8289
1,T230,T615,T772,T782,T804,T879,T1013,T1121,T1197,T2128,T2220,T2235,T2499,T2561,T2574,T2577,T2713,T2910,T3042,T3299,T4406,T4880,T4981,T5049,T5050,T5582,T5988,T6658,T6718,T7027
2,T32,T133,T206,T322,T386,T420,T447,T852,T891,T1085,T1346,T1790,T2402,T2575,T2820,T2895,T2918,T4117,T4328,T4620,T4853,T5508,T5579,T5675,T5763,T6275,T6320,T7343,T7456,T7570
3,T184,T397,T683,T831,T867,T1120,T1131,T1719,T1751,T1774,T2035,T2705,T2897,T3278,T3487,T3509,T3515,T3756,T4342,T4476,T5073,T5107,T5450,T5614,T5913,T6319,T6456,T6639,T6754,T6930
4,T67,T1603,T1644,T1835,T2712,T2749,T2933,T3010,T3070,T3075,T3082,T3085,T3445,T4267,T5144,T5623,T6319,T6363,T6913,T7050,T7238,T7425,T7516,T7569,T7855,T8431,T8440,T8968,T9159,T9216
5,T373,T419,T626,T1765,T1800,T1841,T1936,T2535,T2977,T3188,T4277,T4380,T4548,T4858,T4866,T5134,T5782,T6473,T6872,T8280,T8386,T8631,T9053,T9577,T11062,T11109,T11163,T11216,T12133,T12268
6,T66,T149,T252,T271,T685,T1180,T1304,T1694,T2294,T2444,T2748,T2784,T2916,T2941,T3238,T3272,T3302,T4311,T4666,T4941,T4992,T5374,T6092,T6159,T7120,T7384,T7492,T7596,T7743,T7908
7,T360,T526,T548,T607,T615,T849,T1552,T1663,T1759,T2416,T2861,T2914,T3106,T3578,T4294,T4781,T5414,T5546,T5713,T5795,T5926,T6360,T6409,T6473,T6517,T6924,T7491,T7868,T8566,T8615
8,T53,T121,T255,T361,T421,T524,T617,T940,T1037,T1083,T1777,T2198,T2609,T2785,T3462,T4649,T4954,T5287,T5513,T5940,T6563,T6626,T6794,T7401,T7779,T7927,T8135,T8266,T8530,T8646
9,T230,T289,T383,T799,T1081,T1162,T1787,T2013,T2447,T2567,T2728,T2756,T2871,T2926,T2943,T3017,T3672,T4145,T4596,T4695,T4922,T5126,T5132,T5186,T5981,T6660,T7172,T7286,T7288,T7360
10,T469,T931,T1142,T1360,T1936,T2196,T2231,T2405,T3704,T3978,T4070,T4152,T4448,T4453,T4988,T5355,T5565,T6124,T6392,T6483,T6628,T6734,T6735,T6987,T7201,T7543,T8140,T8236,T8777,T8963
11,T42,T468,T634,T683,T695,T1108,T1252,T1443,T1915,T2080,T2208,T2986,T3104,T3127,T3802,T4081,T4836,T5354,T5779,T5782,T5851,T6085,T6692,T6893,T7248,T7565,T7761,T7806,T7920,T8003
12,T219,T238,T431,T436,T762,T1121,T1409,T1603,T1708,T1810,T1896,T2220,T2248,T2325,T3230,T4081,T4189,T4664,T4735,T4836,T5421,T5762,T6464,T6583,T7223,T7328,T7588,T7743,T8154,T8376
13,T244,T511,T570,T756,T857,T1242,T1656,T1752,T1972,T2031,T2231,T2312,T2393,T2503,T2728,T2757,T3068,T3303,T3504,T3786,T3801,T3994,T4011,T4435,T4732,T5552,T5854,T6431,T6516,T7190
14,T116,T139,T334,T906,T984,T1118,T1373,T1974,T2245,T2395,T2415,T2445,T2662,T2795,T3236,T3336,T3603,T3873,T4057,T4130,T4568,T4781,T4962,T5101,T5544,T5893,T6749,T7255,T7672,T8352
15,T410,T789,T936,T1194,T1478,T1798,T1856,T2046,T2118,T2218,T2465,T2727,T2828,T3418,T3762,T4541,T4618,T4892,T4940,T4997,T5445,T5650,T5874,T6459,T7141,T7448,T7482,T7513,T7541,T7829
16,T84,T175,T197,T327,T391,T1084,T1093,T1449,T1891,T1994,T2482,T2950,T2982,T3045,T3138,T3179,T3351,T3766,T3894,T4344,T4634,T4887,T5330,T5370,T5703,T5717,T6652,T6854,T7291,T7625
17,T170,T390,T406,T500,T759,T903,T1096,T1136,T1162,T1383,T1494,T1725,T2078,T2262,T2394,T2645,T3156,T3168,T3430,T3870,T3883,T4440,T4746,T4860,T5207,T5521,T5551,T6263,T6535,T7126
18,T115,T140,T190,T323,T917,T936,T986,T1098,T1139,T1173,T1297,T1300,T1353,T1389,T1739,T2443,T2676,T2826,T2848,T2890,T2915,T3042,T3075,T3368,T3499,T3558,T3926,T4632,T5013,T6539
19,T67,T200,T480,T493,T1076,T1405,T1407,T1532,T1701,T1758,T1818,T2015,T2176,T2327,T2525,T3299,T3729,T3822,T4051,T4886,T5174,T5195,T5696,T6406,T6447,T6620,T6809,T7550,T7812,T8624
20,T465,T858,T1614,T1886,T2145,T2425,T2501,T2575,T2682,T2915,T3408,T3474,T3563,T3610,T4067,T4322,T4769,T4905,T5336,T5424,T5718,T6078,T6144,T6207,T6867,T6887,T7881,T7892,T8229,T8525
21,T79,T396,T638,T887,T1383,T1765,T1813,T2021,T2239,T2377,T2465,T3197,T3368,T4003,T4179,T4444,T4455,T4905,T4921,T5078,T5244,T5525,T5540,T5834,T5841,T6200,T6848,T7072,T7635,T8933
22,T52,T211,T241,T724,T740,T806,T1313,T1505,T2153,T2683,T2691,T3566,T4040,T4121,T4237,T4947,T5066,T5272,T5724,T5840,T6127,T6339,T6515,T6754,T7116,T7148,T7434,T7443,T7555,T8081
23,T548,T748,T799,T855,T1238,T1291,T1928,T2072,T2558,T2660,T2764,T2777,T3301,T4784,T4932,T5363,T5416,T5564,T6188,T6189,T6407,T6617,T6979,T7188,T7395,T7492,T7616,T7669,T7940,T7980
24,T232,T271,T461,T909,T1122,T1130,T1587,T1834,T2244,T2566,T2590,T2630,T2800,T2802,T3952,T3983,T3984,T4781,T4834,T4881,T4971,T5165,T5276,T5324,T5403,T5569,T5592,T5643,T6464,T6683
25,T519,T720,T1988,T1992,T2211,T2212,T2364,T2891,T2966,T3017,T3200,T3351,T3634,T3740,T4601,T4934,T4942,T4969,T5088,T5305,T5986,T6004,T6089,T6351,T6736,T7091,T7146,T7388,T7952,T8597
26,T56,T226,T419,T581,T677,T815,T1474,T1568,T1670,T1947,T2170,T2341,T2433,T2634,T3440,T4315,T4346,T4463,T4550,T4921,T5704,T6007,T6183,T6421,T6622,T7398,T7450,T7540,T8540,T8587
27,T599,T860,T1419,T1599,T1723,T1782,T1862,T2263,T2367,T2510,T2551,T2557,T2617,T2653,T3524,T3625,T3691,T4290,T4594,T4847,T5492,T5619,T6242,T6473,T6535,T6577,T7770,T7785,T7958,T8043
28,T44,T60,T167,T628,T763,T815,T1080,T1137,T1600,T2112,T2665,T2674,T2793,T3194,T3404,T3562,T3612,T3793,T4158,T5768,T6986,T6995,T7181,T7304,T7369,T7373,T8403,T8583,T8659,T8686
29,T783,T1085,T1961,T2269,T4092,T4341,T4633,T5010,T5501,T5711,T5851,T6779,T7354,T7649,T8127,T8169,T8693,T8870,T9030,T9276,T9558,T10246,T10283,T10320,T10402,T11050,T11238,T11679,T12126,T12426
