,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T87,T215,T669,T817,T924,T983,T1302,T1553,T1627,T1802,T2276,T2322,T2533,T2958,T2996,T3457,T3558,T4228,T4520,T4659,T4919,T4925,T5174,T5611,T5917,T5951,T6168,T6462,T7264,T8070
1,T20,T169,T372,T703,T991,T1365,T1431,T1628,T1753,T1886,T1932,T2457,T2487,T2895,T3090,T3133,T3604,T5179,T5261,T5611,T5793,T6433,T6535,T6704,T8040,T8575,T8611,T9091,T9273,T9385
2,T101,T278,T425,T639,T663,T1430,T1483,T1919,T2057,T2311,T2312,T2346,T2927,T3129,T3190,T3443,T3520,T3679,T3830,T3931,T4025,T4238,T4242,T4880,T4923,T4954,T5114,T6249,T6313,T6530
3,T72,T318,T740,T857,T1517,T1793,T1975,T2393,T2947,T3116,T3177,T3193,T4247,T4261,T4348,T4445,T4509,T4514,T5059,T5616,T5808,T5894,T6042,T6096,T6237,T6558,T8066,T8329,T8773,T9386
4,T531,T755,T773,T775,T1263,T1456,T1474,T1483,T1498,T1562,T1634,T1841,T2725,T3588,T4161,T4369,T4544,T4581,T4627,T5337,T5706,T5821,T5931,T6065,T6489,T6692,T6907,T7282,T7337,T7401
5,T360,T518,T775,T983,T1108,T1216,T1305,T1421,T1432,T1499,T1903,T1937,T2598,T2885,T3053,T3241,T3261,T3872,T4160,T4262,T4618,T4734,T5223,T5297,T5553,T5754,T5931,T6014,T6160,T6763
6,T106,T293,T376,T498,T644,T780,T855,T1453,T1541,T1609,T2122,T2428,T2560,T2585,T2625,T3194,T3226,T3366,T3453,T4017,T4021,T4139,T4528,T4654,T4741,T4887,T5463,T5710,T6116,T6548
7,T286,T458,T806,T1043,T1075,T1700,T1929,T2020,T2112,T2601,T2659,T2984,T3059,T3133,T3458,T3555,T4461,T4485,T4881,T4891,T4900,T4963,T5251,T5498,T5759,T6139,T6729,T7339,T7710,T7743
8,T232,T452,T650,T994,T995,T1384,T1501,T1822,T1823,T2211,T2342,T2348,T2520,T2565,T2623,T3770,T3944,T4264,T4521,T4764,T4793,T5262,T5269,T6166,T7176,T8049,T8601,T9587,T10135,T10265
9,T67,T597,T673,T1150,T1405,T1489,T2427,T2488,T2862,T3212,T3256,T3668,T4101,T4348,T4358,T4522,T4525,T5429,T5456,T5511,T5524,T5638,T5804,T5847,T5927,T6234,T6541,T7223,T7532,T7966
10,T13,T346,T394,T398,T490,T712,T762,T847,T857,T1378,T1442,T1485,T1513,T2295,T2947,T3042,T3213,T3286,T3349,T3822,T4188,T4305,T4336,T5119,T5224,T5244,T5530,T5540,T6260,T6577
11,T859,T1258,T1319,T2270,T2426,T2481,T2626,T2659,T3166,T3234,T3415,T3433,T3727,T3875,T4230,T4264,T4721,T5406,T5420,T5657,T5707,T5773,T5977,T6062,T6577,T6616,T6859,T6879,T7058,T7102
12,T44,T46,T555,T626,T751,T1124,T1165,T1169,T1326,T1401,T1500,T1652,T1836,T1916,T2447,T2560,T3417,T3525,T3605,T4172,T4259,T4297,T4324,T4594,T4951,T5039,T5429,T5690,T5942,T6541
13,T30,T463,T751,T1028,T1112,T1229,T1313,T1798,T1943,T1995,T2399,T2730,T2891,T2998,T3111,T3235,T3286,T3557,T3617,T4065,T4253,T4270,T4479,T4511,T4681,T4771,T5391,T5772,T5946,T6195
