,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,T320,T334,T344,T676,T810,T1152,T1572,T1657,T1732,T2001,T2401,T2492,T2515,T2520,T2749,T3053,T3416,T3704,T3838,T4095,T4171,T5005,T5297,T5547,T5559,T5789,T5827,T5891,T6668,T6696
1,T310,T547,T638,T676,T785,T814,T1060,T1114,T1122,T1621,T1852,T1962,T2430,T2617,T2633,T3091,T3101,T3418,T3687,T4479,T4613,T4968,T4993,T5039,T5091,T5137,T5964,T5981,T6112,T6202
2,T92,T216,T396,T410,T599,T763,T889,T978,T1069,T1369,T1528,T1633,T1760,T2128,T2174,T2395,T2469,T2704,T2889,T2927,T2956,T3057,T3399,T3734,T4247,T4417,T4922,T5105,T5383,T5459
3,T25,T33,T55,T756,T869,T1143,T1213,T1417,T1493,T1872,T1943,T2060,T2390,T2468,T2642,T2711,T2953,T3234,T3244,T3261,T3278,T3536,T3845,T3951,T3973,T4063,T4270,T4590,T5458,T5531
4,T8,T155,T280,T1096,T1117,T1131,T1172,T1176,T1199,T1312,T1521,T2017,T2029,T2248,T2403,T2595,T2598,T2625,T2882,T3243,T3380,T3519,T3919,T3953,T4084,T5240,T5429,T5649,T5705,T6298
5,T13,T311,T451,T472,T610,T831,T909,T1045,T1245,T1552,T2234,T2412,T2430,T2589,T2978,T3569,T3637,T3642,T4242,T4447,T4745,T4875,T5140,T5144,T5159,T5179,T5391,T6095,T6184,T6340
6,T1126,T1538,T1754,T1783,T2181,T2334,T2802,T2855,T2905,T3421,T4162,T4476,T4577,T4905,T5061,T5108,T5225,T5330,T5362,T5717,T5794,T6063,T6103,T6294,T6326,T6442,T6813,T6847,T7697,T8803
7,T147,T305,T480,T1026,T1139,T1244,T1344,T1778,T1946,T2108,T2360,T2745,T2991,T3187,T3246,T3283,T3559,T3667,T4220,T4836,T5002,T5183,T5232,T5306,T5324,T5368,T5448,T5499,T5718,T5911
8,T84,T343,T410,T455,T591,T846,T1042,T1114,T1150,T1310,T1577,T1735,T1770,T1849,T2597,T3159,T3185,T3500,T3609,T3687,T3702,T3703,T3746,T4235,T4641,T4871,T4906,T4932,T5732,T5801
9,T124,T173,T279,T754,T782,T1256,T2169,T2596,T2820,T2872,T3141,T3212,T3316,T3494,T3521,T3594,T4301,T4612,T4800,T4932,T5229,T5305,T5396,T5402,T6123,T6445,T6896,T6999,T7045,T7172
10,T226,T480,T703,T823,T833,T1184,T1586,T1641,T1974,T2112,T2481,T2694,T2790,T3536,T3589,T3632,T4131,T4172,T4193,T4504,T4777,T4909,T5243,T6518,T7002,T7057,T7086,T7717,T7774,T7871
11,T277,T296,T417,T777,T888,T1027,T1219,T1307,T1564,T2062,T2092,T2427,T2673,T3142,T3411,T3447,T3468,T3847,T4122,T4194,T4230,T4240,T4356,T4743,T5059,T5087,T5194,T5249,T5260,T5324
12,T496,T700,T782,T947,T1762,T1893,T2203,T2427,T2442,T2622,T2767,T2809,T3182,T3471,T3875,T4215,T4667,T4947,T5000,T5178,T5261,T6776,T7069,T7099,T7358,T7384,T7483,T7782,T7784,T7812
13,T268,T357,T940,T1086,T1141,T1162,T1174,T1766,T2125,T2598,T2671,T3036,T3243,T3494,T3560,T3639,T3662,T3796,T4354,T4528,T4547,T5041,T5135,T5159,T5435,T6720,T6734,T6954,T7129,T7164
14,T87,T165,T437,T787,T955,T983,T1099,T1172,T1457,T1591,T1620,T1779,T1880,T2132,T2222,T2467,T2592,T2734,T2837,T2927,T2978,T3319,T3509,T4199,T4321,T4687,T4928,T5056,T5090,T5146
15,T199,T483,T488,T800,T891,T951,T1121,T1154,T1173,T1261,T1454,T1624,T1810,T1830,T1946,T2096,T2413,T2424,T2462,T3151,T3515,T3790,T3878,T3996,T4372,T4612,T4976,T5187,T5231,T5392
16,T58,T80,T311,T460,T538,T563,T683,T709,T825,T932,T1423,T1884,T2832,T2877,T2889,T3184,T3396,T3778,T3979,T4019,T4299,T4819,T4884,T4897,T6450,T6462,T6503,T6560,T6676,T6695
17,T61,T764,T839,T987,T1360,T1363,T1861,T2483,T2513,T2585,T2605,T2686,T2772,T2806,T3074,T3736,T3958,T4012,T4014,T4169,T4331,T4588,T4641,T4802,T4885,T5055,T5331,T5383,T5436,T5551
18,T413,T496,T832,T1153,T1206,T1401,T1500,T1606,T1700,T2154,T2347,T2471,T2662,T2696,T2730,T3085,T3495,T3758,T5024,T5047,T5120,T5164,T5482,T6049,T6358,T6439,T7324,T7938,T8137,T8456
19,T266,T729,T905,T1090,T1106,T1806,T2059,T2114,T2372,T2438,T2449,T2626,T2864,T3286,T3408,T3555,T3649,T4304,T4309,T4480,T4580,T4856,T4956,T5154,T5199,T5345,T5428,T5894,T6382,T7003
20,T14,T317,T589,T943,T954,T2451,T2523,T3025,T3041,T3180,T3383,T3407,T3544,T3845,T3993,T4315,T4339,T4458,T4514,T4567,T4744,T4921,T5019,T5042,T5440,T5507,T5707,T5798,T5881,T5893
21,T185,T253,T459,T481,T557,T1267,T1623,T2160,T2372,T2820,T2827,T3073,T3102,T3287,T3449,T3726,T4338,T4401,T4984,T5230,T5275,T5499,T5570,T5572,T5795,T5845,T5971,T6281,T6836,T6931
22,T132,T270,T842,T865,T1500,T1544,T1554,T1564,T1729,T1901,T2197,T2864,T2888,T2976,T2986,T3166,T3409,T3505,T3780,T3951,T4082,T4133,T4275,T4300,T4302,T4660,T5541,T5548,T5713,T6311
23,T510,T583,T767,T845,T1086,T1258,T1964,T1996,T2105,T2244,T2762,T2784,T3375,T3688,T3715,T3923,T3935,T4205,T4426,T4477,T4564,T4582,T4703,T4985,T5061,T5799,T6025,T6028,T6041,T6065
24,T221,T282,T323,T399,T593,T698,T737,T772,T1047,T1195,T1404,T1634,T1715,T2211,T2654,T2854,T3091,T3217,T3343,T3472,T3550,T4047,T4172,T4173,T4341,T4644,T4920,T5028,T5143,T5392
25,T509,T718,T865,T1494,T1693,T1953,T1963,T2028,T2648,T2898,T2969,T3347,T3462,T3775,T3912,T4163,T4820,T4825,T4966,T5048,T6459,T6716,T6767,T6788,T6804,T7149,T7368,T7544,T7933,T8054
26,T76,T112,T481,T613,T1066,T1236,T1270,T1361,T2094,T2528,T2875,T3033,T3203,T3317,T3639,T4206,T4218,T4315,T4326,T4438,T4534,T4613,T4890,T5038,T5062,T5276,T5754,T6067,T6517,T6674
27,T94,T216,T350,T369,T584,T657,T749,T795,T987,T1086,T1090,T1268,T1487,T1753,T1837,T2131,T2163,T2615,T2902,T2919,T2982,T3320,T3355,T4449,T4571,T4616,T4711,T5059,T5143,T5332
28,T37,T38,T55,T143,T400,T426,T497,T761,T770,T836,T1260,T1288,T1397,T1430,T1937,T2084,T2219,T2368,T2808,T2968,T3027,T3125,T3252,T3770,T4201,T4411,T4443,T4480,T4520,T4757
29,T244,T293,T447,T588,T688,T1024,T1153,T1190,T1231,T1285,T1572,T1712,T1834,T1959,T2004,T2060,T2897,T3186,T3458,T3571,T3632,T4004,T4668,T4950,T5230,T5492,T5666,T6764,T7024,T7051
