ACC=0.55, 95%CI=0.5393502174734928-0.5606497825265073, sd=0.07637626158259732
AUC=0.4875, 95%CI=0.43888367194574185-0.5361163280542581, sd=0.3486581420245338
SENSITIVITY=0.55, 95%CI=0.5393502174734928-0.5606497825265073, sd=0.07637626158259732
SPECIFICITY=nan, 95%CI=nan-nan, sd=nan
ACC=0.55, 95%CI=0.5393502174734928-0.5606497825265073, sd=0.07637626158259732
AUC=0.5275, 95%CI=0.4801448071916284-0.5748551928083716, sd=0.33961375119391146
SENSITIVITY=0.55, 95%CI=0.5393502174734928-0.5606497825265073, sd=0.07637626158259732
SPECIFICITY=nan, 95%CI=nan-nan, sd=nan
ACC=0.55, 95%CI=0.5393502174734928-0.5606497825265073, sd=0.07637626158259732
AUC=0.475625, 95%CI=0.42451978881333047-0.5267302111866696, sd=0.36650748201776184
SENSITIVITY=0.55, 95%CI=0.5393502174734928-0.5606497825265073, sd=0.07637626158259732
SPECIFICITY=nan, 95%CI=nan-nan, sd=nan
ACC=0.55, 95%CI=0.5393502174734928-0.5606497825265073, sd=0.07637626158259732
AUC=0.523125, 95%CI=0.4739470942731087-0.5723029057268911, sd=0.35268556729046907
SENSITIVITY=0.55, 95%CI=0.5393502174734928-0.5606497825265073, sd=0.07637626158259732
SPECIFICITY=nan, 95%CI=nan-nan, sd=nan
ACC=0.55, 95%CI=0.5393502174734928-0.5606497825265073, sd=0.07637626158259732
AUC=0.5, 95%CI=0.451823079664314-0.548176920335686, sd=0.3455068740271313
SENSITIVITY=0.55, 95%CI=0.5393502174734928-0.5606497825265073, sd=0.07637626158259732
SPECIFICITY=nan, 95%CI=nan-nan, sd=nan
ACC=0.55, 95%CI=0.5393502174734928-0.5606497825265073, sd=0.07637626158259732
AUC=0.505625, 95%CI=0.45816927385671613-0.5530807261432839, sd=0.3403347387132263
SENSITIVITY=0.55, 95%CI=0.5393502174734928-0.5606497825265073, sd=0.07637626158259732
SPECIFICITY=nan, 95%CI=nan-nan, sd=nan
