,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,hippo_lh_vol_13,V1358,V1608,V2547,V3122,V3201,V3278,V5046,V5093,V6003,V6119,V6365,V6372,V6453,V6676,V2548.1,V5994.1,V7008.1,V2474.2,V2954.2,V4620.2,V7875,V8542,V9050,V11498,V12199,V12513,V14190,V14294,V14348
1,BrainSegVolNotVent.y,V2025,V3060,V3636,V5059,V5907,V6663,V6765,V2705.1,V4392.1,V4661.1,V6085.1,V6534.1,V6594.2,V6891.2,V7232,V10991,V11160,V12194,V13311,V13495,V17153,V18085,V18100,V18411,V18800,V19037,V19130,V19206,V21573
2,Left.Hippocampus,V928,V2278,V2785,V2797,V3028,V4325,V4826,V5499,V5996,V6418,V6603,V6715,V7051,V3291.1,V4714.1,V4716.1,V6410.1,V6543.1,V6754.1,V7048.1,V990.2,V2465.2,V2636.2,V2804.2,V3773.2,V7881,V8219,V8379,V9391
3,BrainSegVol.to.eTIV,V677,V1523,V2109,V2283,V2380,V2804,V4925,V5491,V6016,V6287,V6608,V6862,V6964,V6878.1,V6944.1,V7014.1,V7023.1,V2474.2,V7245,V9380,V10512,V13491,V14646,V16169,V16243,V16932,V17280,V17652,V18109
4,rh_S_orbital_lateral_area,rhCerebralWhiteMatterVol,V1696,V2119,V3136,V5053,V5094,V6002,V6007,V6234,V6352,V6400,V6453,V6460,V6799,V1861.1,V5098.1,V6014.1,V7000.1,V6729.2,V7079,V7890,V8557,V11161,V13000,V14280,V17074,V17717,V18862,V19072
5,V1102,V2038,V2195,V2208,V2278,V2291,V2531,V3135,V3229,V3463,V3543,V6031,V6372,V6445,V6819,V4488.1,V5379.1,V2304.2,V10668,V10678,V11692,V12033,V13127,V13199,V16158,V16170,V18472,V18787,V19202,V19283
6,V2029,V3119,V4396,V5353,V5501,V5654,V5999,V6003,V6106,V6370,V6453,V1437.1,V2272.1,V3363.1,V6006.1,V6245.1,V6333.1,V6870.1,V6874.1,V2466.2,V4949.2,V7730,V7882,V13289,V14348,V18135,V18140,V18227,V18714,V20622
7,V2629,V4503,V5265,V5647,V6960,V6984,V1952.1,V4542.1,V6072.1,V6536.1,V6538.1,V4610.2,V7406,V9199,V9385,V10521,V12655,V13959,V15341,V16316,V16742,V17937,V18075,V18303,V19629,V22098,V22246,V22369,V22424,V22559
8,hippo_rh_vol_1,rh_isthmuscingulate_thickness,V1530,V2288,V4376,V4380,V5983,V6119,V6247,V6254,V1852.1,V2547.1,V5147.1,V5168.1,V5319.1,V6414.1,V6520.1,V6774.1,V3958.2,V5432.2,V7743,V7918,V9860,V10186,V10685,V11181,V11840,V12192,V13322,V14157
9,hippo_lh_fa_8,Left.Amygdala,V762,V2195,V2796,V3458,V4380,V4650,V5000,V5079,V5504,V5561,V6611,V3461.1,V4378.1,V5894.1,V6987.1,V2461.2,V2632.2,V4608.2,V6568.2,V6918.2,V7063,V7753,V9724,V10503,V13030,V17236,V18060,V18472
