,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,rh_S_oc.temp_med.Lingual_area,V1188,V2443,V2876,V4392,V5093,V5420,V6017,V6967,V7031,V7033,V1013.1,V2880.1,V3474.1,V4637.1,V6361.1,V6686.1,V3947.2,V4596.2,V5425.2,V5935.2,V7749,V10551,V12371,V12502,V12505,V14281,V17083,V17791,V19281
1,rh_G_cingul.Post.ventral_thickness,V677,V1430,V2290,V2799,V2874,V4971,V6880,V6892,V6933,V931.1,V2883.1,V3131.1,V3377.1,V4376.1,V4478.1,V5098.2,V6073.2,V6762.2,V7735,V7920,V8371,V9375,V10199,V11037,V12180,V13196,V15596,V16311,V17159
2,V1099,V1600,V2272,V3383,V4382,V4835,V4980,V5093,V5512,V6346,V6625,V6628,V7027,V5179.1,V5830.1,V5923.1,V6864.1,V6910.1,V3456.2,V3777.2,V3943.2,V5608.2,V8215,V9865,V9873,V11662,V12640,V14331,V15776,V16941
3,rh_S_collat_transv_post_area,lh_S_cingul.Marginalis_thickness,V1528,V2278,V3041,V3464,V3878,V4828,V5164,V6119,V6203,V6667,V6710,V6966,V6982,V7007,V7048,V1435.1,V2805.1,V3200.1,V3395.1,V4375.1,V4488.1,V4928.1,V5562.1,V5575.1,V6954.1,V4767.2,V5101.2,V6915.2
4,V677,V1869,V3793,V3820,V3872,V4708,V4747,V4983,V5824,V6352,V6372,V6862,V6938,V2028.1,V3060.1,V4377.1,V4398.1,V4413.1,V5218.1,V5517.1,V5583.1,V6403.1,V6540.1,V1154.2,V2954.2,V4112.2,V4925.2,V9381,V11179,V11355
5,V2445,V3127,V5478,V5777,V6057,V6522,V422.1,V1188.1,V2020.1,V2863.1,V2867.1,V3466.1,V4249.1,V5178.1,V5718.1,V6934.1,V7034.1,V4767.2,V6600.2,V11044,V11505,V12195,V12532,V13356,V15118,V15452,V15812,V16283,V18149,V19799
6,hippo_rh_md_8,V674,V2275,V2694,V4376,V4403,V4747,V5937,V6112,V6362,V6935,V6966,V2706.1,V3129.1,V3532.1,V3630.1,V5483.1,V6253.1,V7008.1,V1484.2,V2797.2,V4596.2,V4783.2,V7409,V9853,V10838,V12173,V12677,V13453,V15616
7,V1869,V2271,V2275,V3397,V4816,V4908,V6034,V6281,V2880.1,V3382.1,V4124.1,V4995.1,V5137.1,V5390.1,V5907.1,V6166.1,V6327.1,V6357.1,V6495.1,V1314.2,V2461.2,V5610.2,V6595.2,V6918.2,V6930.2,V7075,V10504,V10672,V10703,V16941
8,V674,V677,V2533,V2547,V2703,V4876,V5928,V6008,V6099,V6362,V6373,V7048,V170.1,V2865.1,V4297.1,V4396.1,V6787.1,V7040.1,V1154.2,V3453.2,V3945.2,V4780.2,V6564.2,V7738,V8864,V10672,V13474,V16495,V17151,V17262
9,V677,V2119,V4706,V4738,V5046,V5420,V5765,V6119,V6610,V6931,V6958,V1520.1,V5850.1,V6116.1,V2475.2,V4617.2,V4765.2,V7058,V7918,V8723,V9875,V10698,V13502,V14353,V16494,V17489,V17774,V18466,V18472,V20411
10,hippo_rh_fa_3,V505,V1851,V1935,V1954,V2203,V2773,V4396,V5093,V5350,V5437,V5904,V5938,V5983,V6013,V6685,V6861,V4376.1,V5651.1,V2305.2,V4281.2,V7383,V8374,V8704,V11170,V11381,V12155,V14129,V14150,V14783
11,V679,V1523,V2200,V2796,V2800,V4392,V6283,V6408,V2354.1,V2443.1,V4240.1,V4550.1,V5657.1,V6855.1,V6872.1,V1484.2,V5111.2,V6905.2,V7077,V7886,V9381,V10062,V11054,V11174,V14827,V16090,V17078,V17652,V18064,V18081
12,rh_G.S_frontomargin_area,V2289,V2612,V3129,V4391,V4406,V5176,V5265,V6335,V6618,V6619,V6625,V2189.1,V4624.1,V4804.1,V5398.1,V6625.1,V7030.1,V494.2,V3773.2,V6746.2,V9356,V9545,V11705,V12645,V12835,V13157,V14010,V15425,V15628
13,V674,V2038,V2275,V2464,V4126,V4747,V6024,V6034,V6158,V6436,V6437,V6789,V6798,V6976,V3640.1,V4403.1,V5046.1,V6562.1,V6606.1,V6697.1,V6754.1,V6876.1,V4610.2,V7730,V15789,V16238,V16982,V18138,V19286,V19429
14,V1269,V2797,V2800,V3378,V5477,V5610,V5835,V6002,V6050,V2549.1,V2882.1,V1318.2,V2145.2,V6595.2,V8725,V10211,V10704,V11495,V11696,V12533,V12643,V12644,V14171,V15093,V16004,V16260,V16995,V17141,V18906,V24362
15,hippo_rh_fa_9,lh_transversetemporal_thickness,V1934,V2531,V2547,V3802,V4575,V5179,V5471,V5508,V6190,V6318,V6781,V6808,V3368.1,V4569.1,V5817.1,V6245.1,V7015.1,V7063,V7074,V7245,V7724,V10528,V11348,V11868,V13513,V15100,V15799,V15912
16,lh_G.S_paracentral_volume,rh_G_cingul.Post.dorsal_meancurv,V2195,V2789,V2800,V3824,V5610,V6026,V6362,V6882,V7033,V2548.1,V4652.1,V5155.1,V5975.1,V6538.1,V1154.2,V4445.2,V9390,V11197,V11332,V12631,V12641,V16812,V16944,V16982,V17059,V17151,V17604,V17731
17,rh_G_temp_sup.Plan_tempo_meancurv,V2108,V2118,V2187,V3060,V3381,V4392,V5461,V5604,V6187,V6372,V6460,V6508,V6518,V7031,V2534.1,V4378.1,V5852.1,V6533.1,V7026.1,V2954.2,V6594.2,V8727,V10704,V10858,V12816,V14149,V14631,V15938,V16245
18,rh_G.S_frontomargin_area,V2209,V2295,V4369,V5747,V6438,V6671,V4376.1,V5667.1,V5718.1,V6112.1,V6520.1,V7013.1,V2803.2,V4270.2,V4289.2,V6575.2,V7075,V7881,V9862,V10677,V12037,V15266,V18140,V20416,V21263,V22598,V22820,V23809,V25040
