,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,lh_paracentral_thickness,rh_fusiform_volume,rh_S_front_inf_area,lh_G_subcallosal_thickness,V595,V2372,V2609,V2699,V3380,V3625,V4369,V4391,V5320,V5409,V5680,V5932,V5934,V6443,V6839,V675.1,V2362.1,V2366.1,V3995.1,V4826.1,V4886.1,V5910.1,V6064.1,V6511.1,V7029.1,V4941.2
1,lh_lateraloccipital_thickness,lh_Lat_Fis.post_area,lh_G.S_transv_frontopol_thickness,lh_S_postcentral_volume,rh_G.S_occipital_inf_volume,lh_G.S_paracentral_meancurv,lh_G_oc.temp_lat.fusifor_meancurv,lh_S_circular_insula_inf_meancurv,lh_S_circular_insula_sup_meancurv,rh_G_front_inf.Opercular_meancurv,TotalGrayVol,V762,V2282,V2883,V3483,V3529,V3824,V5044,V5485,V5498,V5920,V6397,V6948,V7029,V1443.1,V2866.1,V2874.1,V3445.1,V4118.1,V5065.1
2,rh_G.S_subcentral_area,rh_G_front_middle_volume,V1935,V2538,V3375,V3568,V4732,V4999,V5981,V6083,V6158,V6472,V6832,V6989,V7031,V3905.1,V4886.1,V4983.1,V6160.1,V6994.1,V2136.2,V4595.2,V4597.2,V4932.2,V5604.2,V6919.2,V7583,V10544,V11162,V11659
3,hippo_lh_vol_6,rh_fusiform_volume,lh_G_front_inf.Orbital_thickness,rh_G_front_inf.Opercular_volume,rh_G_precuneus_volume,V2125,V2633,V2974,V3868,V4042,V4049,V4307,V4416,V4877,V4983,V5137,V5598,V5768,V5824,V5985,V6511,V6874,V6893,V6954,V1178.1,V2191.1,V3052.1,V3305.1,V3789.1,V4049.1
4,hippo_lh_vol_1,lh_inferiorparietal_volume,rh_caudalmiddlefrontal_volume,lh_S_collat_transv_ant_volume,V1777,V2889,V3732,V3906,V4234,V5063,V5578,V5671,V5740,V5775,V6387,V6596,V6811,V6882,V6919,V7053,V1869.1,V2444.1,V2621.1,V4163.1,V5312.1,V5724.1,V6224.1,V3942.2,V4275.2,V7260
5,hippo_lh_fa_5,rh_superiorparietal_area,lh_S_circular_insula_sup_thickness,lh_S_parieto_occipital_thickness,rh_Pole_occipital_thickness,rh_S_temporal_inf_meancurv,non.WM.hypointensities,V4388,V4792,V4927,V5063,V5809,V5887,V5920,V6628,V6966,V1689.1,V2207.1,V2286.1,V3740.1,V4409.1,V4641.1,V5062.1,V7030.1,V6235.2,V7240,V8402,V8705,V9066,V10209
6,rh_G_postcentral_thickness,rh_S_temporal_inf_volume,V845,V2615,V3734,V4335,V5049,V5294,V6588,V6742,V6851,V1527.1,V2866.1,V3546.1,V4126.1,V4136.1,V4385.1,V4387.1,V4635.1,V4892.1,V4919.1,V5132.1,V5256.1,V5326.1,V5682.1,V5731.1,V5909.1,V6540.1,V2136.2,V4125.2
7,lh_caudalmiddlefrontal_area,rh_medialorbitofrontal_area,V3733,V3794,V4390,V4417,V5632,V5679,V6162,V6426,V6799,V6842,V6895,V424.1,V1444.1,V2692.1,V3204.1,V3794.1,V4379.1,V5406.1,V5571.1,V6825.1,V990.2,V3294.2,V5110.2,V5756.2,V5906.2,V5920.2,V7896,V9066
8,hippo_lh_vol_11,rh_lateraloccipital_thickness,rh_S_temporal_inf_area,rh_Pole_temporal_thickness,lh_S_temporal_transverse_volume,rh_G_front_sup_meancurv,V2113,V2883,V3632,V3655,V4228,V4312,V4493,V4634,V5099,V5681,V5723,V6151,V6199,V6506,V763.1,V1934.1,V3058.1,V4577.1,V4837.1,V4974.1,V5397.1,V5864.1,V5886.1,V5982.1
9,lh_G_front_inf.Opercular_volume,CC_Mid_Posterior,V1355,V1437,V1857,V2943,V4144,V5014,V5342,V5350,V6413,V6847,V6949,V6992,V7026,V2965.1,V3138.1,V3452.1,V4296.1,V4387.1,V4455.1,V4836.1,V5388.1,V6263.1,V6289.1,V6511.1,V4282.2,V4760.2,V5420.2,V5914.2
10,lh_parsopercularis_area,rh_S_central_meancurv,V3971,V4228,V4310,V4480,V4630,V4647,V5564,V6482,V1015.1,V1869.1,V3994.1,V4393.1,V5174.1,V5217.1,V5326.1,V5328.1,V5850.1,V6280.1,V6441.1,V6664.1,V6691.1,V6796.1,V6977.1,V2625.2,V2970.2,V4767.2,V5423.2,V9194
11,rh_entorhinal_thickness,lh_lateralorbitofrontal_volume,lh_S_front_sup_thickness,lh_G.S_paracentral_volume,rh_S_oc_sup.transversal_volume,Right.Caudate,V3310,V3367,V3476,V3548,V3552,V4409,V4496,V4581,V4707,V5178,V5294,V5561,V6218,V6438,V6618,V6754,V254.1,V3396.1,V3974.1,V4388.1,V4556.1,V4904.1,V5910.1,V5997.1
12,lh_S_collat_transv_ant_area,lh_S_suborbital_area,rh_S_parieto_occipital_meancurv,V1020,V3559,V3806,V3873,V4057,V5086,V5580,V6080,V6369,V6423,V6668,V6877,V1358.1,V2798.1,V3201.1,V4744.1,V5010.1,V5381.1,V5814.1,V5920.1,V6011.1,V6817.1,V3128.2,V3959.2,V5765.2,V7231,V9052
13,lh_inferiorparietal_volume,lh_G.S_transv_frontopol_volume,rh_S_cingul.Marginalis_volume,lh_G_front_inf.Triangul_meancurv,WM.hypointensities,V337,V1692,V2289,V2439,V3824,V3970,V4034,V4228,V5462,V5475,V6692,V3033.1,V3038.1,V3194.1,V3290.1,V3642.1,V4041.1,V4717.1,V5005.1,V6703.1,V6740.1,V6857.1,V6906.1,V6940.1,V4454.2
14,lh_G_orbital_area,lh_Lat_Fis.ant.Vertical_volume,V1190,V2362,V3450,V3622,V3711,V4301,V4740,V5062,V5858,V5911,V6058,V6496,V6565,V6695,V6775,V6826,V6828,V6978,V3532.1,V3709.1,V4590.1,V5434.1,V5514.1,V6015.1,V6196.1,V6288.1,V6740.1,V6841.1
15,lh_caudalmiddlefrontal_thickness,rh_S_oc.temp_med.Lingual_thickness,lh_S_oc_middle.Lunatus_volume,Left.choroid.plexus,WM.hypointensities,V927,V1013,V1443,V1516,V3060,V3797,V4988,V5566,V5971,V5981,V6533,V1181.1,V2037.1,V2283.1,V3896.1,V4817.1,V5484.1,V5486.1,V5598.1,V5646.1,V5717.1,V5942.1,V6601.1,V6722.1,V6786.1
16,V1937,V2111,V2359,V2374,V3548,V3797,V3807,V4063,V4748,V4793,V5063,V5908,V6508,V6644,V6807,V6841,V6966,V7026,V7029,V3215.1,V3976.1,V4989.1,V5161.1,V5315.1,V5507.1,V7051.1,V2954.2,V7388,V8529,V9058
17,rh_supramarginal_thickness,WM.hypointensities,V2961,V3559,V3824,V4225,V4372,V4900,V5128,V5237,V6341,V6560,V6666,V6809,V680.1,V5571.1,V6820.1,V7020.1,V990.2,V2303.2,V5774.2,V7082,V7719,V8884,V9527,V12156,V12983,V13004,V13788,V13994
18,rh_lateraloccipital_volume,rh_S_circular_insula_inf_meancurv,WM.hypointensities,V765,V1011,V1360,V2372,V3214,V3705,V4390,V5883,V6370,V6620,V6672,V6911,V2032.1,V2446.1,V3621.1,V3649.1,V3964.1,V3987.1,V4705.1,V6072.1,V6187.1,V6600.1,V6761.1,V5588.2,V7237,V7912,V8233
19,hippo_rh_fa_8,lh_G.S_paracentral_area,rh_S_oc_sup.transversal_area,lh_S_front_sup_volume,V1599,V1601,V2528,V2945,V3197,V4038,V4162,V4500,V4831,V5170,V5484,V5948,V5985,V6704,V2026.1,V3620.1,V3800.1,V4898.1,V5556.1,V5969.1,V6103.1,V6156.1,V6740.1,V3130.2,V3791.2,V4596.2
20,lh_superiorfrontal_volume,V85,V1017,V1613,V1700,V2963,V3289,V3623,V3719,V3866,V4075,V4721,V4732,V4968,V6014,V6167,V6704,V6726,V6968,V1185.1,V1869.1,V2625.1,V3374.1,V4289.1,V5147.1,V5736.1,V6153.1,V6197.1,V6645.1,V6868.1
21,hippo_rh_fa_11,lh_S_precentral.sup.part_area,lh_G_oc.temp_lat.fusifor_volume,V1441,V3209,V3304,V3385,V3893,V4072,V4165,V4565,V4729,V5378,V5681,V5898,V5936,V6109,V6117,V6425,V6426,V6840,V7030,V1356.1,V2202.1,V2437.1,V2622.1,V5230.1,V5418.1,V5719.1,V5864.1
22,lh_Lat_Fis.ant.Horizont_meancurv,V592,V1360,V1615,V3631,V3966,V5159,V5384,V5466,V5685,V6272,V6685,V1355.1,V2364.1,V4137.1,V4754.1,V4887.1,V5432.1,V5968.1,V6008.1,V6790.1,V6814.1,V6850.1,V7030.1,V5089.2,V7914,V8060,V8414,V8910,V9727
23,hippo_lh_vol_3,BrainSegVolNotVentSurf,CerebralWhiteMatterVol,V2370,V3312,V3791,V4123,V4642,V5075,V5630,V5808,V6492,V6671,V6840,V1010.1,V1766.1,V1768.1,V2634.1,V2956.1,V3041.1,V3879.1,V3961.1,V4291.1,V4488.1,V5093.1,V5683.1,V5853.1,V6834.1,V6947.1,V2143.2
24,hippo_rh_md_11,hippo_lh_fa_9,rh_bankssts_volume,lh_S_suborbital_thickness,V1013,V2541,V2875,V3229,V4469,V4557,V4565,V4828,V5052,V5475,V5812,V6051,V6747,V6920,V7018,V591.1,V2355.1,V3460.1,V3537.1,V4046.1,V4052.1,V4929.1,V4974.1,V5009.1,V6722.1,V7017.1
25,lh_postcentral_thickness,lh_G_pariet_inf.Supramar_area,eTIV.y,lh_S_circular_insula_inf_thickness,rh_G.S_paracentral_meancurv,V1858,V3824,V4481,V4543,V4625,V4904,V6077,V6515,V6767,V1013.1,V3570.1,V4493.1,V4812.1,V5229.1,V5767.1,V6186.1,V6190.1,V6528.1,V6611.1,V2639.2,V6587.2,V7895,V7902,V8563,V9728
