,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,hippo_lh_vol_7,rh_parahippocampal_volume,lh_S_temporal_inf_area,rh_S_parieto_occipital_thickness,rh_G_front_middle_volume,Right.Hippocampus,V591,V595,V1954,V2113,V2437,V2546,V2618,V3044,V3640,V3866,V3907,V4056,V4140,V4588,V4731,V4976,V5129,V5250,V5330,V5412,V5474,V5567,V5570,V5682
1,hippo_lh_vol_4,lh_precuneus_thickness,lh_superiorparietal_volume,lh_S_temporal_sup_area,rh_G_occipital_middle_area,rh_G.S_cingul.Ant_thickness,rh_S_circular_insula_inf_volume,rh_S_temporal_sup_volume,Right.Cerebellum.White.Matter,Right.VentralDC,V510,V850,V1522,V1860,V2449,V2957,V3135,V3715,V4579,V4893,V5000,V5421,V6232,V6579,V6604,V6682,V6733,V6818,V6820,V6859
2,hippo_lh_vol_13,lh_lateraloccipital_area,rh_postcentral_area,rh_rostralanteriorcingulate_area,lh_S_occipital_ant_area,rh_G_orbital_area,lh_S_temporal_inf_volume,V508,V677,V1434,V2712,V2948,V3036,V3144,V4222,V4288,V4812,V5182,V5323,V5487,V5598,V6316,V6533,V6573,V6928,V7041,V1261.1,V1770.1,V2269.1,V2719.1
3,lh_inferiorparietal_area,lh_inferiorparietal_volume,rh_G_occipital_middle_area,lh_S_intrapariet.P_trans_volume,rh_S_orbital.H_Shaped_meancurv,SupraTentorialVolNotVent,V762,V1013,V1606,V2788,V3446,V3456,V3905,V4334,V4813,V5843,V5973,V5985,V6109,V6489,V6988,V935.1,V1771.1,V2292.1,V2632.1,V3543.1,V3731.1,V3812.1,V3962.1,V4149.1
4,hippo_lh_vol_8,rh_parahippocampal_area,rh_transversetemporal_area,rh_Pole_temporal_area,lh_S_occipital_ant_volume,lh_S_temporal_inf_volume,rh_G_oc.temp_med.Lingual_volume,rh_S_oc.temp_med.Lingual_volume,Right.Thalamus.Proper,V1526,V1611,V1868,V2019,V2546,V2716,V2942,V3040,V3397,V3466,V4833,V5592,V5647,V5811,V6057,V6283,V6469,V6565,V6589,V6714,V6785
5,hippo_lh_md_4,hippo_rh_md_9,rh_frontalpole_area,lh_S_parieto_occipital_thickness,rh_S_suborbital_thickness,Left.Inf.Lat.Vent,Left.Hippocampus,V1262,V1941,V3199,V3398,V3569,V4502,V5165,V5168,V5216,V5508,V5849,V6408,V6489,V6860,V6991,V3303.1,V3306.1,V3376.1,V3702.1,V4057.1,V4310.1,V5221.1,V5438.1
6,hippo_rh_fa_2,hippo_lh_vol_12,hippo_rh_vol_13,lh_G_insular_short_area,rh_G_parietal_sup_area,rh_G_temporal_middle_area,rh_G_cingul.Post.dorsal_thickness,rh_S_orbital_med.olfact_thickness,rh_S_occipital_ant_volume,V595,V1614,V2536,V2613,V2875,V3030,V3200,V3296,V3304,V3381,V4068,V5389,V5861,V5972,V6004,V6228,V6499,V6516,V6525,V6769,V6783
7,hippo_rh_md_3,hippo_rh_vol_7,lh_insula_area,lh_fusiform_volume,lh_paracentral_volume,lh_G_precuneus_area,lh_S_subparietal_area,rh_G_orbital_thickness,rh_G_pariet_inf.Supramar_thickness,rh_S_precentral.inf.part_volume,Left.Hippocampus,V1948,V1953,V1955,V3953,V4226,V4239,V4503,V4641,V4661,V4669,V5212,V5218,V5584,V5841,V5996,V6482,V6544,V1190.1,V2863.1
8,rh_precentral_thickness,lh_inferiortemporal_volume,lh_superiorfrontal_volume,lh_G_front_inf.Orbital_area,rh_S_oc_sup.transversal_area,rh_G_Ins_lg.S_cent_ins_thickness,lh_S_subparietal_volume,rh_G_precuneus_volume,rh_S_suborbital_volume,lh_G_temp_sup.G_T_transv_meancurv,SubCortGrayVol,V1767,V1768,V2270,V2366,V3030,V3140,V3213,V3366,V3714,V3972,V4135,V4589,V4999,V5335,V5413,V5636,V5653,V5769,V5854
9,hippo_lh_md_8,lh_precuneus_volume,BrainSegVolNotVent.y,rh_S_suborbital_area,rh_G_orbital_thickness,rh_S_precentral.inf.part_thickness,rh_S_temporal_inf_thickness,Right.Amygdala,V2789,V3044,V3210,V3569,V3739,V4226,V4545,V4824,V5085,V5137,V5266,V5846,V5854,V5885,V5907,V5931,V5980,V5983,V6477,V6892,V7042,V1017.1
10,lh_caudalanteriorcingulate_area,lh_WhiteSurfArea_area.x,rh_S_precentral.sup.part_area,lh_S_temporal_transverse_volume,rh_G_orbital_volume,rh_G_parietal_sup_volume,lh_S_precentral.sup.part_meancurv,V2270,V2690,V3823,V4080,V4377,V4476,V4541,V4640,V4661,V4667,V5438,V5502,V6368,V6793,V6880,V7049,V1696.1,V2191.1,V2876.1,V3369.1,V4058.1,V4076.1,V4127.1
11,hippo_lh_md_3,lh_G_occipital_middle_area,lh_S_intrapariet.P_trans_area,rh_G_orbital_thickness,rh_S_collat_transv_ant_thickness,lh_G_precuneus_volume,lh_S_orbital.H_Shaped_volume,Left.Amygdala,CC_Mid_Anterior,SupraTentorialVolNotVent,V1017,V1853,V2533,V2605,V2697,V2699,V2863,V3206,V3985,V4985,V5996,V6389,V6447,V6570,V6577,V6604,V6647,V6794,V6898,V2948.1
12,lh_lateralorbitofrontal_area,lh_pericalcarine_area,rh_supramarginal_volume,lh_S_collat_transv_post_area,rh_S_oc_sup.transversal_meancurv,CerebralWhiteMatterVol,V2713,V2965,V3034,V3129,V3466,V3548,V3820,V3885,V3893,V3907,V4416,V4837,V4998,V6175,V3026.1,V4075.1,V4962.1,V5842.1,V5919.1,V6730.1,V6840.1,V987.2,V3953.2,V4104.2
13,rh_fusiform_area,rh_lateralorbitofrontal_thickness,lh_G_front_inf.Opercular_thickness,lh_G_orbital_volume,lh_G_temporal_inf_volume,Right.Hippocampus,V928,V2185,V2377,V3131,V3470,V5261,V5405,V6083,V6140,V6408,V6749,V6756,V6951,V7045,V2101.1,V3543.1,V3784.1,V3903.1,V4660.1,V4881.1,V5135.1,V5843.1,V6305.1,V6545.1
14,hippo_rh_vol_7,rh_bankssts_area,rh_inferiortemporal_area,rh_entorhinal_thickness,rh_middletemporal_thickness,rh_inferiorparietal_volume,rh_lateralorbitofrontal_volume,BrainSegVolNotVent.y,lh_S_central_thickness,lh_S_front_sup_thickness,lh_S_temporal_inf_volume,V85,V1528,V2033,V2366,V3223,V3461,V4303,V4378,V4475,V4626,V4875,V5007,V5074,V5263,V5667,V5923,V6088,V6287,V6453
15,hippo_rh_fa_2,lh_G.S_transv_frontopol_area,lh_G.S_transv_frontopol_thickness,rh_G_insular_short_thickness,lh_S_intrapariet.P_trans_meancurv,Left.Amygdala,rhCerebralWhiteMatterVol,SupraTentorialVol,V2365,V3044,V3477,V3570,V3905,V4163,V4500,V4759,V4834,V5525,V5569,V5572,V5748,V5773,V5823,V5839,V6280,V6316,V6646,V6749,V925.1,V1431.1
16,hippo_rh_md_4,lh_caudalanteriorcingulate_area,lh_S_occipital_ant_thickness,rh_Pole_temporal_thickness,rh_S_orbital.H_Shaped_meancurv,V680,V2947,V3213,V3728,V3812,V4231,V4309,V4321,V5089,V5347,V5400,V5461,V5487,V5809,V5896,V6330,V6331,V6507,V2524.1,V2631.1,V2705.1,V3624.1,V3700.1,V3728.1,V3962.1
17,rh_caudalanteriorcingulate_volume,rh_precuneus_volume,lh_G_occipital_sup_area,rh_G.S_paracentral_area,rh_G_oc.temp_lat.fusifor_thickness,lh_G_cingul.Post.dorsal_volume,lh_G_front_inf.Opercular_volume,lh_G_occipital_middle_meancurv,V1102,V1271,V1525,V2785,V3118,V3370,V3803,V3984,V4309,V4387,V4541,V4658,V4668,V4827,V4896,V5478,V5660,V5994,V6075,V6502,V1611.1,V1852.1
18,hippo_rh_md_1,hippo_rh_fa_8,hippo_rh_vol_7,hippo_rh_vol_9,lh_G_insular_short_area,rh_G_orbital_area,rh_S_oc_sup.transversal_area,lh_G_occipital_middle_volume,rh_S_circular_insula_inf_volume,rh_G_cuneus_meancurv,V679,V931,V934,V1698,V2534,V2701,V3901,V3987,V4117,V4305,V4407,V4456,V4480,V4500,V4543,V5213,V5430,V5576,V5750,V5908
19,hippo_rh_md_9,rh_rostralmiddlefrontal_area,lh_entorhinal_thickness,rh_superiortemporal_thickness,lh_entorhinal_volume,lh_S_front_middle_area,lh_S_oc.temp_med.Lingual_thickness,lh_S_suborbital_thickness,lh_G_front_inf.Orbital_volume,rh_G_temp_sup.Lateral_volume,rh_S_intrapariet.P_trans_meancurv,Right.Lateral.Ventricle,Right.Amygdala,CC_Mid_Posterior,CerebralWhiteMatterVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,V85,V1272,V2035,V2966,V3044,V3127,V3212,V3551,V3988,V4140,V4159,V4331,V4822
20,hippo_lh_md_9,hippo_lh_vol_10,hippo_rh_vol_9,rh_parahippocampal_area,eTIV.y,rh_G_front_inf.Opercular_thickness,lh_S_precentral.inf.part_volume,rh_G_temp_sup.Plan_polar_volume,SupraTentorialVol,V1182,V2209,V2283,V2437,V3128,V3226,V3560,V3727,V4129,V4476,V4805,V4876,V5475,V5737,V5973,V6115,V6187,V6199,V6348,V6401,V6409
21,rh_caudalanteriorcingulate_area,lh_middletemporal_volume,lh_S_occipital_ant_area,lh_S_oc.temp_lat_volume,Left.Caudate,V2035,V2457,V2462,V2613,V2875,V3032,V3109,V3285,V3644,V3699,V3820,V3872,V4052,V4055,V4401,V4833,V5160,V5341,V5343,V5379,V5474,V5722,V6605,V6992,V2459.1
22,hippo_rh_vol_5,lh_lateralorbitofrontal_thickness,rh_G_front_middle_area,lh_G_temporal_inf_thickness,lh_Lat_Fis.ant.Vertical_thickness,lh_G_front_middle_volume,lh_S_temporal_inf_volume,rh_S_occipital_ant_volume,rh_S_temporal_inf_volume,lh_G_pariet_inf.Supramar_meancurv,lh_G_postcentral_meancurv,Left.Amygdala,Right.Inf.Lat.Vent,V2274,V2541,V3302,V3823,V5235,V5378,V5429,V5584,V5811,V5840,V6167,V6449,V6478,V6687,V6913,V1610.1,V3461.1
