,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,lh_S_oc.temp_lat_area,rh_Pole_occipital_area,rh_G_front_middle_volume,lhCerebralWhiteMatterVol,V674,V1016,V2365,V2464,V2533,V3034,V3113,V3144,V3372,V3735,V3782,V3788,V4818,V5151,V5347,V5421,V5687,V5747,V5851,V5904,V6311,V6327,V6454,V6966,V1347.1,V2294.1
1,hippo_lh_vol_5,lh_middletemporal_area,lh_parsopercularis_volume,lh_superiortemporal_volume,lh_S_precentral.inf.part_area,rh_S_oc.temp_lat_area,lh_G_temp_sup.Lateral_thickness,rh_S_front_middle_thickness,lh_S_temporal_sup_volume,Left.Amygdala,rhCortexVol,V1609,V1849,V2871,V2957,V3121,V3312,V4152,V4159,V4387,V4489,V4670,V5515,V6014,V6093,V6142,V6271,V6926,V6935,V675.1
2,hippo_rh_vol_8,lh_lateralorbitofrontal_area,lh_parahippocampal_area,rh_Lat_Fis.ant.Vertical_meancurv,rh_S_front_sup_meancurv,Left.Amygdala,BrainSegVolNotVent,V2196,V2800,V2801,V2948,V3034,V3229,V4207,V4454,V4663,V4828,V4875,V4925,V4957,V4997,V5666,V5813,V5816,V5840,V6189,V6234,V6262,V6317,V6418
3,hippo_rh_vol_7,hippo_rh_vol_11,rh_lateralorbitofrontal_thickness,rh_S_suborbital_volume,Left.Pallidum,V1528,V1690,V2020,V2544,V3032,V3140,V3476,V3650,V3907,V4246,V4585,V4647,V4753,V5180,V5342,V5508,V5571,V5836,V6260,V6727,V6740,V6901,V6922,V6966,V1610.1
4,rh_lingual_volume,rh_middletemporal_volume,lh_S_temporal_sup_area,rh_G.S_cingul.Mid.Ant_thickness,rh_S_front_middle_thickness,lh_G_oc.temp_med.Lingual_volume,lh_G_pariet_inf.Angular_volume,rh_G_pariet_inf.Supramar_meancurv,Left.Amygdala,Right.vessel,CortexVol,SupraTentorialVol,V2192,V2359,V2371,V2443,V3615,V3796,V4814,V5158,V5335,V5811,V5821,V6321,V6530,V6541,V6736,V6753,V6967,V1852.1
5,hippo_lh_md_7,rh_precuneus_area,lh_inferiortemporal_volume,lh_G_Ins_lg.S_cent_ins_area,lh_G_precuneus_area,rh_S_front_middle_area,lh_S_suborbital_thickness,rh_G_front_inf.Triangul_thickness,lh_G_insular_short_meancurv,CerebralWhiteMatterVol,V340,V2365,V3976,V4036,V4957,V4978,V5128,V5253,V5303,V5480,V5552,V5583,V6004,V6427,V6765,V6904,V1355.1,V2361.1,V3484.1,V3903.1
6,hippo_lh_md_1,hippo_rh_vol_11,lh_caudalmiddlefrontal_thickness,lh_superiortemporal_volume,rh_S_suborbital_area,lh_S_circular_insula_ant_thickness,lh_G.S_cingul.Ant_volume,rh_S_collat_transv_post_volume,V339,V764,V845,V1101,V2275,V2531,V2952,V3142,V3281,V4499,V4553,V4563,V4581,V4648,V4811,V4842,V5322,V5340,V5890,V5994,V6238,V6272
7,hippo_lh_md_1,rh_rostralmiddlefrontal_thickness,lh_parstriangularis_volume,lh_superiorparietal_volume,rh_S_circular_insula_sup_area,rh_S_parieto_occipital_area,lh_S_orbital_med.olfact_thickness,rh_G_orbital_thickness,rh_S_central_thickness,lh_S_temporal_sup_volume,lh_G_oc.temp_med.Lingual_meancurv,Right.Amygdala,V762,V1945,V2112,V2531,V2965,V3390,V3543,V4454,V4487,V4741,V4748,V4895,V5407,V5823,V6557,V6925,V6980,V338.1
8,hippo_rh_md_2,hippo_rh_vol_2,hippo_rh_vol_7,lh_middletemporal_area,rh_caudalanteriorcingulate_thickness,rh_G_temp_sup.Plan_tempo_area,lh_S_occipital_ant_volume,lh_S_oc.temp_lat_volume,rh_G_temp_sup.Plan_polar_volume,lh_S_collat_transv_ant_meancurv,CC_Mid_Anterior,BrainSegVolNotVentSurf,SupraTentorialVolNotVentVox,V1182,V1436,V1514,V2618,V3371,V3644,V4064,V4491,V4986,V5552,V5908,V6076,V6579,V6753,V6774,V2362.1,V2790.1
9,hippo_lh_md_8,lh_superiorfrontal_thickness,rh_lateraloccipital_thickness,rh_posteriorcingulate_volume,lh_G_subcallosal_thickness,rh_G_front_sup_thickness,rh_G_cingul.Post.dorsal_volume,lh_G_precuneus_meancurv,V1186,V1950,V2040,V2860,V2947,V3550,V3986,V4308,V4575,V5413,V5752,V5931,V5948,V6175,V6179,V6198,V6221,V6412,V6758,V1947.1,V3202.1,V3543.1
