,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,rh_precentral_area,lh_caudalanteriorcingulate_thickness,rh_parsorbitalis_thickness,lh_parsorbitalis_volume,rh_parsopercularis_volume,lh_G.S_subcentral_area,lh_S_occipital_ant_thickness,rh_G_precentral_meancurv,rh_S_intrapariet.P_trans_meancurv,V2793,V3633,V3815,V3884,V4749,V5263,V5716,V6113,V6290,V6362,V6448,V6504,V6796,V6926,V764.1,V1780.1,V3728.1,V4581.1,V5128.1,V5306.1,V5426.1
1,Left.Thalamus.Proper,V1529,V1773,V2197,V2271,V3615,V3896,V4330,V4664,V5074,V5312,V5824,V5863,V6074,V6371,V6603,V6769,V2622.1,V3295.1,V3548.1,V3711.1,V4717.1,V5571.1,V5760.1,V5945.1,V2472.2,V2803.2,V3773.2,V4619.2,V5910.2
2,eTIV.y,lh_S_front_inf_thickness,lh_S_pericallosal_thickness,V3622,V5077,V6539,V6814,V7007,V844.1,V1852.1,V3555.1,V4156.1,V4313.1,V4544.1,V5246.1,V5293.1,V6063.1,V6536.1,V6608.1,V6942.1,V1149.2,V1154.2,V2468.2,V5254.2,V7069,V7395,V8904,V11368,V12795,V13969
3,rh_G_pariet_inf.Supramar_area,rh_G_parietal_sup_volume,lh_G_temporal_middle_meancurv,V1597,V2114,V2459,V3377,V4842,V5755,V6662,V6908,V1942.1,V3195.1,V3632.1,V4154.1,V4244.1,V4332.1,V4553.1,V6185.1,V6892.1,V3118.2,V4279.2,V4280.2,V7749,V10392,V11870,V13504,V14763,V14966,V14984
4,rh_G_pariet_inf.Supramar_thickness,rh_S_orbital_lateral_thickness,CerebralWhiteMatterVol,V1600,V1941,V1954,V2025,V2038,V2111,V2114,V2440,V3229,V3397,V4128,V4907,V6341,V6395,V6862,V6981,V7027,V7031,V2881.1,V3029.1,V5578.1,V1484.2,V7909,V10209,V11824,V11985,V12161
5,lh_G.S_cingul.Mid.Post_volume,V1099,V2535,V3055,V3215,V3305,V5068,V5511,V5659,V6139,V6266,V6346,V6860,V3548.1,V4309.1,V4319.1,V5860.1,V6237.1,V6488.1,V4602.2,V4785.2,V5934.2,V7068,V7386,V7890,V9023,V9355,V12497,V13640,V14129
6,rh_medialorbitofrontal_area,lh_Lat_Fis.post_area,rh_Pole_temporal_area,rh_S_circular_insula_inf_area,lh_S_precentral.inf.part_thickness,lh_S_suborbital_thickness,rh_Pole_occipital_volume,lh_S_intrapariet.P_trans_meancurv,CC_Central,V1180,V2111,V2443,V2461,V3568,V4921,V5481,V5852,V6588,V6710,V1849.1,V4414.1,V4725.1,V6474.1,V6692.1,V6999.1,V4112.2,V5104.2,V8390,V8399,V8556
7,rh_insula_volume,rh_G.S_cingul.Mid.Post_area,rh_S_circular_insula_ant_volume,V2125,V2207,V2445,V2800,V3119,V3136,V5079,V6076,V6242,V932.1,V3213.1,V3626.1,V5075.1,V5410.1,V6135.1,V6329.1,V6531.1,V6535.1,V6977.1,V2791.2,V5255.2,V6564.2,V9036,V11533,V12138,V12825,V15496
8,V1436,V1766,V2207,V2866,V2886,V4287,V4390,V5057,V5247,V5405,V5491,V6070,V6334,V6654,V1105.1,V1354.1,V1527.1,V3529.1,V5726.1,V5808.1,V6475.1,V6876.1,V7019.1,V2625.2,V5432.2,V7067,V7919,V8730,V9870,V10176
9,lh_S_intrapariet.P_trans_area,V1101,V1939,V1954,V2197,V3452,V3803,V4126,V4304,V5428,V5499,V6108,V6282,V6703,V7027,V1095.1,V2187.1,V3138.1,V3295.1,V4126.1,V5057.1,V5093.1,V5305.1,V6707.1,V4281.2,V4290.2,V5905.2,V7575,V8228,V8394
