,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,rh_lingual_volume,rh_G_temp_sup.Plan_tempo_thickness,V1352,V2459,V3285,V4907,V5076,V5568,V5600,V5818,V6020,V6034,V6157,V6881,V2548.1,V2800.1,V4320.1,V4832.1,V4443.2,V4779.2,V4935.2,V6235.2,V8058,V10680,V10704,V10885,V11363,V12795,V14114,V16318
1,hippo_rh_fa_8,V2459,V2461,V3139,V3301,V3655,V4539,V5052,V6784,V6959,V7011,V7027,V1189.1,V1438.1,V2443.1,V6579.1,V6728.1,V4431.2,V6586.2,V7885,V9862,V10686,V10698,V10878,V15102,V15787,V16976,V17135,V17324,V18974
2,rh_parsopercularis_volume,BrainSegVolNotVentSurf,V2284,V3702,V3803,V6010,V6368,V6605,V6676,V6844,V2955.1,V6249.1,V6730.1,V6995.1,V7050.1,V2461.2,V2463.2,V4272.2,V4620.2,V6083.2,V6891.2,V6922.2,V8392,V11334,V12820,V13347,V13514,V17820,V17924,V18080
3,V1444,V2030,V2710,V2715,V2717,V2775,V3383,V4494,V4907,V5438,V6009,V6352,V6864,V2635.1,V4392.1,V6307.1,V7030.1,V2803.2,V6922.2,V7059,V10345,V10669,V11197,V11489,V12657,V12993,V14837,V15099,V17768,V19296
4,rh_Pole_occipital_area,V1185,V2023,V2550,V3229,V3457,V4748,V4759,V5331,V6071,V6511,V1188.1,V2031.1,V1155.2,V2789.2,V4282.2,V4440.2,V7745,V8405,V8542,V9049,V10185,V10519,V12037,V12328,V13313,V14120,V16985,V17157,V17951
5,Left.Cerebellum.Cortex,V1869,V3314,V3814,V5046,V5157,V5969,V6034,V6847,V2635.1,V6018.1,V6478.1,V6981.1,V825.2,V4768.2,V9531,V10858,V11054,V12468,V15451,V15675,V16170,V17152,V18053,V19107,V19123,V19191,V19295,V19954,V21365
6,hippo_lh_vol_12,lh_Lat_Fis.ant.Vertical_volume,V2116,V3122,V3133,V3568,V4835,V6684,V2522.1,V2959.1,V4588.1,V5764.1,V6187.1,V6505.1,V6659.1,V6875.1,V1482.2,V2301.2,V3773.2,V4115.2,V4607.2,V5087.2,V5445.2,V10533,V13327,V15780,V15964,V16301,V17600,V18121
7,hippo_rh_md_10,lh_S_interm_prim.Jensen_meancurv,V2545,V2716,V3655,V5125,V6508,V6750,V6940,V2443.1,V3549.1,V5409.1,V2467.2,V2470.2,V5746.2,V6894.2,V10678,V12870,V14137,V15675,V16449,V17159,V17274,V18303,V19789,V20091,V20127,V21077,V21241,V21533
8,V673,V1779,V2206,V2795,V2871,V3047,V3206,V4301,V5466,V6942,V6948,V7007,V2193.1,V2373.1,V6414.1,V6452.1,V6587.1,V6686.1,V6690.1,V6976.1,V7029.1,V2308.2,V2461.2,V8708,V9554,V9847,V10045,V11201,V14162,V15107
9,V1766,V2200,V4219,V5994,V6612,V6949,V2537.1,V2795.1,V4126.1,V5486.1,V6338.1,V6601.1,V6693.1,V5104.2,V10828,V10840,V11017,V11354,V11506,V12188,V12310,V14835,V15492,V15999,V16260,V16629,V16899,V17158,V17393,V18119
10,hippo_rh_md_7,rh_parahippocampal_thickness,rh_G.S_subcentral_area,SupraTentorialVolNotVent,V2293,V4482,V5315,V5498,V5765,V6882,V6960,V6970,V6998,V5716.1,V6538.1,V6713.1,V6855.1,V1807.2,V4455.2,V5588.2,V6103.2,V10705,V11536,V13165,V13856,V14438,V17387,V18475,V18774,V18785
11,hippo_lh_vol_13,lh_parsorbitalis_volume,lh_G_precentral_volume,V2031,V2125,V2284,V2631,V5082,V5185,V5604,V5892,V6002,V6370,V7033,V1696.1,V2185.1,V2621.1,V3039.1,V6101.1,V6346.1,V6649.1,V7034.1,V7045.1,V7049.1,V3453.2,V7383,V9391,V10850,V11174,V12161
12,rh_G_occipital_middle_area,V765,V2275,V2788,V2876,V3815,V4835,V5920,V6070,V6283,V6703,V6932,V5998.1,V6534.1,V7045.1,V329.2,V2468.2,V2627.2,V6918.2,V7396,V9861,V14435,V17812,V19277,V19610,V20018,V20747,V21254,V21818,V22546
13,rh_superiorfrontal_area,V1864,V1947,V2200,V2544,V2888,V3027,V4372,V5561,V6149,V6183,V6288,V6541,V6598,V1608.1,V4812.1,V5434.1,V5509.1,V5759.1,V6538.1,V6426.2,V7425,V7559,V7749,V8718,V9527,V14835,V16485,V16665,V17150
14,lh_S_circular_insula_inf_area,V2201,V2800,V5422,V6034,V6349,V6932,V2369.1,V2622.1,V2975.1,V4976.1,V6582.1,V6863.1,V7015.1,V7026.1,V4112.2,V5421.2,V5926.2,V7386,V9696,V12037,V12208,V12701,V14962,V20624,V21431,V21519,V22427,V22567,V23791
15,hippo_rh_vol_11,rh_S_suborbital_volume,rhCerebralWhiteMatterVol,V1096,V2107,V2799,V4925,V5129,V6085,V6439,V6596,V6960,V2711.1,V4046.1,V4141.1,V5494.1,V6055.1,V6337.1,V6690.1,V6774.1,V3786.2,V4937.2,V7388,V8738,V10853,V14024,V15007,V16246,V17074,V17483
16,lh_posteriorcingulate_area,V679,V1947,V2194,V2278,V2793,V4333,V5340,V6120,V6140,V1358.1,V3207.1,V4307.1,V4490.1,V6512.1,V6847.1,V6976.1,V6996.1,V4290.2,V5436.2,V5437.2,V5753.2,V7734,V7890,V8380,V10211,V12648,V14015,V17139,V17480
17,hippo_lh_md_10,rh_parahippocampal_thickness,V2018,V2123,V2361,V2614,V3962,V5147,V1530.1,V2193.1,V2550.1,V2706.1,V6985.1,V2134.2,V4103.2,V4281.2,V5431.2,V5931.2,V9862,V10230,V10506,V15126,V18114,V19281,V19467,V20924,V22151,V22360,V22565,V22742
18,V762,V1785,V1851,V1937,V2278,V5944,V2801.1,V2865.1,V4382.1,V4582.1,V6182.1,V6787.1,V6930.1,V987.2,V3282.2,V7882,V8867,V10510,V10701,V12671,V13347,V15944,V18475,V18631,V19468,V19615,V20129,V20220,V20769,V22072
19,V2697,V3036,V4380,V4927,V6456,V6996,V1782.1,V2705.1,V5471.1,V5856.1,V6329.1,V1153.2,V2789.2,V4608.2,V5936.2,V7232,V8241,V10503,V10680,V12161,V14956,V15675,V15839,V16744,V16905,V18121,V18627,V19130,V19363,V21412
20,lh_parstriangularis_thickness,V1101,V2277,V2443,V2632,V3655,V5403,V5690,V6365,V6456,V6799,V6884,V6953,V1181.1,V1352.1,V5095.1,V6544.1,V1482.2,V1807.2,V8544,V15275,V16003,V16145,V18106,V18572,V18932,V19296,V19447,V19605,V21271
21,V1600,V2122,V2200,V2207,V3131,V4387,V4405,V4712,V5142,V5295,V5420,V6119,V6370,V2865.1,V4302.1,V4392.1,V4570.1,V6337.1,V6945.1,V7026.1,V4105.2,V4610.2,V4612.2,V6578.2,V7226,V7236,V9862,V13633,V15930,V16075
22,lh_pericalcarine_area,rh_Lat_Fis.post_volume,rh_S_oc.temp_med.Lingual_volume,V926,V1864,V1951,V2122,V2781,V4586,V5350,V5686,V5942,V6287,V6323,V1683.1,V2370.1,V2709.1,V2877.1,V3381.1,V5859.1,V5865.1,V5971.1,V6115.1,V6391.1,V6429.1,V6540.1,V6690.1,V6876.1,V6926.2,V7875
23,Right.Accumbens.area,V675,V679,V2038,V2102,V2109,V6701,V6958,V595.1,V1947.1,V4823.1,V5050.1,V6520.1,V6535.1,V6678.1,V6694.1,V4766.2,V5926.2,V7383,V7735,V8058,V8893,V10053,V10359,V10668,V12361,V14675,V14783,V16603,V18908
24,hippo_lh_md_9,hippo_rh_vol_10,rh_G_occipital_middle_area,V764,V934,V2464,V2633,V2866,V4663,V5554,V5716,V7019,V1520.1,V1866.1,V2189.1,V4586.1,V5919.1,V6790.1,V1813.2,V2954.2,V3464.2,V4938.2,V5762.2,V6906.2,V7223,V8046,V9204,V10687,V10722,V13342
25,V1353,V1947,V2866,V2954,V2959,V6071,V6525,V2705.1,V2877.1,V2880.1,V4374.1,V4812.1,V5046.1,V2141.2,V3945.2,V7389,V7421,V8706,V8708,V10725,V11003,V11548,V11651,V15834,V16082,V18226,V18959,V19962,V20118,V21610
26,rh_G_cingul.Post.dorsal_volume,V674,V2111,V2124,V2870,V3543,V4229,V4302,V4749,V6184,V6937,V6974,V6979,V7031,V2711.1,V4624.1,V4928.1,V5353.1,V5834.1,V6538.1,V7047.1,V2626.2,V4761.2,V7060,V9709,V14660,V15943,V15982,V16467,V16494
27,rh_G_temporal_middle_meancurv,V2696,V2717,V2866,V4551,V4842,V5688,V6592,V7019,V7041,V2443.1,V2857.1,V3037.1,V3904.1,V4321.1,V5137.1,V5765.1,V6452.1,V6979.1,V6999.1,V7018.1,V2135.2,V3118.2,V4944.2,V7712,V7885,V8700,V10057,V10669,V11549
28,rh_S_temporal_sup_thickness,rh_S_precentral.inf.part_volume,V1600,V1937,V2197,V2289,V2795,V4333,V4793,V5126,V5151,V5765,V6694,V6828,V6863,V6884,V2535.1,V2882.1,V3542.1,V3892.1,V4144.1,V6704.1,V6760.2,V7717,V10687,V10710,V11029,V11168,V11546,V12644
29,rh_G_rectus_area,V1353,V1937,V2197,V2628,V2970,V3136,V3139,V4379,V6190,V6775,V6796,V4402.1,V5395.1,V4265.2,V7075,V8708,V9052,V9072,V11332,V12178,V12633,V13022,V13315,V15839,V16993,V17325,V17604,V19293,V19785
