,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,rh_S_suborbital_volume,V1523,V2195,V2548,V3455,V3652,V5075,V5089,V5852,V5947,V5949,V6028,V6747,V7007,V7041,V1444.1,V1854.1,V2709.1,V3207.1,V4815.1,V7030.1,V4936.2,V10511,V10678,V11003,V12147,V13195,V14673,V15596,V15964
1,V3709,V5005,V5753,V5931,V6360,V6458,V6964,V7007,V2292.1,V2369.1,V3962.1,V6693.1,V5610.2,V6084.2,V7059,V7881,V10523,V11168,V11181,V13837,V13859,V18096,V19212,V20282,V20769,V21420,V21447,V22422,V22469,V22581
2,lh_G_front_inf.Triangul_volume,Left.Thalamus.Proper,V2868,V5348,V6034,V6435,V6603,V6662,V6777,V3993.1,V4063.1,V4581.1,V5225.1,V5917.1,V6025.1,V6519.1,V6713.1,V6774.1,V1648.2,V1978.2,V2472.2,V4595.2,V5275.2,V7072,V13012,V15011,V15933,V16266,V16476,V17269
3,lh_G_orbital_volume,V2278,V2716,V2974,V3457,V3568,V4375,V4380,V4414,V5293,V5314,V6052,V6106,V6227,V6573,V6614,V6769,V7033,V3219.1,V3461.1,V4488.1,V4643.1,V5773.1,V6787.1,V6995.1,V3940.2,V6897.2,V7074,V7741,V8708
4,V2025,V2291,V2613,V2618,V2716,V3213,V3973,V4318,V6460,V4140.1,V5264.1,V5664.1,V6329.1,V6694.1,V2297.2,V2465.2,V4290.2,V6594.2,V6758.2,V8230,V10696,V11218,V11491,V15008,V15753,V15959,V16978,V16988,V17303,V18140
5,lh_G_temp_sup.G_T_transv_area,V760,V2865,V2867,V3287,V5093,V5419,V5967,V6003,V6108,V6156,V1769.1,V3452.1,V3566.1,V3630.1,V5491.1,V5692.1,V6686.1,V6885.1,V6953.1,V1482.2,V2800.2,V4432.2,V4925.2,V5445.2,V7727,V10222,V10696,V11031,V13856
6,lh_S_circular_insula_ant_area,rh_G_precentral_thickness,V763,V1019,V2034,V2791,V4122,V4328,V5082,V5165,V5907,V6205,V6432,V7007,V2379.1,V2805.1,V3460.1,V6181.1,V6659.1,V1313.2,V4276.2,V4620.2,V7089,V7887,V10691,V10725,V11495,V11829,V11868,V12483
7,hippo_lh_fa_8,hippo_rh_vol_11,V849,V2784,V3801,V3816,V4759,V4839,V4889,V5773,V6366,V1268.1,V2373.1,V4823.1,V5582.1,V6579.1,V6697.1,V6874.1,V6907.1,V7044.1,V3126.2,V5432.2,V7095,V8238,V10518,V10668,V11663,V12184,V15420,V17150
8,V4372,V4389,V4396,V4759,V5596,V5750,V6106,V6205,V6443,V6535,V6685,V6979,V2627.1,V3975.1,V4503.1,V5087.1,V5089.1,V5672.1,V6976.1,V1647.2,V3780.2,V4595.2,V7249,V7890,V10529,V10542,V10550,V11354,V11511,V12155
9,V757,V1347,V1869,V2788,V3975,V5077,V6351,V2711.1,V4406.1,V5481.1,V6528.1,V6938.1,V2630.2,V2954.2,V7889,V9038,V9859,V11489,V12178,V12196,V12328,V13695,V15610,V15963,V16258,V16293,V17482,V17882,V18255,V19277
10,lhCortexVol,V1597,V1600,V1699,V1851,V1869,V3820,V4163,V4585,V5173,V5604,V2369.1,V4641.1,V2144.2,V3134.2,V4114.2,V7245,V9382,V9694,V10054,V10181,V10356,V10889,V10995,V11333,V13132,V15322,V15759,V15786,V15836
11,hippo_lh_vol_11,V2278,V2534,V3060,V3281,V4380,V4497,V5094,V6026,V6030,V6438,V6681,V6790,V6925,V2709.1,V2874.1,V3807.1,V4372.1,V5172.1,V5608.1,V2465.2,V4115.2,V5609.2,V5927.2,V6907.2,V7920,V8413,V13687,V15496,V15586
12,Left.Pallidum,V1099,V1937,V2032,V3384,V3639,V3732,V4203,V4375,V5832,V6323,V6352,V6375,V6766,V6777,V6863,V2548.1,V2550.1,V5229.1,V6018.1,V6317.1,V6766.1,V2801.2,V2802.2,V4108.2,V8371,V10381,V10512,V11193,V11330
13,rh_superiortemporal_thickness,lh_S_circular_insula_inf_volume,V1773,V2029,V2287,V2545,V3032,V5718,V5924,V6106,V6301,V6367,V6458,V6931,V3291.1,V4156.1,V4905.1,V6068.1,V2474.2,V4608.2,V6918.2,V7062,V7730,V7899,V11334,V12182,V13471,V15333,V15929,V16246
14,V2275,V3129,V3455,V3730,V4557,V4925,V5067,V5632,V6232,V6781,V6984,V2373.1,V2711.1,V2944.1,V4404.1,V4495.1,V4639.1,V5053.1,V5491.1,V5516.1,V6528.1,V2802.2,V5774.2,V10677,V12659,V15345,V17951,V18082,V18303,V18723
15,rh_S_circular_insula_ant_volume,V2618,V2866,V3477,V5998,V6140,V6262,V6371,V6854,V7007,V1444.1,V2105.1,V4640.1,V6028.1,V6876.1,V2461.2,V4285.2,V4432.2,V4617.2,V6569.2,V7881,V13015,V14160,V15432,V15839,V16303,V16499,V16970,V17150,V17157
16,lh_entorhinal_thickness,lh_G_postcentral_volume,V2209,V2288,V2796,V3614,V3655,V4209,V4410,V5350,V5645,V5928,V6119,V7036,V2125.1,V2713.1,V4671.1,V4675.1,V6155.1,V6772.1,V6995.1,V1481.2,V6089.2,V7742,V8084,V8909,V11485,V11830,V14173,V14685
17,V1180,V1519,V2453,V4150,V6268,V6288,V6494,V6777,V1105.1,V1955.1,V3551.1,V4291.1,V4581.1,V4741.1,V4814.1,V5575.1,V5918.1,V6052.1,V6078.1,V6112.1,V6955.1,V1317.2,V4431.2,V4608.2,V4772.2,V8395,V10991,V11493,V13357,V14296
18,hippo_lh_vol_5,lh_caudalmiddlefrontal_volume,V1102,V3799,V4756,V5378,V6002,V6371,V6949,V1607.1,V2282.1,V3899.1,V5089.1,V5491.1,V5888.1,V6193.1,V6535.1,V7030.1,V1483.2,V4765.2,V5931.2,V7889,V8735,V11700,V12540,V12658,V14160,V17904,V18458,V18942
19,lh_S_collat_transv_post_meancurv,V3390,V4390,V4667,V5688,V5942,V6016,V6034,V6584,V6604,V6699,V2548.1,V3120.1,V4792.1,V5083.1,V5686.1,V5848.1,V6325.1,V6337.1,V7033.1,V7050.1,V2463.2,V4441.2,V4607.2,V5275.2,V7245,V9864,V9886,V10050,V11694
20,EstimatedTotalIntraCranialVol,V2788,V3902,V3986,V4671,V4750,V5758,V6099,V2635.1,V3387.1,V4411.1,V5434.1,V5691.1,V5765.1,V6373.1,V6715.1,V6922.2,V8372,V8883,V9029,V9061,V10339,V12317,V12509,V12819,V15007,V15451,V17557,V18458,V18470
21,hippo_rh_fa_1,hippo_rh_fa_3,BrainSegVolNotVent.y,V1016,V4389,V4839,V4907,V5509,V6335,V6495,V6622,V6790,V6998,V7029,V1188.1,V3543.1,V3876.1,V6974.1,V1485.2,V2633.2,V2804.2,V4280.2,V7742,V8367,V9024,V9399,V9404,V9552,V11488,V12540
22,V674,V2195,V2197,V2797,V2800,V5677,V5840,V6020,V6583,V6907,V1766.1,V1870.1,V4504.1,V5608.1,V6225.1,V6880.1,V6885.1,V4267.2,V10345,V12373,V12515,V13127,V15008,V15449,V17923,V18077,V18149,V19116,V19442,V20772
23,hippo_rh_md_7,Left.Amygdala,V1941,V2196,V3482,V4835,V5464,V5686,V6278,V6373,V6780,V6937,V6967,V7019,V2024.1,V2357.1,V2704.1,V5380.1,V5414.1,V6908.1,V7029.1,V7073,V7752,V7889,V8707,V9061,V9897,V10703,V10707,V12160
24,V1935,V2876,V4371,V4408,V4454,V5604,V5731,V6034,V6362,V6860,V2543.1,V3955.1,V6163.1,V7022.1,V2466.2,V2794.2,V2803.2,V7880,V7896,V8242,V8721,V9368,V10210,V10503,V11168,V11358,V11989,V12204,V12660,V13827
25,rh_G_rectus_volume,V1439,V1954,V2210,V2380,V3285,V4499,V5596,V5893,V6682,V7028,V2370.1,V2864.1,V3950.1,V5985.1,V6081.1,V4944.2,V5609.2,V7741,V9732,V9734,V9849,V10675,V15496,V16665,V16799,V16802,V18082,V18089,V19526
