,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,lh_pericalcarine_area,lh_postcentral_thickness,rh_G_front_inf.Opercular_meancurv,rh_S_interm_prim.Jensen_meancurv,V2120,V2283,V2359,V2440,V3223,V3536,V3653,V4413,V4839,V4960,V5352,V5466,V5597,V5599,V6445,V6489,V6508,V6512,V6670,V6724,V6730,V6932,V4925.1,V5158.1,V5936.1,V6841.1
1,hippo_rh_fa_10,lh_G_Ins_lg.S_cent_ins_volume,lh_S_oc.temp_lat_volume,Right.Amygdala,V1780,V1933,V3208,V3565,V3805,V3966,V4119,V5305,V5661,V6180,V6784,V6915,V1685.1,V1765.1,V1935.1,V2111.1,V3448.1,V4670.1,V5381.1,V6969.1,V2297.2,V2472.2,V3131.2,V5420.2,V5927.2,V7249
2,lh_G_temporal_inf_volume,lh_G_Ins_lg.S_cent_ins_meancurv,lh_G_subcallosal_meancurv,WM.hypointensities,V170,V1614,V3552,V3874,V4330,V4458,V4572,V5218,V5241,V6071,V6434,V6447,V6473,V6496,V6892,V3629.1,V3824.1,V3970.1,V5155.1,V5915.1,V6453.1,V6538.1,V6682.1,V6756.1,V7584,V8068
3,lh_entorhinal_area,lh_G.S_transv_frontopol_thickness,lh_G.S_cingul.Mid.Ant_meancurv,V1433,V3740,V4674,V6615,V1096.1,V1100.1,V2288.1,V2447.1,V2544.1,V4062.1,V4745.1,V6079.1,V6175.1,V6191.1,V6692.1,V6851.1,V6865.1,V6922.1,V4438.2,V4948.2,V5435.2,V8702,V8882,V9240,V10683,V10996,V11174
4,rh_S_temporal_sup_area,rh_G_pariet_inf.Angular_meancurv,V593,V759,V1184,V1700,V1953,V3143,V3225,V3472,V4558,V5162,V5230,V5498,V5999,V6232,V6560,V6658,V6864,V6877,V6966,V7002,V2887.1,V4136.1,V4299.1,V5149.1,V5382.1,V5418.1,V5606.1,V5668.1
5,lh_postcentral_volume,lh_S_circular_insula_inf_area,lh_Pole_occipital_volume,Optic.Chiasm,V1521,V3559,V4465,V4635,V4827,V4973,V5161,V6024,V6026,V6136,V6460,V6502,V6621,V1272.1,V1681.1,V2521.1,V3135.1,V3372.1,V4144.1,V4392.1,V4822.1,V5238.1,V5295.1,V5439.1,V5931.1,V6511.1
6,rh_fusiform_volume,lh_G_temp_sup.Plan_polar_volume,rh_G_occipital_sup_meancurv,V2103,V2462,V2543,V3954,V3960,V4054,V4417,V4643,V5378,V5545,V5548,V5596,V5668,V6487,V1275.1,V1437.1,V4965.1,V6191.1,V6364.1,V6437.1,V6540.1,V2472.2,V2625.2,V3287.2,V5265.2,V5273.2,V5919.2
7,rh_G_temporal_middle_volume,rh_S_postcentral_meancurv,V1852,V3650,V4071,V5149,V5184,V5645,V5836,V6009,V6398,V6505,V1265.1,V2379.1,V4038.1,V4210.1,V4651.1,V4913.1,V5047.1,V6110.1,V6424.1,V6581.1,V6761.1,V6785.1,V6988.1,V1484.2,V4933.2,V9054,V9192,V11050
8,hippo_rh_fa_7,V1010,V4152,V4495,V4816,V5686,V5716,V5982,V5983,V5995,V6223,V6313,V6775,V3204.1,V3562.1,V4635.1,V5068.1,V5146.1,V5160.1,V5238.1,V5248.1,V5606.1,V6156.1,V6641.1,V3128.2,V3612.2,V6412.2,V7570,V8367,V8386
9,rh_caudalanteriorcingulate_thickness,lh_G_pariet_inf.Angular_volume,rh_S_subparietal_volume,lh_G_front_inf.Triangul_meancurv,V1355,V1599,V1683,V2941,V3824,V4209,V4497,V4550,V4629,V5635,V5662,V6105,V6496,V6644,V6861,V3058.1,V3210.1,V4589.1,V5257.1,V5294.1,V5484.1,V6374.1,V6479.1,V4441.2,V8219,V10677
10,lh_isthmuscingulate_thickness,lh_G_rectus_area,rh_G.S_paracentral_thickness,lh_S_front_inf_volume,V2692,V4054,V5464,V6068,V6412,V6902,V2632.1,V2692.1,V2971.1,V3043.1,V4157.1,V4325.1,V4822.1,V5219.1,V6758.1,V6814.1,V6955.1,V4266.2,V4931.2,V5931.2,V6738.2,V7879,V8698,V10719,V12184,V12482
11,lh_G_front_inf.Orbital_thickness,rh_S_front_middle_thickness,lh_G_temp_sup.Plan_tempo_volume,V927,V1783,V2448,V2962,V3032,V3128,V3139,V3725,V3982,V4306,V4482,V4580,V5908,V6033,V6495,V6864,V3532.1,V3886.1,V4209.1,V4212.1,V5066.1,V5337.1,V6148.1,V6442.1,V4124.2,V7056.2,V11046
12,rh_lateralorbitofrontal_area,lh_G_precuneus_area,Right.Thalamus.Proper,V1360,V2023,V2278,V2625,V3894,V4066,V4079,V4228,V4793,V5497,V5715,V6227,V6682,V1526.1,V1684.1,V1934.1,V2798.1,V4059.1,V4119.1,V4139.1,V5295.1,V5351.1,V5387.1,V5484.1,V5848.1,V6197.1,V6391.1
13,lh_S_oc.temp_lat_thickness,lh_G_oc.temp_med.Lingual_volume,Right.Thalamus.Proper,V339,V1020,V2024,V2446,V2631,V2701,V3365,V3620,V4224,V4313,V4834,V5414,V5684,V5927,V6092,V589.1,V1011.1,V1527.1,V1949.1,V2372.1,V3043.1,V4332.1,V4589.1,V5415.1,V6198.1,V3777.2,V4762.2
14,hippo_lh_vol_9,lh_S_parieto_occipital_area,V2524,V4073,V4580,V4748,V5923,V6072,V6177,V6538,V6604,V6747,V2449.1,V3475.1,V3899.1,V4142.1,V4229.1,V4382.1,V4709.1,V4928.1,V5068.1,V5396.1,V5489.1,V5742.1,V6372.1,V6515.1,V6799.1,V6897.1,V3776.2,V3938.2
15,hippo_rh_fa_11,hippo_rh_vol_5,rh_fusiform_thickness,lh_G_front_inf.Triangul_area,rh_Pole_occipital_area,rh_S_oc_sup.transversal_volume,V679,V2882,V3787,V4741,V4917,V5126,V5395,V5685,V6596,V6824,V6840,V6993,V1011.1,V3485.1,V3824.1,V3986.1,V4585.1,V5405.1,V5428.1,V6442.1,V3126.2,V3282.2,V4432.2,V7423
16,lh_isthmuscingulate_volume,rh_G_occipital_middle_area,rh_G_front_inf.Opercular_thickness,lh_G.S_paracentral_volume,V594,V4080,V4968,V5520,V5764,V5920,V6082,V6158,V6219,V6264,V6840,V1767.1,V2620.1,V2889.1,V3981.1,V4145.1,V4243.1,V5245.1,V5715.1,V6161.1,V6499.1,V6515.1,V6896.1,V7037.1,V7718,V9029
17,rh_middletemporal_thickness,WM.hypointensities,V2799,V3047,V4234,V4880,V5099,V5305,V5496,V5573,V6032,V6938,V7025,V2542.1,V3446.1,V3541.1,V3728.1,V3824.1,V4310.1,V4388.1,V4570.1,V5570.1,V5638.1,V6255.1,V6326.1,V6436.1,V6840.1,V6904.1,V6944.1,V6979.1
18,rh_superiorfrontal_area,rh_frontalpole_area,rh_Pole_temporal_volume,lh_Lat_Fis.ant.Horizont_meancurv,V5077,V5145,V5426,V6583,V6655,V6912,V6961,V1938.1,V2022.1,V2692.1,V3372.1,V3383.1,V3966.1,V4214.1,V5757.1,V5965.1,V6290.1,V4455.2,V4783.2,V4926.2,V5280.2,V5742.2,V8404,V8413,V9558,V11367
19,lh_G_orbital_thickness,rh_G.S_transv_frontopol_volume,rh_G_rectus_meancurv,V3619,V4325,V4540,V4724,V5140,V5178,V5484,V5728,V5735,V5756,V6017,V6640,V6671,V6842,V7021,V7029,V1019.1,V1349.1,V3451.1,V3879.1,V4391.1,V4826.1,V4967.1,V5245.1,V6176.1,V6369.1,V6424.1
20,rh_cuneus_area,rh_paracentral_thickness,rh_S_interm_prim.Jensen_meancurv,V1010,V1429,V1599,V2695,V2708,V2789,V3051,V4748,V4992,V5138,V5500,V5725,V5892,V6014,V6317,V6417,V6704,V2036.1,V2378.1,V3219.1,V3627.1,V4061.1,V4544.1,V5891.1,V6357.1,V6914.1,V6937.1
21,lh_G_front_sup_area,lh_S_circular_insula_ant_thickness,lh_S_oc.temp_lat_volume,V1607,V2885,V2945,V4493,V4743,V4969,V5691,V6004,V6605,V6838,V6916,V678.1,V2774.1,V3564.1,V4226.1,V5255.1,V5307.1,V5573.1,V6093.1,V6488.1,V6645.1,V6951.1,V2955.2,V5432.2,V6584.2,V6923.2,V7067
22,rh_G_occipital_middle_meancurv,WM.hypointensities,V2716,V2861,V2944,V2958,V2974,V3212,V3559,V6270,V6302,V1602.1,V1859.1,V2625.1,V3297.1,V3466.1,V3824.1,V3988.1,V4289.1,V4417.1,V4755.1,V5046.1,V5396.1,V6807.1,V2791.2,V5763.2,V6410.2,V9364,V9562,V9728
23,lh_G_oc.temp_lat.fusifor_area,lh_G.S_occipital_inf_volume,Right.Thalamus.Proper,WM.hypointensities,V1516,V1936,V4079,V4722,V5509,V5580,V6360,V6497,V6901,V6903,V1776.1,V3634.1,V3808.1,V3957.1,V4397.1,V5249.1,V5297.1,V6075.1,V6119.1,V6432.1,V6445.1,V6839.1,V6844.1,V2143.2,V5273.2,V6100.2
24,lh_rostralanteriorcingulate_area,rh_parsorbitalis_volume,lh_G.S_cingul.Ant_area,rh_S_circular_insula_ant_meancurv,V680,V4119,V4915,V5800,V5801,V6093,V6283,V6598,V6869,V6932,V2364.1,V2797.1,V2950.1,V3217.1,V3710.1,V5920.1,V5988.1,V6114.1,V6493.1,V7022.1,V2636.2,V2805.2,V3793.2,V7877,V12012,V12151
25,lh_Lat_Fis.post_thickness,lh_S_front_middle_thickness,rh_G_cingul.Post.ventral_thickness,WM.hypointensities,V1016,V2117,V2943,V4054,V4550,V4675,V5091,V5561,V6202,V6656,V6855,V6894,V6938,V1353.1,V2973.1,V3966.1,V4050.1,V4586.1,V4902.1,V5510.1,V5992.1,V6251.1,V6400.1,V5754.2,V7086,V9065
