,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,hippo_lh_md_9,lh_inferiorparietal_area,rh_supramarginal_thickness,lh_G_Ins_lg.S_cent_ins_area,rh_G_pariet_inf.Angular_volume,rh_G_precentral_meancurv,V1697,V2118,V2957,V3801,V4210,V4301,V4488,V5385,V5602,V6155,V6783,V6859,V841.1,V3311.1,V3532.1,V3704.1,V3785.1,V4411.1,V4644.1,V5004.1,V5092.1,V5564.1,V5858.1,V5862.1
1,lh_fusiform_area,rh_parahippocampal_thickness,lh_S_parieto_occipital_area,lh_S_front_sup_thickness,lh_G.S_cingul.Mid.Ant_meancurv,TotalGrayVol,V1607,V2203,V2295,V2946,V3396,V3549,V3720,V4295,V4802,V5634,V6012,V6184,V6309,V6314,V6576,V6876,V6911,V6926,V3035.1,V3901.1,V4056.1,V4334.1,V5044.1,V5400.1
2,rh_lateralorbitofrontal_thickness,lh_paracentral_volume,rh_entorhinal_volume,lh_G_cingul.Post.dorsal_area,rh_S_collat_transv_post_thickness,rh_G_temporal_middle_volume,Left.Amygdala,SupraTentorialVolNotVent,V1097,V1850,V2195,V2626,V3116,V3805,V3995,V4969,V5461,V5477,V5483,V5650,V5690,V5752,V5888,V6424,V6501,V6542,V6871,V7012,V7043,V1099.1
3,hippo_rh_vol_3,lh_S_precentral.inf.part_area,rh_G_pariet_inf.Angular_area,rh_S_precentral.sup.part_area,V1010,V1102,V2286,V3278,V3531,V3909,V4055,V4468,V4475,V4968,V5305,V5308,V5324,V5658,V5980,V6327,V6427,V6568,V6781,V6954,V253.1,V1850.1,V2288.1,V3540.1,V3560.1,V4624.1
4,lh_rostralmiddlefrontal_area,rh_parahippocampal_area,lh_G.S_frontomargin_area,lh_G_front_sup_thickness,rh_G_oc.temp_lat.fusifor_thickness,lh_S_temporal_sup_volume,rh_S_cingul.Marginalis_volume,rh_S_subparietal_volume,rhCerebralWhiteMatterVol,SupraTentorialVolNotVent,V1095,V1614,V2196,V2957,V3949,V3969,V5169,V5232,V5351,V5743,V5933,V6244,V6280,V6536,V6564,V1687.1,V1953.1,V3649.1,V4485.1,V4497.1
5,rh_parsorbitalis_thickness,rh_superiortemporal_thickness,rh_fusiform_volume,lh_S_circular_insula_sup_area,lh_G_precuneus_meancurv,V2804,V3814,V3902,V4036,V4292,V4820,V5304,V5480,V5505,V5524,V5525,V5585,V5881,V5901,V6244,V6249,V6352,V6393,V6765,V845.1,V1861.1,V1947.1,V2362.1,V3200.1,V3456.1
6,lh_cuneus_area,lh_G_temporal_middle_area,lh_S_temporal_sup_thickness,rh_S_intrapariet.P_trans_thickness,lh_G_temporal_inf_volume,rh_G_cingul.Post.dorsal_volume,rh_G_temp_sup.Plan_polar_volume,rh_S_orbital.H_Shaped_volume,V1530,V2019,V2380,V3124,V3383,V3731,V4205,V4490,V4799,V4893,V5377,V5766,V5884,V6416,V6915,V2786.1,V3029.1,V3041.1,V3482.1,V3875.1,V3981.1,V4055.1
7,hippo_rh_vol_7,hippo_rh_vol_10,lh_WhiteSurfArea_area.x,rh_lateralorbitofrontal_volume,rh_superiorparietal_volume,lh_G_precentral_area,lh_G.S_cingul.Mid.Ant_thickness,lh_S_oc.temp_med.Lingual_thickness,rh_G_front_inf.Orbital_meancurv,V510,V1954,V2368,V2544,V2859,V3042,V3703,V3991,V4335,V4982,V6001,V6064,V6756,V6811,V6859,V6928,V7040,V1359.1,V1767.1,V3224.1,V3540.1
8,hippo_rh_fa_9,hippo_lh_vol_5,lh_lingual_thickness,Right.Cerebellum.Cortex,V1266,V2626,V2974,V3389,V4152,V4302,V4550,V4753,V5842,V5905,V6175,V6195,V6567,V6568,V6580,V6628,V6795,V6978,V7020,V1357.1,V1525.1,V2616.1,V3882.1,V4790.1,V4808.1,V5693.1
9,rh_bankssts_volume,lh_S_orbital.H_Shaped_area,lh_S_suborbital_area,rh_G_front_sup_area,lh_G_front_inf.Opercular_volume,Left.Caudate,lhCortexVol,rhCortexVol,V1694,V2192,V2207,V2869,V2873,V3030,V3295,V3645,V3739,V3740,V4305,V4312,V4545,V4638,V5753,V5903,V6020,V6363,V6488,V6533,V6545,V6703
