,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,hippo_rh_md_3,lh_pericalcarine_area,lh_posteriorcingulate_area,rh_rostralmiddlefrontal_volume,rh_G_cuneus_area,lh_S_occipital_ant_volume,Left.Putamen,Right.Inf.Lat.Vent,V675,V841,V2196,V2957,V3221,V3542,V3697,V3727,V3887,V3888,V3901,V4285,V4663,V4760,V5580,V5932,V6110,V6200,V6308,V6473,V6792,V6798
1,lh_inferiortemporal_area,lh_lateralorbitofrontal_thickness,lh_transversetemporal_thickness,rh_pericalcarine_thickness,lh_isthmuscingulate_volume,lh_precentral_volume,rh_superiortemporal_volume,rh_G_cingul.Post.dorsal_area,lh_G_temp_sup.G_T_transv_thickness,lh_G_occipital_middle_volume,lh_G_temporal_inf_volume,lh_Lat_Fis.ant.Horizont_volume,lh_G_oc.temp_med.Parahip_meancurv,rh_G.S_cingul.Ant_meancurv,Left.Hippocampus,V2284,V3030,V3112,V4037,V4312,V4377,V4728,V5225,V5554,V5740,V6034,V6095,V6102,V6571,V6779
2,hippo_lh_md_9,BrainSegVolNotVent.x,lh_pericalcarine_volume,lh_G_temp_sup.Lateral_area,lh_G_temporal_inf_thickness,BrainSegVolNotVent,rhCerebralWhiteMatterVol,V1100,V2034,V2443,V2699,V2716,V3038,V3293,V3392,V3457,V3699,V3730,V3874,V3876,V4043,V4144,V4214,V4483,V4754,V5149,V5557,V5647,V6137,V6183
3,lh_S_suborbital_volume,rh_G_temp_sup.Plan_polar_volume,rh_G_oc.temp_med.Lingual_meancurv,Left.Putamen,BrainSegVol.to.eTIV,V3141,V4390,V4823,V5141,V5239,V5346,V5420,V5434,V5839,V5851,V5985,V6136,V6559,V6793,V1266.1,V1600.1,V1602.1,V2286.1,V2537.1,V3278.1,V3361.1,V3868.1,V4220.1,V4468.1,V5335.1
4,hippo_rh_md_7,rh_rostralmiddlefrontal_area,rh_frontalpole_thickness,lh_inferiortemporal_volume,lh_G_occipital_middle_area,lh_G_temporal_inf_area,lh_Lat_Fis.ant.Vertical_area,lh_S_orbital.H_Shaped_area,lh_G_temporal_inf_volume,lh_S_calcarine_volume,rh_S_circular_insula_sup_volume,rh_G_temp_sup.Plan_tempo_meancurv,rh_S_postcentral_meancurv,V1526,V1953,V2022,V2031,V2199,V2629,V3390,V3628,V3881,V3957,V4137,V4468,V4964,V5061,V5078,V5321,V5336
5,hippo_rh_md_3,lh_caudalmiddlefrontal_thickness,lh_G.S_subcentral_area,rh_S_collat_transv_post_thickness,BrainSegVolNotVent,rhCortexVol,V1095,V2862,V3810,V4211,V4454,V4970,V4983,V5550,V5797,V5859,V5904,V6234,V6522,V6649,V2369.1,V2524.1,V2800.1,V3041.1,V3646.1,V4126.1,V4475.1,V4719.1,V5296.1,V5520.1
6,lh_lateraloccipital_area,rh_posteriorcingulate_area,lh_G_temp_sup.Plan_polar_area,lh_G_temporal_middle_area,lh_G.S_cingul.Ant_volume,rh_S_pericallosal_volume,rh_S_postcentral_volume,lh_S_intrapariet.P_trans_meancurv,Optic.Chiasm,V1602,V1951,V2111,V2115,V2203,V2365,V2465,V3570,V3815,V4142,V5150,V5399,V5406,V5601,V5608,V5729,V6471,V6607,V6883,V6914,V6945
7,hippo_rh_vol_11,rh_fusiform_volume,rh_postcentral_volume,rh_G_cingul.Post.ventral_thickness,lh_G_temp_sup.Plan_polar_volume,V1440,V1528,V2110,V2888,V2954,V3211,V3285,V3888,V4128,V4312,V4388,V5398,V5401,V5567,V6313,V6447,V6506,V6517,V6782,V6870,V6916,V6949,V7006,V2705.1,V2792.1
8,hippo_rh_vol_9,hippo_rh_vol_10,lh_G_pariet_inf.Angular_area,rh_G_temp_sup.Lateral_area,lh_S_postcentral_thickness,rh_G.S_cingul.Mid.Ant_thickness,rh_G_orbital_thickness,rh_S_circular_insula_sup_volume,lh_G_precentral_meancurv,CC_Central,lhCerebralWhiteMatterVol,V1097,V1856,V2609,V3204,V3396,V3561,V3797,V4298,V5057,V5138,V5635,V5685,V5771,V6015,V6035,V6078,V6153,V6154,V6477
9,hippo_lh_md_7,hippo_rh_md_3,hippo_lh_vol_8,lh_inferiorparietal_thickness,rh_G_temp_sup.G_T_transv_area,rh_G_temp_sup.Plan_tempo_area,rh_G_front_inf.Opercular_thickness,lh_G_temp_sup.Lateral_volume,rh_Lat_Fis.ant.Horizont_volume,V1857,V2785,V3361,V3820,V3871,V3887,V4294,V4405,V4480,V4960,V5664,V5683,V5740,V5907,V5912,V5932,V5936,V6007,V6008,V6262,V6775
10,lh_superiortemporal_thickness,lh_S_cingul.Marginalis_area,rh_G_temp_sup.Plan_polar_area,rh_S_precentral.inf.part_thickness,lh_S_calcarine_volume,rh_S_temporal_sup_meancurv,lhSurfaceHoles,V1010,V1013,V2200,V3143,V3879,V4159,V4309,V4391,V4643,V4812,V4922,V5050,V5354,V5883,V6076,V6290,V6442,V6728,V1776.1,V2292.1,V2441.1,V2793.1,V2861.1
11,hippo_lh_md_7,hippo_rh_md_7,lh_inferiortemporal_area,lh_frontalpole_area,rh_lateraloccipital_area,rh_caudalanteriorcingulate_volume,rh_Lat_Fis.ant.Vertical_area,rh_S_suborbital_area,lh_S_oc_middle.Lunatus_thickness,rh_G.S_occipital_inf_thickness,lh_S_temporal_inf_volume,Left.Pallidum,Left.Amygdala,rhCortexVol,V2283,V2702,V3050,V3230,V3566,V4665,V4669,V4884,V4889,V5563,V5759,V5922,V6008,V6576,V6686,V6727
12,hippo_lh_md_10,hippo_rh_vol_12,lh_superiortemporal_area,rh_posteriorcingulate_area,lh_temporalpole_thickness,rh_precuneus_thickness,rh_insula_volume,lh_G_temp_sup.G_T_transv_area,rh_S_subparietal_area,lh_G_front_inf.Orbital_thickness,lh_G_insular_short_thickness,lh_G_temp_sup.Plan_tempo_thickness,lh_S_orbital_lateral_thickness,lh_S_pericallosal_volume,rh_S_circular_insula_ant_meancurv,SupraTentorialVol,V595,V2021,V2188,V2887,V3032,V3556,V3887,V3888,V4063,V4213,V4314,V4669,V5094,V5175
13,hippo_lh_md_3,hippo_rh_vol_7,hippo_rh_vol_8,rh_fusiform_volume,lh_S_oc.temp_med.Lingual_area,rh_S_front_middle_area,rh_S_precentral.inf.part_thickness,lh_S_oc.temp_med.Lingual_volume,lh_S_precentral.sup.part_volume,lh_G_temp_sup.Plan_polar_meancurv,rh_G_oc.temp_med.Lingual_meancurv,V935,V2122,V2199,V2882,V2947,V3050,V3480,V4331,V4745,V4754,V4805,V5386,V5403,V5428,V5675,V5695,V5760,V5907,V5994
14,hippo_lh_md_9,hippo_rh_md_3,hippo_rh_md_7,lh_S_postcentral_area,lh_S_collat_transv_ant_thickness,rh_S_oc.temp_med.Lingual_volume,rh_S_temporal_sup_volume,rh_G_temporal_middle_meancurv,V1103,V1436,V1610,V1859,V1862,V2692,V2872,V2943,V3056,V4825,V4929,V5337,V5484,V6436,V6852,V6951,V7017,V2191.1,V2526.1,V4076.1,V4459.1,V4816.1
15,rh_superiortemporal_area,lh_medialorbitofrontal_volume,rh_paracentral_volume,lh_G.S_cingul.Ant_volume,BrainSegVolNotVentSurf,V1273,V1443,V2032,V2209,V2278,V3121,V3874,V4240,V4386,V4460,V4809,V4835,V4997,V5225,V5486,V5586,V6183,V6263,V6325,V6442,V6782,V6863,V7004,V591.1,V1105.1
16,hippo_lh_md_3,rh_posteriorcingulate_volume,lh_S_collat_transv_post_area,lh_G.S_frontomargin_thickness,lh_S_occipital_ant_volume,rh_G.S_cingul.Mid.Ant_volume,V762,V1271,V1951,V2533,V2713,V2800,V5100,V5172,V5487,V5551,V5673,V5720,V6010,V6018,V6289,V6343,V6811,V1270.1,V2281.1,V2951.1,V3290.1,V4585.1,V4745.1,V4969.1
