,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,lh_middletemporal_area,V843,V3215,V3632,V3717,V4315,V4662,V4887,V6196,V6578,V3050.1,V4662.1,V5084.1,V5384.1,V5752.1,V5816.1,V6694.1,V6870.1,V7027.1,V3945.2,V4619.2,V7560,V10504,V10516,V10722,V10725,V11004,V12019,V12844,V14803
1,rh_G.S_cingul.Ant_volume,Right.Inf.Lat.Vent,V2124,V3393,V4330,V4549,V4622,V4728,V4756,V4844,V5666,V6621,V6694,V2544.1,V3991.1,V4409.1,V5379.1,V6397.1,V6541.1,V6579.1,V6956.1,V2466.2,V4121.2,V7081,V7570,V8723,V9188,V9355,V9849,V11037
2,lh_paracentral_area,lh_S_pericallosal_area,lh_G_temp_sup.Plan_polar_meancurv,V679,V1100,V1187,V2275,V2458,V3035,V4804,V5246,V5406,V5469,V6112,V6118,V6173,V6281,V7053,V2285.1,V4150.1,V4313.1,V4660.1,V5075.1,V5595.1,V6004.1,V2472.2,V2956.2,V5609.2,V5926.2,V6897.2
3,rh_isthmuscingulate_area,rh_insula_area,lh_parsorbitalis_thickness,lh_G_insular_short_area,lh_S_oc_sup.transversal_area,lh_G_rectus_thickness,V1179,V1612,V2187,V3803,V4379,V4391,V5075,V5090,V5776,V5813,V1525.1,V2369.1,V3868.1,V4126.1,V5409.1,V5510.1,V5521.1,V5798.1,V6958.1,V4785.2,V7068,V8051,V8869,V9064
4,lh_insula_thickness,rh_G_parietal_sup_volume,V1780,V1855,V3124,V3287,V3619,V3885,V4844,V5767,V5980,V6016,V6437,V6766,V6947,V1954.1,V3032.1,V4290.1,V4397.1,V4993.1,V5715.1,V6469.1,V1807.2,V2463.2,V4282.2,V4921.2,V4933.2,V8733,V9534,V11506
5,V1105,V1347,V2531,V2545,V2616,V2791,V3455,V4051,V5058,V5328,V5724,V6008,V6057,V3545.1,V3648.1,V5491.1,V6556.1,V6855.1,V1480.2,V3127.2,V3622.2,V3626.2,V7567,V8218,V12822,V13157,V14935,V15665,V16449,V16943
6,lh_S_precentral.sup.part_thickness,rh_G_occipital_sup_thickness,rh_G_temp_sup.Plan_polar_thickness,rh_Lat_Fis.ant.Vertical_thickness,lh_G.S_cingul.Ant_volume,lh_G_Ins_lg.S_cent_ins_volume,lh_G.S_cingul.Ant_meancurv,V1773,V2545,V3060,V6288,V7024,V2464.1,V2711.1,V3306.1,V3797.1,V4578.1,V5472.1,V5914.1,V6515.1,V6975.1,V4119.2,V4610.2,V7087,V7738,V9213,V9382,V9559,V11038,V11483
7,V1851,V2534,V2954,V3655,V4644,V5512,V5847,V5983,V2269.1,V2871.1,V3727.1,V4885.1,V4986.1,V5157.1,V5654.1,V6329.1,V6938.1,V2635.2,V4772.2,V5419.2,V6101.2,V12366,V14269,V14792,V14816,V15337,V15674,V16101,V16116,V17150
8,lh_G_occipital_sup_thickness,rh_G_temp_sup.Plan_polar_volume,V1688,V1941,V3718,V3895,V4296,V5839,V6110,V6318,V6515,V6779,V6789,V2027.1,V3904.1,V4294.1,V4913.1,V4925.1,V5182.1,V5420.1,V5510.1,V5780.1,V6137.1,V6358.1,V6598.1,V6701.1,V2640.2,V2791.2,V8218,V8392
9,hippo_rh_md_5,lh_G_cingul.Post.dorsal_area,lh_S_collat_transv_ant_thickness,lh_G_oc.temp_med.Parahip_volume,V1345,V1514,V1954,V2110,V2270,V2547,V3793,V4126,V4836,V5232,V6708,V1263.1,V3144.1,V4156.1,V4159.1,V5141.1,V5162.1,V6033.1,V6322.1,V3782.2,V4779.2,V6585.2,V6743.2,V6929.2,V7060,V7232
