,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,rh_G_temporal_middle_area,Left.Amygdala,V1947,V2281,V2457,V2946,V5093,V5967,V6243,V6581,V6623,V3387.1,V4313.1,V5969.1,V6089.1,V7047.1,V2306.2,V3792.2,V6588.2,V8553,V12155,V13778,V14782,V15112,V17150,V17891,V18116,V18291,V18567,V21271
1,V1869,V1934,V1947,V2201,V2860,V3127,V4374,V5152,V5331,V5568,V6268,V6566,V6775,V6966,V2709.1,V4963.1,V6338.1,V6694.1,V6811.1,V6922.2,V7219,V7742,V8038,V9368,V9862,V10519,V10542,V10708,V12841,V14015
2,rh_G_cingul.Post.dorsal_area,rh_S_central_thickness,V2201,V3031,V3475,V4911,V5060,V6610,V6962,V7030,V3544.1,V3964.1,V6112.1,V6800.1,V2627.2,V4282.2,V4607.2,V6916.2,V6922.2,V7063,V7388,V9884,V11525,V13306,V13315,V14835,V16315,V16663,V17489,V18730
3,lh_transversetemporal_volume,V2284,V3950,V6290,V6348,V6362,V6968,V7033,V1350.1,V1437.1,V2619.1,V4382.1,V6713.1,V6787.1,V6871.1,V2135.2,V7710,V8242,V10869,V11044,V11703,V15839,V16090,V16167,V16257,V17099,V18082,V18749,V18780,V19287
4,V675,V1941,V2111,V2197,V2208,V2464,V4818,V4885,V6002,V6034,V6365,V4062.1,V6499.1,V6749.1,V6870.1,V4757.2,V7244,V7886,V16260,V17160,V18079,V19236,V22264,V22587,V22837,V23141,V24618,V25853,V26746,V5252.3
5,rh_G_pariet_inf.Angular_thickness,rh_S_front_inf_thickness,V2783,V4559,V5143,V6020,V6119,V6175,V6192,V6288,V6529,V7031,V7033,V2539.1,V3053.1,V5561.1,V6688.1,V4619.2,V4778.2,V4935.2,V7219,V7560,V9061,V10682,V10708,V10869,V12159,V12191,V15007,V15473
6,V3117,V3888,V4372,V5050,V5420,V5432,V6290,V6375,V6945,V6495.1,V6540.1,V6637.1,V4107.2,V7749,V8221,V10345,V10685,V10704,V12179,V12510,V13347,V17141,V18100,V18293,V18561,V18752,V18792,V18881,V19218,V19451
7,V1767,V2289,V2531,V5075,V6100,V6712,V6769,V6839,V2606.1,V5056.1,V5434.1,V6534.1,V6889.1,V1482.2,V3949.2,V7388,V8533,V8699,V9048,V10505,V11341,V11487,V11547,V11845,V12481,V12526,V12666,V13029,V15944,V16897
8,rh_G_temp_sup.Lateral_meancurv,V1347,V2271,V2789,V5800,V5840,V6006,V6290,V6508,V7036,V4662.1,V4989.1,V5043.1,V5741.1,V6336.1,V4290.2,V4438.2,V4595.2,V4783.2,V7395,V10522,V12166,V12480,V13509,V13511,V14605,V18051,V18091,V19267,V19634
9,V1766,V1954,V2359,V2619,V2863,V3726,V4380,V5046,V5094,V6610,V6767,V6964,V7031,V7033,V4545.1,V5412.1,V6107.1,V6521.1,V6536.1,V495.2,V2138.2,V2304.2,V2804.2,V2954.2,V3455.2,V7880,V10698,V11817,V11874,V12657
10,hippo_lh_vol_2,rh_S_temporal_sup_area,V2111,V2781,V3647,V4745,V4759,V6068,V6203,V6430,V6545,V3892.1,V4302.1,V4333.1,V6885.1,V1484.2,V3786.2,V4278.2,V4434.2,V5610.2,V8558,V10696,V11544,V11841,V12631,V12692,V13177,V13349,V14940,V16906
11,hippo_lh_fa_3,V1955,V2197,V2453,V2785,V2795,V2799,V3135,V4405,V4540,V5052,V5764,V6172,V6205,V6352,V6457,V6680,V1180.1,V1346.1,V2354.1,V4141.1,V4397.1,V4495.1,V4627.1,V5420.1,V6025.1,V3788.2,V4619.2,V8379,V8409
12,lh_precuneus_area,V2794,V2795,V5248,V5428,V5610,V6119,V6710,V2288.1,V2371.1,V6654.1,V2466.2,V2472.2,V4608.2,V4757.2,V5443.2,V7388,V8373,V8405,V13165,V13168,V13694,V13695,V15670,V15836,V16967,V17151,V17319,V17974,V19038
13,rh_middletemporal_area,V2201,V2868,V4556,V5320,V5695,V5854,V6442,V6449,V7020,V1359.1,V3373.1,V4052.1,V4481.1,V4790.1,V5245.1,V5327.1,V5412.1,V5419.1,V6876.1,V7002.1,V7022.1,V4448.2,V8378,V12184,V13480,V13530,V15656,V17937,V18299
14,V2197,V2203,V2797,V3637,V3810,V4909,V6120,V7007,V7011,V1952.1,V3868.1,V4661.1,V5388.1,V6347.1,V2463.2,V4285.2,V4763.2,V7735,V8077,V10526,V10557,V11017,V13528,V13855,V15839,V16130,V17151,V17470,V18146,V18791
15,V2191,V2195,V2291,V3795,V5075,V6034,V6157,V2700.1,V4382.1,V5050.1,V6540.1,V7742,V9045,V10373,V10684,V10724,V12352,V12467,V14115,V14189,V14274,V14963,V14964,V16296,V17639,V17652,V17812,V18279,V21222,V21322
16,non.WM.hypointensities,V169,V507,V2270,V2876,V5610,V5750,V6202,V6267,V6773,V2711.1,V5655.1,V6284.1,V6285.1,V6491.1,V2466.2,V2472.2,V4936.2,V9697,V10186,V11200,V12345,V15341,V15675,V18062,V19465,V19685,V20397,V21100,V21429
17,rh_G_occipital_sup_volume,V928,V1431,V2549,V2866,V2870,V3455,V3475,V4499,V5099,V6009,V6374,V6979,V2363.1,V2870.1,V2952.1,V3296.1,V4644.1,V6079.2,V7920,V10519,V12973,V13613,V13654,V15178,V16083,V16826,V17245,V19214,V19281
18,rh_S_oc.temp_med.Lingual_area,V1941,V2208,V2459,V4375,V5082,V5679,V6016,V6056,V6586,V6696,V3278.1,V4500.1,V5310.1,V6540.1,V4290.2,V4921.2,V6080.2,V6578.2,V6744.2,V6926.2,V8057,V10511,V11540,V11846,V12644,V12657,V14017,V15675,V16304
19,V1009,V2873,V5050,V5726,V6455,V422.1,V6649.1,V6686.1,V2467.2,V9045,V9069,V9208,V13788,V14999,V15432,V15938,V16093,V16271,V17809,V17945,V18062,V18214,V18574,V18791,V19293,V21271,V22927,V24440,V24858,V25019
20,hippo_lh_vol_8,rh_G_temp_sup.Plan_tempo_area,V677,V1262,V2210,V2695,V2783,V2786,V2795,V3219,V4406,V5840,V6373,V6404,V6958,V2371.1,V5086.1,V6912.1,V1647.2,V3282.2,V5445.2,V6402.2,V7245,V10851,V11486,V12329,V13126,V13302,V14762,V15974
21,V1949,V2632,V3381,V4382,V5090,V5099,V6498,V6862,V6953,V6958,V7030,V2371.1,V2697.1,V4034.1,V4063.1,V6083.1,V6538.1,V5442.2,V5936.2,V7580,V7881,V9369,V10704,V12981,V13695,V15591,V16910,V18475,V19450,V19551
22,V1105,V1600,V2614,V2696,V5149,V5265,V5835,V6902,V6961,V7029,V2880.1,V5341.1,V1154.2,V1810.2,V4774.2,V5603.2,V6586.2,V6911.2,V7888,V8880,V11497,V12493,V12994,V13456,V14351,V15456,V16167,V16654,V18042,V18471
23,rh_S_temporal_sup_volume,V1945,V3215,V3728,V5050,V6284,V6958,V1606.1,V4396.1,V4104.2,V9865,V10669,V11700,V12334,V12533,V13290,V13641,V15178,V17078,V19202,V19274,V19293,V19434,V19763,V20598,V22930,V24075,V26031,V1643.3,V3462.3
24,rh_S_temporal_inf_thickness,V1019,V2712,V2782,V3198,V3719,V5050,V5588,V5982,V6622,V5657.1,V5778.1,V6675.1,V2307.2,V2472.2,V4284.2,V6587.2,V6894.2,V10540,V10675,V15455,V15933,V17308,V18078,V18474,V18585,V18633,V18908,V19263,V19432
25,V1941,V2201,V5054,V5072,V5907,V5931,V6371,V6703,V2288.1,V5673.1,V6072.1,V6911.1,V2800.2,V3947.2,V4770.2,V5580.2,V6569.2,V6726.2,V7917,V10042,V10539,V10683,V13029,V13160,V13823,V14162,V14338,V15915,V18952,V19910
26,V674,V1351,V1773,V2025,V2209,V5129,V5327,V6967,V2373.1,V3548.1,V4079.1,V5678.1,V6188.1,V6305.1,V6999.1,V7028.1,V5754.2,V8373,V8399,V8741,V11176,V13955,V15448,V15834,V15924,V15938,V16167,V16977,V17257,V17319
27,V2025,V2102,V2533,V3736,V4485,V5164,V6677,V6859,V6882,V3226.1,V3789.1,V4319.1,V4705.1,V5046.1,V6538.1,V6838.1,V2802.2,V4936.2,V5102.2,V6926.2,V9367,V10201,V10662,V12492,V12867,V12982,V13134,V13615,V15669,V15675
28,rh_S_collat_transv_post_meancurv,V2795,V4398,V5494,V5659,V5847,V6178,V6596,V6772,V6799,V5496.1,V5893.1,V6060.1,V2461.2,V4607.2,V4936.2,V6916.2,V7072,V7073,V10702,V11042,V11677,V14788,V16993,V17617,V17985,V18119,V18790,V19460,V21430
29,hippo_rh_fa_9,lh_G_oc.temp_lat.fusifor_area,V2697,V3803,V6563,V6680,V6694,V6852,V7007,V4043.1,V5173.1,V5301.1,V3282.2,V6404.2,V9391,V11198,V11695,V11860,V12045,V14835,V15144,V16094,V17812,V17898,V17985,V18077,V18456,V18470,V18956,V19123
