,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,hippo_rh_vol_8,lh_WhiteSurfArea_area.x,V1439,V2111,V2291,V2362,V4907,V5051,V5489,V6525,V6781,V7039,V2369.1,V4139.1,V4392.1,V6538.1,V6675.1,V6872.1,V2466.2,V2954.2,V3787.2,V4608.2,V4936.2,V8057,V10334,V11817,V13292,V15754,V16247,V17811
1,V1608,V1935,V2197,V2275,V4404,V6360,V6365,V6427,V6854,V1518.1,V3878.1,V4640.1,V5075.1,V6250.1,V1482.2,V4434.2,V5438.2,V6426.2,V7245,V7735,V10512,V12341,V12540,V16328,V17460,V18140,V18952,V19293,V19949,V20935
2,V1784,V1851,V2612,V4835,V4928,V5260,V5265,V5737,V6737,V6768,V2861.1,V5225.1,V5229.1,V6027.1,V6518.1,V6540.1,V7029.1,V1642.2,V2302.2,V2800.2,V3453.2,V7250,V7743,V11200,V12655,V13966,V14762,V15180,V17476,V18801
3,lh_precuneus_volume,rh_S_oc_sup.transversal_area,V2027,V2111,V2531,V2800,V4213,V5046,V5333,V5896,V6119,V6541,V6794,V6868,V2375.1,V3291.1,V3293.1,V3455.1,V4402.1,V6421.1,V6690.1,V6713.1,V7030.1,V2463.2,V8701,V10690,V13190,V16083,V16247,V16897
4,rh_S_temporal_transverse_area,lh_G_temp_sup.Lateral_volume,V2117,V3368,V3457,V3469,V3968,V4927,V5065,V5164,V5495,V6264,V6544,V6706,V2369.1,V2529.1,V5327.1,V1154.2,V5257.2,V6581.2,V6726.2,V6735.2,V7063,V7075,V7888,V8242,V9350,V10840,V11181,V12495
5,V2195,V3133,V3395,V3475,V4738,V4739,V4756,V5998,V6443,V6945,V2705.1,V3207.1,V3718.1,V4333.1,V4747.1,V5354.1,V6052.1,V2302.2,V2475.2,V5600.2,V6929.2,V7753,V7890,V12146,V15834,V15916,V15949,V17150,V17249,V17804
6,V1600,V2461,V2783,V2799,V3736,V4406,V5592,V5903,V5907,V6030,V6034,V6366,V6444,V6859,V1518.1,V3798.1,V4501.1,V5236.1,V5342.1,V7016.1,V3778.2,V5264.2,V6411.2,V9709,V9890,V10695,V10725,V11219,V12525,V13182
7,V1943,V2197,V2797,V2800,V2866,V3306,V4925,V5520,V6016,V6250,V6357,V6882,V6960,V1517.1,V1694.1,V4571.1,V4725.1,V5514.1,V7042.1,V3448.2,V6561.2,V8556,V9375,V11041,V11330,V11549,V12808,V14161,V14776,V15589
8,V4248,V5059,V5883,V5983,V6035,V6086,V6362,V6444,V6530,V6960,V6967,V4395.1,V4824.1,V6325.1,V6694.1,V6892.1,V7044.1,V2135.2,V4290.2,V6244.2,V6572.2,V7227,V10513,V15508,V16169,V16777,V17152,V18458,V18471,V19140
9,hippo_lh_vol_7,V1519,V2200,V2700,V2866,V3113,V5512,V6102,V6320,V6777,V6844,V7049,V2635.1,V3630.1,V5057.1,V6018.1,V6422.1,V6731.1,V2466.2,V7388,V10687,V11332,V11646,V12181,V13163,V13859,V14811,V17303,V17815,V18472
10,rh_lingual_area,V2284,V2354,V2618,V2716,V4759,V5125,V5266,V5436,V5892,V5945,V6367,V6624,V6629,V2356.1,V2375.1,V2700.1,V4064.1,V4305.1,V5508.1,V5907.1,V5917.1,V2628.2,V2632.2,V4431.2,V4446.2,V5111.2,V6084.2,V6731.2,V6761.2
11,V1530,V2967,V3050,V3641,V4893,V4993,V5411,V6157,V6713,V6715,V7036,V677.1,V2369.1,V4212.1,V4500.1,V6223.1,V6536.1,V6659.1,V6100.2,V6759.2,V6897.2,V6905.2,V7388,V8405,V10511,V11371,V13995,V14276,V18050,V18920
12,hippo_rh_fa_3,hippo_rh_vol_13,V1439,V2861,V3476,V4820,V5099,V6020,V6030,V6276,V6626,V2526.1,V3904.1,V4835.1,V5010.1,V5060.1,V5410.1,V6002.1,V6081.1,V6579.1,V6994.1,V7023.1,V1971.2,V2473.2,V8396,V10850,V11487,V11502,V12819,V13308
13,V1934,V2210,V2716,V3305,V5002,V5093,V5251,V6375,V2548.1,V3555.1,V6534.1,V2954.2,V4282.2,V7391,V9026,V9049,V9202,V9366,V10229,V10529,V14132,V15982,V16123,V17139,V17160,V17886,V19072,V19123,V19435,V19466
14,V2030,V2275,V2618,V3117,V3655,V3818,V3873,V3975,V4036,V4056,V4405,V6436,V2882.1,V3655.1,V5439.1,V5508.1,V5600.1,V5730.1,V6536.1,V4268.2,V4781.2,V8553,V10170,V10374,V11503,V13790,V16257,V17448,V18635,V20283
15,lh_S_oc_sup.transversal_area,Left.Hippocampus,SubCortGrayVol,V2197,V2876,V3901,V4394,V4758,V6078,V6352,V6493,V6596,V6773,V6968,V7033,V2713.1,V3548.1,V4045.1,V5080.1,V6876.1,V4289.2,V4608.2,V4937.2,V6897.2,V6922.2,V7562,V11181,V14345,V14769,V15638
16,hippo_rh_vol_7,V2275,V4369,V4907,V6016,V6097,V6199,V6372,V2627.1,V5137.1,V5169.1,V5720.1,V5727.1,V6534.1,V6976.1,V6998.1,V4617.2,V4758.2,V6569.2,V10526,V10675,V11509,V12645,V12655,V12691,V12812,V14332,V14488,V16169,V16475
17,lh_S_subparietal_thickness,V673,V1346,V1941,V2449,V3899,V5831,V6194,V6360,V6630,V6920,V4960.1,V4978.1,V5562.1,V6620.1,V6707.1,V6996.1,V3775.2,V4596.2,V4608.2,V4936.2,V7890,V10672,V10890,V11850,V12147,V14961,V15919,V16971,V17301
