,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,rh_inferiortemporal_volume,V1182,V1869,V2876,V3036,V4420,V4572,V4795,V5309,V5582,V6325,V6620,V1613.1,V2369.1,V2546.1,V3978.1,V4126.1,V4826.1,V5763.1,V5910.1,V6164.1,V6873.1,V1645.2,V3956.2,V6235.2,V6756.2,V7546,V7887,V8861,V11707
1,lh_transversetemporal_thickness,lh_S_front_inf_volume,V1525,V2693,V3036,V3615,V3783,V5418,V5936,V6072,V6097,V6336,V6411,V6417,V7026,V929.1,V2795.1,V3143.1,V3193.1,V4875.1,V5418.1,V5515.1,V5988.1,V6090.1,V6600.1,V6885.1,V4101.2,V6088.2,V7246,V7748
2,lh_S_intrapariet.P_trans_area,rh_G.S_frontomargin_thickness,V2119,V2524,V3037,V3797,V4624,V4897,V5005,V5326,V5826,V6333,V6879,V2359.1,V3207.1,V3549.1,V3559.1,V3700.1,V3980.1,V4150.1,V4291.1,V5071.1,V5593.1,V5911.1,V6013.1,V6242.1,V6263.1,V6658.1,V6919.1,V7714
3,rh_pericalcarine_volume,rh_S_interm_prim.Jensen_area,WM.hypointensities,V1516,V3482,V3723,V4818,V5085,V5095,V5405,V6481,V6511,V6616,V6880,V6916,V1265.1,V2630.1,V2781.1,V2883.1,V3038.1,V3279.1,V4044.1,V4733.1,V4966.1,V5000.1,V5053.1,V6246.1,V6643.1,V495.2,V2299.2
4,lh_superiortemporal_volume,lh_S_precentral.inf.part_area,V841,V3137,V3387,V3956,V4459,V5077,V5355,V5398,V5606,V5724,V6269,V6281,V6428,V6761,V6868,V1273.1,V2526.1,V2713.1,V3537.1,V3541.1,V4331.1,V4708.1,V4711.1,V5147.1,V5631.1,V5863.1,V6402.1,V3126.2
5,rh_G_pariet_inf.Angular_area,lh_G_pariet_inf.Supramar_volume,lh_G_precuneus_volume,V2448,V2545,V3537,V3616,V4400,V4495,V4737,V5691,V5862,V5943,V5950,V6051,V6088,V6625,V6677,V6711,V6848,V6932,V1523.1,V4303.1,V4673.1,V5334.1,V6120.1,V6263.1,V6487.1,V6543.1,V6867.1
6,lh_superiorfrontal_volume,rh_S_front_sup_thickness,Left.Inf.Lat.Vent,V1347,V1852,V3051,V3197,V3212,V3786,V3794,V4054,V4391,V4964,V5435,V5468,V6076,V6722,V6810,V7035,V2625.1,V2627.1,V3029.1,V3051.1,V4331.1,V4455.1,V5079.1,V5325.1,V5635.1,V5845.1,V6420.1
7,lh_S_orbital_lateral_volume,V509,V1016,V3625,V3824,V5504,V5599,V5849,V6203,V6345,V6558,V6589,V6619,V1355.1,V2026.1,V2275.1,V3728.1,V3820.1,V4295.1,V4831.1,V4876.1,V5386.1,V5678.1,V6012.1,V6699.1,V6974.1,V7043.1,V1317.2,V2144.2,V6255.2
8,rh_paracentral_area,rh_cuneus_volume,rh_Pole_temporal_volume,V1348,V1431,V1613,V1868,V2376,V3389,V3824,V4054,V4715,V5551,V5567,V6104,V6287,V6426,V6628,V6880,V7046,V7050,V2101.1,V3048.1,V3570.1,V3867.1,V3988.1,V4034.1,V4119.1,V4650.1,V5099.1
9,lh_inferiorparietal_thickness,rh_Lat_Fis.ant.Horizont_thickness,V1190,V1771,V2289,V3207,V3472,V3791,V3902,V4052,V4496,V4554,V5057,V5179,V5308,V5903,V6162,V6601,V6985,V7026,V2784.1,V2971.1,V4651.1,V4844.1,V4913.1,V5888.1,V6493.1,V6604.1,V6644.1,V6666.1
