,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,hippo_lh_fa_3,hippo_rh_vol_8,hippo_rh_vol_12,lh_temporalpole_area,rh_pericalcarine_area,lh_rostralmiddlefrontal_volume,rh_G_subcallosal_area,rh_G_front_inf.Opercular_volume,BrainSegVolNotVent,lhCerebralWhiteMatterVol,V2365,V2974,V3115,V4455,V4498,V4759,V4842,V5428,V5484,V5817,V6699,V930.1,V2718.1,V3217.1,V3533.1,V3952.1,V5072.1,V5484.1,V5750.1,V5916.1
1,hippo_rh_md_8,hippo_lh_vol_3,rh_isthmuscingulate_area,rh_insula_area,lh_entorhinal_volume,lh_G_cuneus_area,lh_S_suborbital_area,rh_G_temp_sup.Plan_tempo_area,rh_S_orbital.H_Shaped_area,rh_S_temporal_sup_area,lh_G_temp_sup.Plan_polar_thickness,rh_S_collat_transv_ant_thickness,lh_G_front_inf.Orbital_volume,lh_G_temporal_middle_volume,rh_G_temp_sup.G_T_transv_volume,rh_S_collat_transv_post_volume,rh_S_front_sup_volume,lh_G_orbital_meancurv,rh_G_insular_short_meancurv,Right.Inf.Lat.Vent,V1093,V2965,V4150,V4468,V4658,V4912,V4921,V5513,V5564,V5819
2,hippo_lh_md_8,hippo_rh_vol_5,hippo_rh_vol_10,rh_superiorfrontal_thickness,rh_precentral_volume,lh_S_occipital_ant_area,rh_S_orbital_lateral_thickness,lh_G_temp_sup.Plan_polar_volume,lh_G_temporal_middle_volume,rh_G_temporal_middle_volume,rh_G.S_cingul.Mid.Ant_meancurv,MaskVol,V2803,V3056,V3458,V3877,V4992,V5004,V5233,V5669,V5812,V6027,V6075,V6080,V6151,V6200,V6316,V6353,V6354,V6430
3,hippo_rh_vol_2,hippo_rh_vol_13,rh_caudalmiddlefrontal_area,rh_parsopercularis_thickness,rh_transversetemporal_thickness,lh_parstriangularis_volume,lh_G_subcallosal_thickness,lh_S_oc_middle.Lunatus_thickness,rh_S_front_middle_thickness,rh_G.S_cingul.Mid.Ant_volume,lh_S_front_middle_meancurv,V254,V1608,V2534,V2618,V3561,V3633,V3723,V3885,V4745,V4827,V5043,V5163,V5725,V5826,V6790,V6895,V7037,V1526.1,V2193.1
4,hippo_rh_md_4,hippo_rh_fa_7,hippo_rh_fa_9,hippo_lh_vol_13,rh_rostralmiddlefrontal_area,lh_middletemporal_volume,rh_superiortemporal_volume,lh_S_temporal_sup_area,lh_G_precuneus_thickness,lh_S_circular_insula_ant_thickness,lh_S_front_sup_thickness,V2027,V2192,V2778,V2794,V3201,V3475,V4731,V4812,V5127,V5305,V5931,V5985,V6102,V6186,V6325,V6736,V6926,V7005,V1861.1
5,hippo_rh_vol_2,lh_superiortemporal_area,lh_parsorbitalis_volume,lh_S_occipital_ant_area,rh_G_temp_sup.Plan_tempo_thickness,lh_S_oc.temp_med.Lingual_volume,rh_S_intrapariet.P_trans_volume,rh_S_intrapariet.P_trans_meancurv,V1009,V1528,V2121,V2291,V4226,V4417,V4665,V4806,V5884,V6072,V6798,V6916,V6920,V7007,V7039,V4054.1,V4291.1,V4483.1,V4842.1,V5085.1,V5249.1,V5410.1
6,rh_S_front_middle_area,lh_G_oc.temp_med.Parahip_thickness,lh_G_pariet_inf.Supramar_thickness,lh_G_temp_sup.Plan_polar_volume,lh_S_occipital_ant_volume,lh_G_precuneus_meancurv,V677,V1100,V1445,V1937,V2028,V3197,V3463,V4394,V4800,V5088,V5226,V5310,V5638,V6242,V6411,V6533,V6553,V6608,V6708,V6753,V7048,V2115.1,V3053.1,V3644.1
7,rh_G_temporal_middle_area,lh_G_Ins_lg.S_cent_ins_volume,rh_S_circular_insula_sup_volume,CC_Mid_Anterior,V169,V3793,V3977,V4152,V4743,V4809,V5247,V5638,V6422,V6457,V6473,V6623,V6672,V6968,V2788.1,V3543.1,V3781.1,V3802.1,V3886.1,V4205.1,V4394.1,V4400.1,V4537.1,V4538.1,V4654.1,V4741.1
8,hippo_lh_vol_7,lh_lingual_thickness,rh_postcentral_volume,lh_S_front_inf_area,rh_S_temporal_sup_area,Left.VentralDC,MaskVol.to.eTIV,V929,V1356,V2605,V2701,V2866,V3109,V3460,V3739,V3796,V4150,V4666,V4732,V5225,V5815,V5913,V6011,V6012,V6748,V6761,V1096.1,V2120.1,V2879.1,V3560.1
9,hippo_lh_md_9,rh_lateralorbitofrontal_area,rh_MeanThickness_thickness.x,lh_G_temporal_inf_area,lh_G_temporal_inf_volume,lh_S_orbital.H_Shaped_volume,lh_S_parieto_occipital_meancurv,Right.Amygdala,CerebralWhiteMatterVol,V1954,V2963,V3202,V3308,V4126,V4322,V5242,V5507,V5550,V5636,V5681,V6076,V6529,V6593,V6616,V6848,V763.1,V1854.1,V2862.1,V4129.1,V4243.1
10,rh_posteriorcingulate_area,lh_superiorparietal_volume,rh_middletemporal_volume,lh_G_front_inf.Orbital_area,lh_S_orbital_med.olfact_area,lh_G_precentral_thickness,lh_S_precentral.inf.part_thickness,lh_Lat_Fis.ant.Vertical_volume,lh_S_calcarine_meancurv,lhSurfaceHoles,V1178,V1614,V1954,V2018,V2188,V3034,V3731,V3880,V3885,V4037,V4497,V5222,V5338,V5986,V6365,V6663,V425.1,V1435.1,V1699.1,V2704.1
11,lh_isthmuscingulate_area,rh_precuneus_area,rh_inferiortemporal_volume,rh_lingual_volume,lh_G_temporal_inf_area,rh_G_cuneus_area,lh_G_temporal_inf_volume,lh_S_front_middle_meancurv,Right.Thalamus.Proper,V170,V1942,V2032,V2444,V2803,V3210,V3365,V3382,V4633,V4720,V4991,V5216,V5217,V5244,V6137,V6168,V6592,V6785,V6894,V2972.1,V3285.1
12,lh_temporalpole_area,lh_caudalmiddlefrontal_volume,rh_G.S_transv_frontopol_area,lh_G_insular_short_volume,Left.Thalamus.Proper,V1346,V1948,V3044,V3737,V3783,V3876,V4064,V4300,V5222,V5294,V5305,V5428,V5835,V6346,V6756,V2716.1,V3458.1,V3886.1,V4745.1,V4823.1,V4988.1,V5128.1,V5402.1,V6079.1,V6289.1
13,hippo_lh_vol_1,hippo_lh_vol_13,rh_parahippocampal_area,lh_S_temporal_sup_area,lh_G_Ins_lg.S_cent_ins_thickness,V1443,V2020,V2030,V3561,V3648,V4129,V4663,V4737,V4758,V4884,V5152,V5228,V5551,V5609,V5713,V5965,V6072,V6227,V1776.1,V2203.1,V3035.1,V3141.1,V3293.1,V3973.1,V4036.1
14,rh_rostralanteriorcingulate_volume,rh_G_temp_sup.Plan_polar_thickness,rh_Lat_Fis.post_thickness,X4th.Ventricle,BrainSegVolNotVentSurf,V2617,V3134,V3555,V3740,V4490,V4740,V4796,V4987,V5043,V5175,V5386,V6312,V6429,V6473,V6614,V6709,V6793,V6941,V7035,V1270.1,V1437.1,V1513.1,V1768.1,V2365.1,V3544.1
15,hippo_lh_vol_3,hippo_rh_vol_2,lh_entorhinal_volume,lh_insula_volume,lh_S_temporal_sup_area,lh_S_oc_middle.Lunatus_thickness,lh_MeanThickness_thickness.y,lh_G_front_middle_volume,BrainSegVol,V423,V1178,V2612,V3036,V3711,V4419,V4538,V4960,V4994,V5125,V5232,V5411,V5664,V5920,V6541,V6687,V6745,V6817,V6833,V6953,V6995
16,hippo_rh_vol_11,lh_G_temporal_inf_area,rh_S_oc.temp_med.Lingual_area,Right.Inf.Lat.Vent,lhCerebralWhiteMatterVol,V2364,V3210,V3888,V4471,V4733,V4820,V5350,V5482,V5580,V5638,V5665,V5730,V5736,V5771,V5885,V6301,V6425,V6515,V6704,V6878,V2032.1,V2540.1,V3038.1,V3300.1,V3532.1
17,BrainSegVolNotVent.x,rh_medialorbitofrontal_area,rh_postcentral_area,rh_temporalpole_thickness,rh_superiorparietal_volume,lh_S_front_sup_area,lh_S_postcentral_area,rh_G_temporal_inf_area,lh_G_front_middle_volume,lh_G_temp_sup.Plan_tempo_volume,lh_Pole_occipital_volume,lh_S_occipital_ant_volume,lh_S_temporal_transverse_volume,rh_G_precuneus_volume,CC_Mid_Anterior,V2035,V2039,V2209,V3056,V4164,V4309,V4395,V5265,V5270,V6184,V6192,V6231,V6889,V510.1,V1935.1
18,rh_G.S_cingul.Mid.Ant_area,rh_S_orbital_med.olfact_volume,CC_Mid_Anterior,V1019,V1437,V1613,V1868,V2281,V2963,V3059,V4324,V5346,V5467,V5582,V5817,V5982,V6002,V6119,V6401,V6942,V7053,V338.1,V1696.1,V2618.1,V3311.1,V4476.1,V4793.1,V5217.1,V5253.1,V5491.1
19,hippo_lh_vol_3,hippo_lh_vol_9,hippo_rh_vol_9,lh_inferiortemporal_area,rh_parsorbitalis_area,rh_posteriorcingulate_area,lh_parahippocampal_volume,rh_S_circular_insula_ant_area,rh_WhiteSurfArea_area.y,rh_G_temporal_middle_thickness,lh_G_Ins_lg.S_cent_ins_volume,rh_G_temp_sup.Plan_polar_volume,rh_G_temporal_middle_volume,lh_G_occipital_middle_meancurv,lh_G_oc.temp_med.Lingual_meancurv,Right.Putamen,WM.hypointensities,V934,V1870,V2948,V3115,V3228,V3697,V3887,V4924,V5085,V5240,V5464,V5557,V6169
20,hippo_lh_vol_2,hippo_lh_vol_7,lh_middletemporal_area,lh_superiortemporal_volume,lh_G_cingul.Post.dorsal_area,lh_S_temporal_inf_area,lh_G_front_middle_volume,lh_G_temporal_middle_volume,rh_G.S_cingul.Mid.Ant_meancurv,rh_G.S_cingul.Mid.Post_meancurv,rh_S_occipital_ant_meancurv,SupraTentorialVolNotVent,V510,V2948,V3207,V3228,V3370,V4747,V5010,V5388,V5406,V5475,V5649,V6336,V6904,V6951,V3477.1,V4983.1,V6555.1,V6814.1
21,hippo_lh_md_10,rh_frontalpole_area,lh_G_temporal_middle_area,lh_G.S_paracentral_thickness,lh_Lat_Fis.post_thickness,rh_S_temporal_inf_thickness,lh_G_pariet_inf.Supramar_volume,lh_G_temporal_inf_volume,lh_G_pariet_inf.Angular_meancurv,Left.Amygdala,SurfaceHoles,V1263,V1434,V1445,V3377,V3384,V3534,V4312,V4412,V4926,V5173,V5554,V5854,V6001,V6082,V6555,V6673,V6816,V507.1,V1016.1
22,rh_posteriorcingulate_area,rh_rostralmiddlefrontal_area,lh_WhiteSurfArea_area.y,rh_S_front_middle_area,lh_S_circular_insula_sup_volume,BrainSegVol.to.eTIV,V1429,V2613,V3552,V4201,V5049,V5078,V5748,V6078,V6168,V6345,V6365,V6423,V6618,V6623,V6709,V6778,V6785,V6861,V1093.1,V2952.1,V3392.1,V3812.1,V4567.1,V6345.1
