,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,hippo_rh_vol_13,lh_inferiortemporal_area,BrainSegVolNotVent.x,rh_parstriangularis_thickness,lh_entorhinal_volume,lh_G.S_subcentral_area,lhCerebralWhiteMatterVol,V1345,V1434,V2023,V2108,V2549,V2609,V2865,V2944,V3705,V4147,V4548,V4737,V4930,V5075,V5184,V6034,V6175,V6272,V6447,V6531,V6599,V6656,V6830
1,hippo_rh_md_3,hippo_lh_fa_5,hippo_lh_fa_9,hippo_lh_vol_12,hippo_rh_vol_7,lh_postcentral_volume,rh_parahippocampal_volume,lh_G_parietal_sup_area,rh_G_temporal_middle_volume,lh_S_oc.temp_lat_meancurv,X4th.Ventricle,V1937,V2191,V2540,V3731,V3823,V4581,V4661,V4744,V4745,V5258,V5354,V5499,V5648,V5824,V5857,V6069,V6072,V6093,V6422
2,hippo_rh_vol_10,lh_S_intrapariet.P_trans_thickness,rh_S_temporal_inf_thickness,lh_G_front_inf.Orbital_volume,rh_Lat_Fis.ant.Vertical_volume,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,V932,V1011,V1097,V1177,V1347,V1696,V1862,V2291,V2445,V2609,V2632,V2788,V3033,V3142,V3299,V3450,V4236,V4369,V4896,V5167,V6102,V6115,V6203
3,hippo_rh_md_8,hippo_rh_md_10,lh_parsorbitalis_area,lh_precuneus_thickness,rh_superiortemporal_volume,lh_G_orbital_area,lh_G_postcentral_area,rh_G.S_occipital_inf_area,rh_Pole_occipital_area,rh_S_temporal_sup_area,lh_G.S_subcentral_thickness,lh_G_temp_sup.Lateral_volume,lh_S_circular_insula_sup_volume,rh_G_temp_sup.Plan_polar_volume,rh_S_temporal_sup_volume,rh_G_oc.temp_med.Lingual_meancurv,BrainSegVolNotVentSurf,SubCortGrayVol,V1855,V3278,V3782,V4132,V4236,V4288,V4553,V4658,V4669,V5233,V5353,V5943
4,lh_postcentral_volume,lh_G.S_cingul.Mid.Ant_area,lh_G_Ins_lg.S_cent_ins_area,BrainSegVolNotVent.y,lh_S_temporal_sup_thickness,lh_G_parietal_sup_volume,lh_S_circular_insula_inf_meancurv,V595,V2206,V3050,V3393,V3618,V4204,V4562,V4917,V5300,V5437,V6086,V6198,V6316,V6514,V6575,V6576,V6715,V6776,V1517.1,V3371.1,V3543.1,V3569.1,V4045.1
5,hippo_lh_md_9,lh_lateraloccipital_area,lh_S_temporal_inf_area,rh_G_subcallosal_area,V1099,V2361,V2617,V3230,V3551,V3642,V3724,V4043,V4414,V4729,V4790,V5043,V5165,V5300,V5728,V5978,V5989,V6002,V6753,V6849,V6850,V6900,V1771.1,V2952.1,V3290.1,V4288.1
6,lh_insula_thickness,lh_fusiform_volume,lh_S_oc.temp_med.Lingual_area,lh_S_temporal_sup_volume,V2185,V2538,V2870,V2958,V2968,V3041,V3475,V3648,V3815,V4158,V4910,V4964,V5647,V5891,V5937,V6229,V6400,V6416,V6476,V7039,V1777.1,V2884.1,V3470.1,V3639.1,V3722.1,V3797.1
7,lh_inferiorparietal_area,lh_WhiteSurfArea_area.x,rh_G_insular_short_area,rh_S_pericallosal_thickness,rh_S_temporal_sup_thickness,Right.Hippocampus,V1441,V1688,V2628,V3810,V3888,V4041,V4413,V4582,V4663,V5088,V5606,V5988,V6316,V6364,V6460,V6604,V6680,V6903,V6951,V2280.1,V2701.1,V2957.1,V3448.1,V3899.1
8,hippo_rh_md_8,hippo_rh_md_11,hippo_rh_fa_4,lh_inferiortemporal_area,lh_middletemporal_area,rh_superiortemporal_area,rh_caudalanteriorcingulate_volume,lh_G_cingul.Post.dorsal_area,lh_S_collat_transv_ant_volume,lh_S_precentral.inf.part_volume,SupraTentorialVol,V421,V505,V1275,V1601,V1955,V2633,V3204,V3453,V3740,V4061,V4218,V4501,V4624,V4836,V5917,V6242,V6403,V6412,V6499
9,rh_medialorbitofrontal_area,lh_entorhinal_volume,rh_caudalanteriorcingulate_volume,rh_precuneus_volume,lh_S_subparietal_area,rh_S_circular_insula_inf_thickness,lh_G.S_cingul.Mid.Post_volume,lh_G_temp_sup.Lateral_volume,Left.Hippocampus,Right.Amygdala,V1187,V1518,V1598,V1851,V2624,V2959,V3226,V3297,V3733,V3901,V3976,V4378,V5159,V5677,V6254,V6263,V6311,V6527,V6737,V3112.1
