,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,hippo_rh_md_1,rh_G_cingul.Post.dorsal_area,rh_G_occipital_sup_thickness,rh_G_orbital_thickness,rh_G_temp_sup.G_T_transv_thickness,lh_S_front_inf_volume,rh_G_front_sup_meancurv,rh_G_postcentral_meancurv,lhCerebralWhiteMatterVol,V1869,V1936,V3455,V4664,V5639,V5644,V6584,V6857,V1852.1,V2862.1,V3229.1,V3289.1,V5803.1,V5865.1,V6562.1,V6924.1,V7027.1,V1646.2,V2473.2,V4936.2,V4944.2
1,rh_inferiorparietal_area,rh_superiorparietal_area,lh_middletemporal_thickness,rh_S_front_inf_area,lh_G_front_sup_thickness,Right.Thalamus.Proper,SupraTentorialVolNotVent,V2206,V2294,V3547,V4202,V4907,V5079,V5133,V5164,V5778,V5826,V6169,V2968.1,V4214.1,V4402.1,V4547.1,V5945.1,V1648.2,V2306.2,V5603.2,V6258.2,V9351,V10172,V10222
2,lh_superiorfrontal_thickness,rh_WhiteSurfArea_area.y,V5081,V5670,V6197,V6268,V6357,V6510,V6903,V1438.1,V1604.1,V4580.1,V4754.1,V5049.1,V5078.1,V5471.1,V5505.1,V5965.1,V6236.1,V6713.1,V4778.2,V5277.2,V5600.2,V6103.2,V8714,V9190,V9204,V9545,V10337,V12634
3,rh_G_temp_sup.Plan_tempo_area,lh_S_front_middle_thickness,lh_G_temp_sup.G_T_transv_meancurv,rh_G_insular_short_meancurv,non.WM.hypointensities,V1095,V3869,V5162,V5404,V5470,V5631,V6460,V6512,V6575,V6814,V6952,V6974,V1182.1,V4388.1,V4666.1,V5065.1,V5344.1,V5995.1,V6071.1,V6084.1,V6501.1,V6787.1,V6874.1,V2475.2,V4272.2
4,hippo_rh_md_10,lh_posteriorcingulate_area,rh_entorhinal_area,rh_S_orbital.H_Shaped_meancurv,V3655,V3893,V5176,V5419,V6419,V4369.1,V5426.1,V6424.1,V6534.1,V6902.1,V3464.2,V3948.2,V4764.2,V7735,V8399,V9554,V9847,V10690,V10703,V12174,V13695,V15935,V16295,V16418,V16575,V17140
5,rh_inferiortemporal_thickness,rh_lateraloccipital_thickness,lh_G.S_cingul.Mid.Ant_area,lh_Lat_Fis.ant.Horizont_area,SupraTentorialVolNotVentVox,V1615,V1939,V2531,V4814,V5218,V5377,V5856,V6010,V6106,V6350,V6374,V6892,V1184.1,V2694.1,V4379.1,V5269.1,V5916.1,V6540.1,V2310.2,V7060,V7920,V8379,V8701,V9047,V9391
6,lh_S_front_middle_thickness,rh_G_front_inf.Triangul_thickness,rh_G_occipital_sup_thickness,rh_S_circular_insula_ant_thickness,V1766,V2201,V3117,V3375,V4315,V5221,V5900,V6027,V6443,V6783,V6846,V6865,V6947,V765.1,V2366.1,V4137.1,V5228.1,V5715.1,V5986.1,V6060.1,V6885.1,V6919.1,V2308.2,V4607.2,V6082.2,V8535
7,rh_S_subparietal_thickness,V1869,V2116,V3643,V3865,V4731,V5067,V5881,V5941,V5942,V6168,V6362,V6711,V421.1,V2019.1,V2865.1,V3371.1,V4662.1,V4756.1,V5075.1,V6242.1,V6518.1,V6909.1,V3452.2,V3457.2,V4272.2,V10504,V10555,V12502,V12506
8,V2699,V4159,V5248,V5424,V5649,V6338,V6356,V6696,V6715,V6874,V1768.1,V2440.1,V4213.1,V4563.1,V5681.1,V6057.1,V2474.2,V2791.2,V5597.2,V6084.2,V7396,V9862,V11218,V12632,V12657,V12680,V13471,V14118,V14450,V14473
9,lh_entorhinal_thickness,rh_S_central_area,lh_S_pericallosal_volume,rh_S_precentral.inf.part_volume,rh_G_front_middle_meancurv,Right.Cerebellum.White.Matter,V2614,V2794,V4136,V4540,V5097,V5242,V5945,V6276,V6428,V1937.1,V2529.1,V3058.1,V3310.1,V4055.1,V4226.1,V4479.1,V5605.1,V6100.1,V6323.1,V6354.1,V6686.1,V6832.1,V1482.2,V4108.2
10,rh_pericalcarine_volume,V2291,V3451,V4327,V4759,V4840,V5056,V5419,V5656,V5987,V6203,V6443,V6594,V6756,V6911,V933.1,V2124.1,V2945.1,V4156.1,V4250.1,V4315.1,V5510.1,V5631.1,V6337.1,V6873.1,V6998.1,V2475.2,V4767.2,V5427.2,V6075.2
11,lh_G_cingul.Post.ventral_thickness,rh_G.S_transv_frontopol_thickness,V925,V1440,V6029,V6081,V6147,V2269.1,V3372.1,V3560.1,V4724.1,V5604.1,V5937.1,V6385.1,V1806.2,V2136.2,V2954.2,V4106.2,V7910,V8064,V8401,V8712,V10514,V12194,V12507,V14800,V16169,V16412,V16993,V17229
12,V2040,V3362,V3950,V4375,V5043,V5552,V5665,V6016,V6119,V6457,V7031,V1351.1,V2535.1,V3281.1,V3614.1,V3638.1,V4302.1,V4388.1,V4967.1,V6007.1,V6135.1,V6511.1,V7405,V7888,V9045,V10879,V11208,V12026,V12480,V12499
13,lh_precuneus_area,lh_bankssts_volume,rh_G_insular_short_thickness,rh_S_oc_middle.Lunatus_thickness,lh_G_temp_sup.G_T_transv_meancurv,V679,V2792,V3361,V5099,V5553,V5863,V6777,V1349.1,V1526.1,V2375.1,V3285.1,V4156.1,V4546.1,V4928.1,V5422.1,V5812.1,V6325.1,V6410.1,V6443.1,V6659.1,V6915.1,V2801.2,V4596.2,V6240.2,V7913
14,lh_S_temporal_sup_area,lh_G_precuneus_thickness,rh_G.S_cingul.Ant_volume,rh_G_occipital_sup_volume,rh_G.S_cingul.Mid.Ant_meancurv,V1947,V1949,V2028,V2458,V3451,V5491,V5902,V6016,V6630,V1101.1,V1268.1,V2375.1,V4382.1,V4900.1,V6021.1,V6107.1,V6442.1,V6562.1,V6975.1,V3785.2,V4104.2,V4765.2,V6744.2,V6916.2,V7902
15,lh_entorhinal_volume,rh_S_orbital.H_Shaped_meancurv,V1869,V2190,V3280,V5047,V5251,V5561,V5580,V5847,V6095,V6113,V6183,V6769,V3536.1,V4072.1,V4241.1,V4708.1,V5155.1,V6021.1,V6488.1,V6677.1,V6820.1,V1809.2,V6426.2,V8400,V8693,V9843,V10512,V10703
16,hippo_lh_md_10,lh_frontalpole_area,rh_parsorbitalis_thickness,V674,V1190,V1864,V2464,V4240,V4842,V6626,V6760,V6860,V1184.1,V1272.1,V2440.1,V2778.1,V4318.1,V4463.1,V4552.1,V5687.1,V5894.1,V6273.1,V6480.1,V6534.1,V1319.2,V4107.2,V7075,V7749,V8038,V9368
